,A01,A02,A03,B05-09,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31-32,C33,D35,E36,E37-39,F41-43,G45,G46,G47,H49,H50,H51,H52,H53,I55-56,J58,J59-60,J61,J62-63,K64,K65,K66,L68,M69-70,M71,M72,M73,M74-75,N77,N78,N79,N80-82,O84,P85,Q86,Q87-88,R90-92,R93,S94,S95,S96,T97-98
A01,1037.74112009094,58.051998790012,0,2.48120642452666,8440.54168545652,46.3548496193578,0,0,0,0.063507829442021,111.15844089829,4.73523687444309,14.1464197658427,0.144020979187972,0,0,0,0,0,0.419140631809994,0,0.386182756608146,0,4.96644449477588,0.672307490936533,4.11080066576212,43.28817818846,0,155.585355454818,27.1376169697586,7.25380338638017,0,0,11.011599883289,0,361.542175618102,0,0,0,0.873936275031053,0.006656369987024,0,0,0,86.4740263129136,5.93036274409583,3.32403302935446,0,0,0,0,0,123.753375384277,15.4867379099395,0,10.9488206275092,81.4127508289681,0.136156719608931,2.69126979123763,16.2410653301964,0,1.28483460268204,0
A02,8.18487517866835,0,0,0,0.412830538163561,0,312.410565015524,101.483297289819,0,0,5.7929036753347,0,0,4.16331960716337E-05,0,0,0,0,0,0,0,10.9795590491622,0,0,0,0,0.383095270334735,0,10.2401823523258,0,0,0,0,0,0,0.176422122150987,0,0,0,0,0,0,0,0.280218142551095,0,0.09071747115516,0.005277507455588,0.398506501763823,3.05779051781691E-07,0.511926136416451,0,0,22.5184536726044,0,0,0,0,0,0,0,0,1.0625395885878,0
A03,0,0,0,0,32.2871422438342,0,0,0,0,0,0.193787822933046,0,0,0,0,0,0,0,0,0,0,0.010397610285788,0,0,0,0,0,0,4.80610224520666,0,0,0,0,0,0,110.273474085202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B05-09,2.83627147580454,0,0,200.522308655367,62.3512185857548,1.74922176513189,0,8.47412610721997,0,10959.8390658533,572.214439798314,0,0.000258235879537,403.052021141619,1184.84996993269,0.306318514753857,16.073755584876,17.0024883268069,0,0,0,259.28644923888,0,46.0935776589496,0,0,459.386345688976,0,221.430723187156,0,4.32319522379369E-05,0,0,0.003912852144195,0,0,0.000403953885098,0,3.02597445725745E-05,3.31188952938068,0,0.367414351459737,0.008414301593194,18.3294404098359,0.339697152997154,0.007755808133052,0.046490579383438,0,0.00141153593225,0.194132339245842,0,0,14.4462533448139,5.93142728596568,0,1.12241399362394,0,4.08855293170551,0.134484918875156,1.42922265994072,0,0,0
C10-12,2152.12069562949,0.198497684243004,0.028090786523892,0.141178803379776,9388.43003672842,10.3230834849443,1.62660101658898,41.0040982777748,1.29734015688828,98.9148611315941,623.942732465394,6.44511866057937,3.43769711552342,1.05627126353747,1.26718621940271,16.8452271439243,0.067683406161395,0.598140104396925,3.31567651576648,3.314089498541,0.027584236947322,3.12582439382135,2.39102031282793,21.3148161947178,0.035245408683626,43.2336127740178,38.6966293227743,4.99612359907887,713.740114129815,15.5374217059767,12.0044605070383,0.128058785737273,1.41143098577001,77.4149665392815,1.01128457306156,3619.81095075703,3.61103738057405,15.2708661618161,6.56308436422028,14.8375223866208,4.16445281750903,0.919908618053268,4.84113501029251,0.25857950387023,158.601255604647,18.0212879656492,6.60132412196253,8.62905967929764,6.37886785878707,18.45304694052,2.27654047756757,1.48297437237196,46.7806229360342,217.165951011139,43.329694882772,323.469064614526,352.889711110349,30.1328866359241,82.7367583000188,6.5920118996234,1.78554162797249,15.799759708663,0
C13-15,5.34527253843643,0,7.64647727488528,1.69481523183232,11.3114635207904,1193.5920762027,0.123347672530896,65.7824709432475,0.34880937201563,1.65013599853051,34.8284743379458,1.48757671858496,27.5009390049008,10.5596425266318,1.26790777842628,6.56537348620611,0.260640667535788,0.833690094252299,2.51180298062994,121.039335727529,1.35544083090783,168.230447445723,26.6077952091894,0.00018507015487,0.39142588687655,5.11482235143481,204.512787052363,37.4673371155049,86.5385861371361,18.0331360354318,3.65967957543699,0,0.468607767418793,5.56008939502104,0.352491647271388,26.2747127189405,3.13276421667095E-05,0.305610255048873,1.76844558104299,0.222822586270995,0.005942577705456,0,0.00199360676017,7.09736548779712,4.77386839094989,11.1468912238035,4.67873439327702,2.44496859514504,10.4669806684378,3.76090259443816,1.19891504860961,0,37.1744504771335,30.2938266782291,2.03201171300411,60.769329235988,21.9697045249177,0.521724981459702,8.77322604165965,0,7.01768367751632,37.4634029868742,0
C16,8.71876250412432,0,0,4.38122880554195,84.2448637595814,1.43168223437542,701.756958795417,38.2346156066529,1.71095428689558,3.57625757647806,34.1728769669009,0,15.5306302002456,38.6538910778498,12.6288690428016,20.8180112618601,1.16988995377511,8.4545261992534,39.4706789611429,6.57407290334948,1.71111749843668,261.223928842577,5.75641364554787,138.493434338786,0,2.29562983554558,1153.50986553418,5.6457208134992,48.5843385615808,0.802828533411028,17.5584717633824,0,0,7.90856335176065,0,0,0.000130556852529,0.871148190102333,9.73823541713951E-06,0.008750530983861,0.020214033477568,0,0,80.6458602360814,15.5169539061077,4.73311154303148,4.0196003656515,0.804663377844524,3.42111978701193,2.73075776675154,0,0,30.2660459909179,4.40128776990097,0,0,0.183590499613751,0,0,1.4203195399412,2.86177737355347,20.4848396912236,0
C17,3.09430471005473,1.4460589474348E-06,0.000361404397095,0.294875905756483,772.970921717338,17.2417980544886,66.7800970162834,860.818646791395,718.982482658126,3.19799947145852,122.621355803857,60.6697045358923,108.158936873097,73.6710151424271,19.8513693105321,14.7083397238212,5.48252760113341,21.0341288243377,5.79280965917502,14.6644099320362,0.67816785706177,67.0691317715785,2.91637531788131,0.60648566860003,0.492078877967571,6.08727297469042,13.2431425250023,9.51901701583781,294.557530294773,70.5164332870485,7.18941630911513,0.093986470658167,0.604748301677899,225.650859228745,2.07709304190439,39.1110292735066,55.5180925885095,0.713278142011963,1.5173973753406,3.56591009601287,14.3307928324105,3.47510140561422,18.3106839243723,12.4783375864655,40.7588259500187,16.4121206489824,9.97011069445278,5.76391564622656,5.72769921652456,4.29848358069861,2.3332762492861,2.34852832499617,124.956158567388,67.8133821694232,10.3178598781199,101.107823178547,14.0277457083484,4.76562839890173,3.7252116083988,7.64020261395294,0.284034524918116,7.22866411293005,0
C18,1.78700880413227,0,0,0.58825989373141,68.6149971744197,7.87070326934795,6.79849413143928,4.48233055340453,268.533939800142,0.508709288478949,17.9420838893274,8.86474163261061,0.36127332258409,4.24305210904847,3.26436144458089E-09,1.62425468769435,0.473138899468302,1.76330248695159,1.97563624803554,0.651643715723357,0.206753607230739,8.30402255652294,0.662966521046172,0.008207026883393,0,0,20.358590236219,79.6311059112267,219.125312276072,323.527265563581,2.09209261596288,0,0,0.25395329261972,2.93771650409739,13.7008970509855,438.12652009695,43.5038929976212,10.3731727295003,9.3823440833555,21.2909798460958,0.978270170566507,39.8717521884808,3.80617194489049,130.531946591354,4.85270066744255,7.95969855001872,143.799414942041,19.271253836041,13.8804360965903,0.886310940870385,5.17404163133378,126.373109597125,202.516649070851,44.8613097621752,10.1281990960591,7.34830325933655,10.3217781893006,12.9416704598614,39.996358612285,2.42547530354601,12.0772129843876,0
C19,205.748613528022,78.4029960154366,19.1109871561066,35.8421729796688,50.7662940113529,8.51108538669547,10.6456297713325,21.9947573823508,2.68698352336872,4388.41220309165,4696.88148667542,5.61347478623899,26.3162823166619,139.574865436195,95.2572803669496,22.1471060117962,2.30303450704446,10.1799682662957,14.0345757920522,10.421302606948,0.630480408590149,58.2975314778288,21.6204565303521,12.4894744443601,0.801864684268786,56.9455145022746,352.726004816095,90.8450942686591,405.701235468755,43.6621635200529,629.519032150625,305.928093239429,921.238856487424,114.321453656293,14.4012609945279,60.4979986943398,5.7676438323055,4.35025537744255,11.5049806422604,46.1707232178678,27.1371128586365,6.79559944973282,55.8787847451263,36.1905351057246,74.5534964605486,77.2226253483179,12.2372618889562,3.80275244602422,3.40145530417232,184.062934915611,3.16622859005538,2.48691578685023,106.848901203628,241.746611352072,30.865317654922,113.070967488192,62.4175171234897,6.89756903958557,5.34414206168507,6.23901620956135,4.86409717568092,19.4460220301481,0
