,Consumer demand shock (%),Other demand shock (%)
1,0,-10
2,0,-23
3,0,-20
05-09,0,-33
10-12,0,-20
13-15,0,-27
16,0,-16
17,0,-30
18,0,-18
19,0,-33
20,0,-20
21,0,-20
22,0,-20
23,0,-20
24,0,-20
25,0,-18
26,0,-10
27,0,-30
28,0,-10
29,0,-29
30,0,-20
31-32,0,-25
33,0,-17
35,0,-20
36,0,-11
37-39,0,-16
41-43,0,-6
45,-80,-23
46,-30,-30
47,-30,-28
49,-80,-28
50,-80,-32
51,-80,-32
52,0,-26
53,0,-30
55-56,-80,-32
58,0,-24
59-60,0,-15
61,0,-22
62-63,0,-13
64,0,-32
65,0,-31
66,0,-33
68,0,-8
69-70,0,-15
71,0,-19
72,0,-11
73,0,-30
74-75,0,-30
77,-80,-80
78,0,-29
79,-80,-80
80-82,0,-29
84,0,-1
85,0,-2
86,-80,1
87-88,-80,1
90-92,-80,-80
93,-80,-80
94,-80,-10
95,0,-10
96,-30,-10
97-98,-80,-32
