,Sectoral output (M€/y),Intermediate demand (M€/y),Household demand (M€/y),Total other demand (M€/y),Other consumption - IZW (M€/y),Other consumption - government (M€/y),Other consumption - investments (M€/y),Other consumption - inventory changes (M€/y),Other consumption - exports (M€/y),Labor compensation (M€/y),Number of employees (-),Desired stock (days),On-site consumption (-)
A01,16900.5040969993,10680.3561181951,2383.89211759081,3836.25586121346,0,0,72.0898584851255,138.074078123149,3626.09192460518,486.711371607691,56600,32.1787709497207,0
A02,703.260009957563,474.931411450993,93.9305097050302,134.39808880154,0,0,0,-13.9708649365807,148.368953738121,25.5467331690164,2300,39.2178770949721,0
A03,428.869050343795,147.570904007462,205.280939375459,76.0172069608741,0,0,0,1.73692117824402,74.2802857826301,27.4608972027346,400,73.4078212290503,0
B05-09,24253.5955793008,14465.2319511921,0.991735537190081,9787.37189257149,0,0,0,140.641310586111,9646.73058198538,236.353927347641,2600,16.7597765363129,0
C10-12,56721.7266138513,18300.8467963104,14777.9720643176,23642.9077532233,0,0,0,346.464401817987,23296.4433514053,4331.50587145721,100600,38.5474860335196,0
C13-15,13538.4687189276,2332.80662897013,4829.92016580068,6375.74192415677,0,0,0,38.0852713414154,6337.65665281535,877.640555496792,20500,50.6145251396648,0
C16,4788.14494996724,2837.40926375224,137.778984307069,1812.95670190793,0,0,9.79811536412517,249.603858567855,1553.55472797595,531.683972381854,15300,32.1787709497207,0
C17,7689.17176661112,4169.83811982057,379.122967126666,3140.21067966388,0,0,0,52.6333986375606,3087.57728102632,640.640096977358,11900,28.8268156424581,0
C18,3229.03512708387,2430.57142672033,61.8678164638077,736.595883899736,0,0,0,37.2176700657977,699.378213833938,677.380809247519,14400,16.7597765363129,0
C19,32202.443350086,14086.9470822641,3405.12343220161,14710.3728356204,0,0,0,194.696719251213,14515.6761163692,228.441390493047,4700,21.4525139664805,0
C20,60638.3649280913,22377.2984876318,1344.05178807964,36917.0146523799,0,0,0.116126417534269,62.6502559871335,36854.2482699752,3634.63122411614,43300,39.8882681564246,0
C21,20688.0595592306,5496.58508623467,1318.89504855274,13872.5794244432,0,1066.4284485682,0,75.4534409827403,12730.6975348922,1545.79503089793,27300,47.5977653631285,0
C22,14087.4765140695,6104.51169003936,513.552366471836,7469.41245755832,0,0,74.4627816286129,104.01727082407,7290.93240510564,1405.3469594761,25600,32.8491620111732,0
C23,8696.2219879601,5551.28267814636,134.180245582395,3010.75906423134,0,0,12.9724366245571,72.2447595095641,2925.54186809722,1490.87828739737,27200,36.536312849162,0
C24,29700.0985586124,12544.9792012415,10.5191053367574,17144.6002520341,0,0,0,216.363652357334,16928.2365996768,1960.58610762186,26000,49.608938547486,0
C25,14628.1524862786,6944.98217937632,228.51208430296,7454.65822259929,0,0,3088.80822585845,114.348655589999,4251.50134115084,2227.31822186739,52000,38.5474860335196,0
C26,14870.28262154,3131.46136862952,820.245009743915,10918.5762431666,0,0,4365.28656925827,37.0170659868692,6516.27260792147,632.005579253246,11000,51.9553072625698,0
C27,10232.8150778667,3111.89560053611,1114.04017565568,6006.87930167488,0,0,1680.1407808586,69.7946865804556,4256.94383423582,1001.55575729273,15800,46.2569832402235,0
C28,23467.448336809,4892.57216680859,175.744413206918,18399.1317567935,0,0,5577.3009259456,92.5242940217549,12729.3065368261,1764.95913390554,29700,44.2458100558659,0
C29,41931.1689773255,7798.84872937126,3641.98437808614,30490.3358698681,0,0,6535.89994752363,136.093939863159,23818.3419824813,1596.33071165347,30200,24.4692737430168,0
C30,4481.28039157002,1001.67436459229,466.238070297725,3013.36795668001,0,0,923.774143707916,8.00973865577413,2081.58407431632,409.45211114401,6700,64.3575418994413,0
C31-32,17790.4593303993,1607.39422426696,3011.20756884949,13171.8575372828,0,211.079615412507,1752.53776427306,57.627957102878,11150.6122004944,747.267489255629,21900,39.2178770949721,0
C33,8546.12022979625,6458.45246268732,197.813657766722,1889.85410934221,0,0,876.778106553911,0,1013.0760027883,2312.79874890675,26000,37.5418994413408,0
D35,19836.311274475,9594.31263179244,5635.2925912841,4606.70605139851,0,173.279137453988,0,0,4433.42691394452,2000.40639900775,18300,13.072625698324,0
E36,1255.97320207726,494.823658648395,761.093256737993,0.056286690869922,0,0,0,0,0.056286690869922,434.244911039296,7200,5.69832402234637,0
E37-39,14412.0306837455,10207.2923672111,1424.9929028242,2779.74541371023,0,733.381070280408,0,0,2046.36434342982,1579.40332432963,26500,11.731843575419,0
F41-43,66676.9123025887,28665.8157444864,195.659992778172,37815.436565324,0,0,34509.5487841529,0,3305.88778117113,9574.66108957191,286600,64.3575418994413,0
G45,11978.7952948229,3013.78007732918,4648.62991193603,4316.38530555769,0,0,759.933940062835,23.0680871513104,3533.38327834354,3285.36329569738,76400,43.5754189944134,1
G46,55224.2119041081,24980.3134918662,6169.86526596684,24074.0331462751,0,402.084683216446,4491.79772752877,517.100907317962,18663.0498282119,14875.6157979539,203500,18.4357541899441,0
G47,23694.4381332788,0,22544.8872233714,1149.55090990737,0,1149.55090990737,0,0,0,8534.12125566533,311600,31.8435754189944,1
H49,26860.5893315084,15947.4334690569,2143.15121459151,8770.00464785997,0,1958,0,0,6812.00464785997,5479.19584874774,121900,1.67597765363131,1
