,c_demand,f_demand,labor_supply_1,labor_supply_2
A01,0,-13.8,-6.5,-5
A02,0,-11.9,-6.5,-5
A03,0,-14.8,-6.5,-5
B05-09,0,-15.3,-6.5,-5
C10-12,0,-15,-8.5,-3
C13-15,0,-13.4,-61,-8
C16,0,-11.2,-30,-5
C17,0,-14.1,-30,-5
C18,0,-9.4,-28.1,-4
C19,0,-14.8,-14,-1
C20,0,-14.7,-14,-1
C21,0,-14.9,-14,-1
C22,0,-14,-19,-2
C23,0,-13,-19,-2
C24,0,-15,-15,-6
C25,0,-14.4,-15,-6
C26,0,-14.9,-13.5,-3
C27,0,-14.9,-25.5,-8
C28,0,-15,-25.5,-8
C29,0,-14.8,-57,0
C30,0,-15.1,-57,0
C31-32,0,-14.7,-67.5,-6
C33,0,-11.8,-28.1,-4
D35,0,-14.8,0,0
E36,0,-14.8,0,0
E37-39,0,-7.6,0,0
F41-43,0,-15.2,-43.5,-4
G45,-90,-90,-42.7,-18.7
G46,-10,-15,-42.7,-18.7
G47,-10,-14.1,-42.7,-18.7
H49,-67,-14.9,-61.5,-6
H50,-67,-15,-61.5,-6
H51,-67,-15,-45,-1
H52,0,-15,-14,-2
H53,0,-14.8,-61.5,-6
I55-56,-90,-90,-92.5,-70
J58,0,-14.7,-16,-3
J59-60,0,-9.9,-16,-3
J61,0,-15,-16,-3
J62-63,0,-13.6,-16,-3
K64,0,-14.9,-2.5,-1
K65,0,-14.9,-2.5,-1
K66,0,-15,-2.5,-1
L68,0,-15,-39.5,-7
M69-70,0,-14.4,-17,-4.5
M71,0,-15.1,-17,-4.5
M72,0,-14.9,-17,-4.5
M73,0,-14,-17,-4.5
M74-75,0,-14.6,-17,-4.5
N77,-90,-90,-35.7,-4.3
N78,0,-14.1,-15.5,-5
N79,-90,-90,-68.5,-45
N80-82,0,-14.1,-24,-6.5
O84,0,-0.7,0,0
P85,0,-1.8,0,0
Q86,0,-0.2,-40,0
Q87-88,0,-0.2,-40,0
R90-92,-90,-90,-74,-57
R93,-90,-90,-74,-57
S94,-90,-90,-74,-57
S95,-10,-8.5,-28.1,-4
S96,-90,-90,-74,-57
T97-98,0,-14.8,-97,-85
