,c_demand,f_demand,labor_supply_1,labor_supply_2
A01,-10,-20,0,0
A02,-10,-23,-85,0
A03,-10,-32,0,0
B05-09,-10,-33,-35.3,0
C10-12,-10,-32,-0.6,0
C13-15,-10,-27,-37.1,0
C16,-10,-16,-61.1,0
C17,-10,-30,-7.5,0
C18,-10,-18,-6,0
C19,-10,-33,-18.3,0
C20,-10,-32,-2.6,0
C21,-10,-31,-1.1,0
C22,-10,-28,-28.3,0
C23,-10,-27,-50.3,0
C24,-10,-33,-57.7,0
C25,-10,-18,-54.8,0
C26,-10,-28,-38.5,0
C27,-10,-30,-33.3,0
C28,-10,-30,-49.7,0
C29,-10,-29,-22.6,0
C30,-10,-31,-48.8,0
C31-32,-10,-25,-36.6,0
C33,-10,-17,-3.3,0
D35,0,-20,0,0
E36,0,-11,0,0
E37-39,0,-16,0,0
F41-43,-10,-6,-35.6,0
G45,-10,-23,-31.6,0
G46,-10,-30,-23.6,0
G47,-10,-28,-30.5,0
H49,-67,-28,-11.1,0
H50,-67,-32,-12.4,0
H51,-67,-32,-0.1,0
H52,-67,-26,-0.5,0
H53,0,-30,0,0
I55-56,-80,-32,-60.8,0
J58,0,-24,-14.4,0
J59-60,0,-15,-32.8,0
J61,0,-22,-0.9,0
J62-63,0,-13,-0.2,0
K64,0,-32,0,0
K65,0,-31,0,0
K66,0,-33,0,0
L68,0,-8,-4.8,0
M69-70,0,-25,-2,0
M71,0,-19,0,0
M72,0,-11,0,0
M73,0,-30,-22.5,0
M74-75,0,-30,-3,0
N77,-80,-29,-34.9,0
N78,0,-29,-34.9,0
N79,-80,-29,-34.9,0
N80-82,0,-29,-34.9,0
O84,0,-1,-1.1,0
P85,0,-2,0,0
Q86,15,1,-0.1,0
Q87-88,15,1,-0.1,0
R90-92,-80,-10,-34.5,0
R93,-80,-10,-34.5,0
S94,-80,-10,-34.5,0
S95,-80,-10,-34.5,0
S96,-80,-10,-34.5,0
T97-98,0,-32,0,0
