"","A01","A02","A03","B","C10-C12","C13-C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31_C32","C33","D35","E36","E37-E39","F","G45","G46","G47","H49","H50","H51","H52","H53","I","J58","J59_J60","J61","J62_J63","K64","K65","K66","L68","M69_M70","M71","M72","M73","M74_M75","N","O84","P85","Q","R_S"
"A01",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A02",0,1,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A03",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C10-C12",1,1,0.5,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C13-C15",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"C16",0,0.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C17",0,1,0,0,1,0.5,0.5,1,1,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"C18",0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"C19",1,1,1,1,1,0,1,0.5,0,1,1,0.5,1,1,1,0,0,0,0,1,1,0,0,1,0,0.5,0,0,0.5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C20",1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0.5,1,0.5,0,0.5,0,0.5,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"C21",0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C22",0,0,0.5,0,1,1,0.5,1,0.5,0.5,1,0.5,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C23",0,0,0,1,0,0,0,1,0,NA,0,0,0,1,0.5,0,1,1,0,1,1,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C24",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C25",0,0,0,0,1,0,0,0.5,0,1,0,0,0,0,0.5,1,1,1,1,1,1,1,1,1,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C26",0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,1,1,1,1,1,0.5,1,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"C27",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,1,0,1,0.5,0,1,1,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C28",0.5,0,0,0,0,0,1,0.5,1,1,1,0.5,1,1,1,0.5,0.5,0.5,1,0.5,0,0.5,1,1,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C29",0,1,0,0,0,0,1,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C30",0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C31_C32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C33",1,1,1,1,1,0,0.5,1,0,0.5,1,1,1,0,1,0,1,0.5,0,0,0,0,1,1,1,0,1,0.5,0,0,0,0.5,0.5,0.5,0,0,0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D35",1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0.5,1,1,1,1,0,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0
"E36",0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0.5,1,0,0.5,1,1,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"E37-E39",0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0.5,1,1,1,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"F",0,0,0,0,0,0,0,0,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0
