hospitalisation,age,mean,sd,lower,upper
Non-hospitalised,0,0.8215390373308605,0.29465763266328043,0.28036124200002444,1.3797523076334535
Non-hospitalised,1,0.810249580714112,0.29039818992861366,0.2769852774180494,1.3604003061293022
Non-hospitalised,2,0.7981948554741376,0.285841919474182,0.27336024506043904,1.3397172228972618
Non-hospitalised,3,0.7861726683690834,0.2812976613337425,0.26974367302420305,1.3190924627289895
Non-hospitalised,4,0.7742310181904402,0.276783850148402,0.2661507395802473,1.2986074017144333
Non-hospitalised,5,0.7623597824208911,0.27229641074371363,0.2625778752224441,1.2782420165438027
Non-hospitalised,6,0.7505922324068292,0.26784813880903346,0.2590356229257264,1.2580539885393545
Non-hospitalised,7,0.7389196539971072,0.2634355489131123,0.2555209651842476,1.2380278926619026
Non-hospitalised,8,0.7273542025615221,0.259063273581703,0.25203767740157956,1.218184709131199
Non-hospitalised,9,0.7159051930829388,0.2547348558457339,0.24858864057367006,1.1985405009581087
Non-hospitalised,10,0.704568700036771,0.2504487039642586,0.24517247189117855,1.1790882910847285
Non-hospitalised,11,0.6933479110049804,0.24620599839128626,0.2417901124386,1.1598335208408852
Non-hospitalised,12,0.6822595958667521,0.24201320806696178,0.23844691263031265,1.140805310123417
Non-hospitalised,13,0.6712855507910495,0.23786321376135258,0.23513692718204116,1.1219718783957662
Non-hospitalised,14,0.6604554956016628,0.23376753369291944,0.23186971738301207,1.10338493008675
Non-hospitalised,15,0.6497375691042816,0.22971375050461335,0.22863495739734038,1.0849889390772687
Non-hospitalised,16,0.6391690977596199,0.2257163523277481,0.22544467946264515,1.0668488728915135
Non-hospitalised,17,0.6287199619089534,0.22176360952483382,0.2222891510867207,1.0489122747100692
Non-hospitalised,18,0.6184072718800155,0.21786216044036844,0.21917389236395854,1.031208929548278
Non-hospitalised,19,0.6082509363286763,0.2140197339549186,0.21610531778646627,1.0137734845239275
Non-hospitalised,20,0.598200152231286,0.2102165763688773,0.21306708176341793,0.9965175450927654
Non-hospitalised,21,0.5882756723827264,0.2064607556955396,0.21006589820754556,0.9794772599247389
Non-hospitalised,22,0.5785078412994047,0.20276406566922078,0.20711154608006413,0.9627054419513457
Non-hospitalised,23,0.5688423364657366,0.1991054066250663,0.20418660929655075,0.9461076457203343
Non-hospitalised,24,0.559299452502155,0.1954926778626316,0.20129765905211638,0.9297192286101269
Non-hospitalised,25,0.5498785228893656,0.1919256370900449,0.19844453421813824,0.9135390915604021
Non-hospitalised,26,0.5405653281882314,0.1883987861595056,0.19562274317967335,0.8975425899679833
Non-hospitalised,27,0.5313920257941709,0.18492462748434868,0.19284263386094147,0.8817856748317611
Non-hospitalised,28,0.5223203972698036,0.1814883584027685,0.19009205143212551,0.8662020138746829
Non-hospitalised,29,0.5133651678985742,0.1780957221096589,0.18737577383266538,0.8508172732403577
Non-hospitalised,30,0.504521799341788,0.17474499095773946,0.18469242488322107,0.8356236534864001
Non-hospitalised,31,0.4957973572704282,0.17143893481701297,0.18204432492666953,0.8206335018920143
Non-hospitalised,32,0.48716238573097215,0.1681661843613463,0.17939377719391136,0.8057957857426612
Non-hospitalised,33,0.47862334494482295,0.1649292868911291,0.17675354775773436,0.7911218246594802
Non-hospitalised,34,0.4701890260689875,0.1617316860536543,0.17414676953091013,0.776626966349164
Non-hospitalised,35,0.4618373685210375,0.1585648973442301,0.1715669232946057,0.7622730547589391
Non-hospitalised,36,0.4535833572093073,0.155434760235213,0.16901822859732585,0.7480861768957078
Non-hospitalised,37,0.44540930948113655,0.1523344927312203,0.16649541316375474,0.7340357867203892
Non-hospitalised,38,0.43733100049974966,0.14927023198289396,0.16400295074401017,0.7201493213119681
Non-hospitalised,39,0.4293281995354428,0.14623422028009536,0.16153480875983017,0.7063918334141682
Non-hospitalised,40,0.4214224334707542,0.1432348026790002,0.15909717271329082,0.6928006985199666
Non-hospitalised,41,0.4135860735160336,0.14026137772728842,0.1566818242978751,0.6793281732947786
