hospitalisation,age,mean,sd,lower,upper
Non-hospitalised,0,0.34208970525760574,0.12391118908469993,0.11091763819223793,0.5871300904473798
Non-hospitalised,1,0.3402268320761439,0.12315178692107231,0.11053371305390546,0.5837171509770432
Non-hospitalised,2,0.33825595182544943,0.12234605953539837,0.11012425230792165,0.5800645112726488
Non-hospitalised,3,0.3362463257577548,0.12152440470332723,0.10970636303252074,0.5763409252918095
Non-hospitalised,4,0.33420475168044345,0.12068966793989892,0.10928157553830464,0.5725588279477214
Non-hospitalised,5,0.33213237247233063,0.11984222298187097,0.10885003029120628,0.5687207264432615
Non-hospitalised,6,0.3300340309861406,0.11898410560281998,0.10839832715778354,0.564835317200659
Non-hospitalised,7,0.32791044277864817,0.1181155347289671,0.10793950980136978,0.5609042427222993
Non-hospitalised,8,0.3257641593978996,0.11723755403346237,0.10747558865858672,0.5569322146024623
Non-hospitalised,9,0.32359740226496647,0.11635106866669183,0.1070070456984659,0.5529233512684424
Non-hospitalised,10,0.32141091815822687,0.11545633574565416,0.10653401544473046,0.5488792416661769
Non-hospitalised,11,0.31920609009295103,0.11455390004612154,0.10605678682936633,0.5448025294307026
Non-hospitalised,12,0.3169858208237696,0.1136449850973812,0.10557601242592532,0.540698419007549
Non-hospitalised,13,0.3147489726568129,0.11272902582969863,0.10509138701661581,0.5365652349706463
Non-hospitalised,14,0.31249998650234984,0.111807935213489,0.10460393246543527,0.5324460253899707
Non-hospitalised,15,0.31023585608248666,0.11088032665094606,0.10411290465489381,0.528378046633619
Non-hospitalised,16,0.3079620877899656,0.10994859087441257,0.10361958107204848,0.5242918844211008
Non-hospitalised,17,0.3056756383081824,0.10901133141153932,0.10312321334861954,0.5201815654194754
Non-hospitalised,18,0.3033794944356314,0.10806982699454255,0.1026244843191922,0.5160526512763343
Non-hospitalised,19,0.3010772753038708,0.10712563697763455,0.10212422628039267,0.5119119105147957
Non-hospitalised,20,0.29876254132347324,0.10617587147609175,0.1016208947580977,0.5077469303967742
Non-hospitalised,21,0.29643876732343943,0.10522203242819338,0.10111529247056016,0.5035642301906235
Non-hospitalised,22,0.294111240107046,0.10426642170491188,0.10060864834978696,0.499373774503792
Non-hospitalised,23,0.2917722517331034,0.10330560155355492,0.10009912797983576,0.49516078671320113
Non-hospitalised,24,0.2894253530469712,0.10234111307121611,0.09958755509477195,0.49093194908905785
Non-hospitalised,25,0.28707090484287445,0.10137308980737746,0.09907400222453676,0.48668787490671633
Non-hospitalised,26,0.284706884327005,0.1004006182128472,0.09855798403593577,0.4824246615392306
Non-hospitalised,27,0.28233927142754783,0.09942631143233682,0.09804089506488599,0.47815360716170624
Non-hospitalised,28,0.27996173544751635,0.09844736520391138,0.09752124287655715,0.47386265364846075
Non-hospitalised,29,0.27757717500078233,0.09746504090111593,0.09699970187970194,0.46955726711225315
Non-hospitalised,30,0.27518503993900334,0.09647908495810772,0.09647613941183969,0.4652363799455078
Non-hospitalised,31,0.2727870037769581,0.09549022156204424,0.09595094339931166,0.46090313879530415
Non-hospitalised,32,0.2703773761125647,0.09449595168698043,0.09542278671470408,0.4565467840055222
Non-hospitalised,33,0.26795739701785626,0.09349681926283959,0.09489196214657317,0.4521696757969024
Non-hospitalised,34,0.26552895785958575,0.0924936524033122,0.09435891326208572,0.4477753995291524
Non-hospitalised,35,0.26308724946092715,0.09148435581239861,0.09382252916958281,0.4433549202964671
Non-hospitalised,36,0.2606354514202698,0.09047032534423972,0.09328355536933604,0.43891426692286656
Non-hospitalised,37,0.2581693833134726,0.08944975074803693,0.09274103311839889,0.4344456233617042
Non-hospitalised,38,0.2556925585028483,0.08842417438591792,0.09219578534283702,0.4299556472945666
Non-hospitalised,39,0.25319989830471895,0.08739140504581186,0.09164665129519431,0.4254348659246029
Non-hospitalised,40,0.2506965327000786,0.08635368668764591,0.09109482602369225,0.42089296608078924
Non-hospitalised,41,0.2481751958483151,0.08530788955909419,0.09053865072876714,0.4163164067628773
Non-hospitalised,42,0.24563055169164155,0.084251734888464,0.08997691938688836,0.4116962123512193
