hospitalisation,age,mean,sd,lower,upper
Non-hospitalised,0,0.7270997387406378,0.28223554642912907,0.21867050668704402,1.3370924472596417
Non-hospitalised,1,0.7178225348661744,0.2784705123710848,0.21628279534167533,1.3197164601008309
Non-hospitalised,2,0.7071208013385631,0.27408689683173126,0.2135391253401784,1.2995590879089407
Non-hospitalised,3,0.6964170168718579,0.2697005320191803,0.21079536109099786,1.2793921785523628
Non-hospitalised,4,0.6857853922998927,0.26534322047831277,0.20807017228228436,1.2593594307235725
Non-hospitalised,5,0.6751978280235847,0.261002448404067,0.20535662989249817,1.2394051688121854
Non-hospitalised,6,0.6647063868201598,0.2567005723432753,0.20266781489255659,1.219630318994455
Non-hospitalised,7,0.6542886946545848,0.2524276707784874,0.19999819433072002,1.1999906792086805
Non-hospitalised,8,0.6439610707002228,0.24819066049947988,0.19735189300591938,1.1805176500441765
Non-hospitalised,9,0.6337355403670919,0.24399462263407515,0.19473195467739213,1.1612343291940614
Non-hospitalised,10,0.6236010824056689,0.23983465333581705,0.1921356562640459,1.1421189197181771
Non-hospitalised,11,0.6135601190224208,0.23571170901390173,0.1895636278922253,1.1231759152930152
Non-hospitalised,12,0.6036398674741803,0.23163752987464573,0.1870226932572819,1.1044582116939146
Non-hospitalised,13,0.5938055831720342,0.22759696973634705,0.1845041817142313,1.085897913774427
Non-hospitalised,14,0.5841083638809553,0.22361216243515614,0.18202088083592058,1.0675945454315325
Non-hospitalised,15,0.5744902142781698,0.21965790401883056,0.17955829595320552,1.049434985979557
Non-hospitalised,16,0.5650162295661562,0.21576241802537222,0.17713271214492302,1.0315460706967823
Non-hospitalised,17,0.5556324658974117,0.21190229132665714,0.17473063821385562,1.013822674969451
Non-hospitalised,18,0.5463687396093754,0.2080904564551274,0.1723595319570142,0.9963229153821523
Non-hospitalised,19,0.5372596740408883,0.20434192001000873,0.17002805792961082,0.979114228795881
Non-hospitalised,20,0.5282165927607989,0.2006182711355754,0.1677140158299925,0.9620240297030516
Non-hospitalised,21,0.5192763707654485,0.19693552386017768,0.16542662484544507,0.94512423103738
Non-hospitalised,22,0.5104921458641007,0.19331670799141365,0.16317918467937706,0.9285183028226607
Non-hospitalised,23,0.5017708740658616,0.18972159598724359,0.16094838005246428,0.9120253828244446
Non-hospitalised,24,0.49314890400851696,0.18616597702555324,0.15874329890479347,0.8956593524455317
Non-hospitalised,25,0.48462646733446335,0.1826500111063753,0.1565639831275812,0.8794700425744097
Non-hospitalised,26,0.47618099178327083,0.17916402075612387,0.15440475451208796,0.8634302774177817
Non-hospitalised,27,0.4678686652403912,0.17573232917936032,0.15227968553410762,0.8476447577392394
Non-hospitalised,28,0.4596267101886131,0.1723279218786134,0.15017301103352135,0.8319961874795806
Non-hospitalised,29,0.4514820069086635,0.16896247809854373,0.1480914523812582,0.8165345746557797
Non-hospitalised,30,0.44342905627662216,0.1656337112623816,0.1460336081491684,0.8012494929561406
Non-hospitalised,31,0.43548170080977255,0.16234765890364014,0.14400293411593412,0.7861666532731103
Non-hospitalised,32,0.4275936968584215,0.15908453014519314,0.14198778938263687,0.771199451311124
Non-hospitalised,33,0.4197784134507466,0.15585018706701737,0.13999150386038298,0.7563726636574273
Non-hospitalised,34,0.41205276821298453,0.15265199277790753,0.1380183054679022,0.7417177464757762
Non-hospitalised,35,0.4043836984377169,0.1494758754448468,0.13605985195565912,0.7271726403406803
