hospitalisation,age_group,mean,sd,lower,upper
Non-hospitalised,"[0, 12)",0.7549139354806483,0.2694793460593751,0.26033009381509126,1.2654616489762913
Non-hospitalised,"[12, 18)",0.6557682465121549,0.2319941046629199,0.23045372285893342,1.0953384536860604
Non-hospitalised,"[18, 25)",0.5880445016279974,0.2063723398223531,0.20999398363634544,0.9790782480476492
Non-hospitalised,"[25, 35)",0.5091859479830138,0.1765102746143206,0.186103734244279,0.8436328969220431
Non-hospitalised,"[35, 45)",0.42584808226184356,0.1449126549567518,0.1604649496836378,0.7004064743683598
Non-hospitalised,"[45, 55)",0.3491923396383036,0.11581944544988457,0.1368567772399197,0.5686024656989533
Non-hospitalised,"[55, 65)",0.27969699686034233,0.08944193486207846,0.1154619020140246,0.44910453369341524
Non-hospitalised,"[65, 75)",0.2126266394094571,0.06400609633358172,0.09476051283649502,0.3338201724504505
Non-hospitalised,"[75, 85)",0.14939012711229085,0.04005908402606354,0.07515845558458831,0.22519449849936593
Non-hospitalised,"[85, 120)",0.09828109776916907,0.020763278513057953,0.05923471330586266,0.13746974820739163
Cohort,"[0, 12)",1.947344085248101,0.8829639350355141,0.5412114592110516,3.604281750091514
Cohort,"[12, 18)",1.6987183071446816,0.7690716896261184,0.4783040910288788,3.1482470035334598
Cohort,"[18, 25)",1.5249729878066711,0.6887680123577957,0.434387154298585,2.8264323232466313
Cohort,"[25, 35)",1.3175888898488481,0.5919806641239077,0.38202444758207266,2.438351224528888
Cohort,"[35, 45)",1.0920935043268636,0.4855752793860406,0.3251580085312155,2.01155621562992
Cohort,"[45, 55)",0.8801245695316176,0.3847321499777779,0.2717491661845526,1.6069922740029907
Cohort,"[55, 65)",0.687311735355322,0.29289620531534105,0.2229126837437332,1.238524417668631
Cohort,"[65, 75)",0.504013524458945,0.20608777240492873,0.17585731883702357,0.8902525649839934
Cohort,"[75, 85)",0.33570615664482356,0.1271930468929509,0.1322131364633784,0.5737736324455484
Cohort,"[85, 120)",0.2035409329616504,0.06606929554916093,0.09746170546937125,0.3283851787805579
ICU,"[0, 12)",3.0458057335864352,1.1556055055051586,0.9479553850387902,5.033795329043032
ICU,"[12, 18)",2.6483296474992724,1.0077417622788762,0.8292613202990119,4.389522587765419
ICU,"[18, 25)",2.3712176184520075,0.9031283363394529,0.7465306849634975,3.935484401607709
ICU,"[25, 35)",2.041279732573488,0.7765853791756424,0.6480557113435373,3.3887197036126837
ICU,"[35, 45)",1.6835328129672527,0.6369160143929701,0.5413132363211832,2.788335483444341
ICU,"[45, 55)",1.3479507354630411,0.5041738109373548,0.4412056820786608,2.219865106898985
ICU,"[55, 65)",1.0427993720331827,0.3832494824727844,0.3501759277790381,1.7022073769061836
ICU,"[65, 75)",0.752297215384547,0.2691716929942119,0.2634972701683917,1.2125534296753606
ICU,"[75, 85)",0.484877070693285,0.16581782726261002,0.1836767039998967,0.7669847660173886
ICU,"[85, 120)",0.2743083448199896,0.08590104372637732,0.12078862220202156,0.4206731519138677
Non-hospitalised (no AD),"[0, 12)",0.060282821089509275,0.0031930620711356746,0.05333806424954111,0.06667994760964666
Non-hospitalised (no AD),"[12, 18)",0.060258956115156394,0.0031930620711356768,0.05331419927518823,0.06665608263529377
Non-hospitalised (no AD),"[18, 25)",0.06023431230082882,0.003193062071135676,0.05328955546086065,0.0666314388209662
Non-hospitalised (no AD),"[25, 35)",0.06019667198670331,0.003193062071135676,0.05325191514673514,0.06659379850684069
Non-hospitalised (no AD),"[35, 45)",0.06014543739797787,0.003193062071135674,0.05320068055800971,0.06654256391811524
Non-hospitalised (no AD),"[45, 55)",0.060086650014045964,0.0031930620711356763,0.05314189317407779,0.06648377653418333
Non-hospitalised (no AD),"[55, 65)",0.06002388450843266,0.003193062071135675,0.05307912766846448,0.06642101102857004
Non-hospitalised (no AD),"[65, 75)",0.05995463758703485,0.003193062071135675,0.05300988074706668,0.06635176410717222
Non-hospitalised (no AD),"[75, 85)",0.05988066945971605,0.0031930620710924457,0.05293591261984191,0.06627779597976682
Non-hospitalised (no AD),"[85, 120)",0.05978895111949516,0.003192267062301329,0.05284592338560672,0.06618448488259096
