hospitalisation,age,mean,sd,lower,upper
Non-hospitalised,0,0.7935148886177248,0.31417909127761423,0.2423022087164734,1.3867414434929877
Non-hospitalised,1,0.7827494130434783,0.3097146420948966,0.2395149785780798,1.3677860389502539
Non-hospitalised,2,0.7712002244030746,0.30490267873782745,0.23650705811652592,1.347298894566754
Non-hospitalised,3,0.7596813652244611,0.30010216731982525,0.23350584122365797,1.326856441352946
Non-hospitalised,4,0.7482408870740573,0.29533393440503697,0.23052449642670778,1.3065493551390754
Non-hospitalised,5,0.7368675175767143,0.2905926542348832,0.22755963232128923,1.2863535774735702
Non-hospitalised,6,0.7255945296806691,0.28589278645854105,0.2246203862763359,1.2663321215080803
Non-hospitalised,7,0.7144123144004324,0.28122985282734186,0.22170391132718031,1.2464649032685233
Non-hospitalised,8,0.7033327079834,0.2766089071509234,0.2188133968142906,1.226773792050471
Non-hospitalised,9,0.6923647074251721,0.2720337764746854,0.21595125733362705,1.2072753252261421
Non-hospitalised,10,0.6815038211960737,0.2675023396904403,0.2131161481716525,1.1879599911054044
Non-hospitalised,11,0.6707528947783638,0.26301574723985033,0.21030879671849867,1.1688306106519284
Non-hospitalised,12,0.6601287137832386,0.2585813406230745,0.20753384436973676,1.1499161257235309
Non-hospitalised,13,0.6496123391488879,0.25419066177624083,0.20478594896876634,1.1311850714457812
Non-hospitalised,14,0.6392338755946715,0.24985697790217817,0.2020734968526022,1.1126953691559838
Non-hospitalised,15,0.628960516394513,0.24556572673826393,0.1993872954019011,1.0943834207481642
Non-hospitalised,16,0.6188301943300375,0.2413336593680989,0.19673792964129624,1.0763223656060572
Non-hospitalised,17,0.6088119705630577,0.23714707108834698,0.19411675412788063,1.0584524247803198
Non-hospitalised,18,0.5989231785197543,0.23301361891831826,0.19152861124355527,1.0408070596451031
Non-hospitalised,19,0.5891840019609387,0.2289422159078727,0.18897913172373068,1.0234251716732503
Non-hospitalised,20,0.5795425406404991,0.22490994590460262,0.18645386787650484,1.0062069474968398
Non-hospitalised,21,0.5700199194502871,0.2209261665871037,0.18395873526921233,0.9891932882753016
Non-hospitalised,22,0.560647002691227,0.21700451760302575,0.1815023433977218,0.9724436822314451
Non-hospitalised,23,0.5513684681113125,0.21312063509026077,0.17906934283457887,0.955852156707679
Non-hospitalised,24,0.542205012493777,0.2092836980624765,0.17666553314345293,0.9394588175861959
Non-hospitalised,25,0.5331560027208048,0.20549348185606553,0.17429078457226863,0.923262823311068
Non-hospitalised,26,0.5242070694194199,0.2017437291664715,0.17194116763412412,0.9072371166675576
Non-hospitalised,27,0.5153909323713911,0.19804889040910592,0.1696257954504701,0.8914446501736304
Non-hospitalised,28,0.5066689120771534,0.19439203743811367,0.16733401803759956,0.8758120052238206
Non-hospitalised,29,0.4980560652033406,0.19077986410099462,0.16507006241649913,0.8603684234400621
Non-hospitalised,30,0.48954792287719284,0.18721048966738799,0.16283275543145329,0.8451058898036843
Non-hospitalised,31,0.48115176279359045,0.18368718150431668,0.16062416356752304,0.8300387283163306
Non-hospitalised,32,0.47283797983823694,0.18019707257967416,0.15843620075840215,0.815111283166894
Non-hospitalised,33,0.4646133028640916,0.17674321396277662,0.15627079859037468,0.8003369707819383
Non-hospitalised,34,0.4564867842864103,0.17332965721442697,0.1541305158309651,0.7857335141536175
Non-hospitalised,35,0.44843640084216596,0.16994689597496765,0.15200938347156073,0.7712598911259065
Non-hospitalised,36,0.44047745227001206,0.16660170663701399,0.14991167285382384,0.7569456200394192
