NIS,name
2000,Vlaams Gewest
3000,Waals Gewest
4000,Brussels Hoofdstedelijk Gewest
10000,Provincie Antwerpen
20001,Provincie Vlaams-Brabant
20002,Provincie Waals-Brabant
30000,Provincie West-Vlaanderen
40000,Provincie Oost-Vlaanderen
50000,Provincie Henegouwen
60000,Provincie Luik
70000,Provincie Limburg
80000,Provincie Luxemburg
90000,Provincie Namen
11000,Arrondissement Antwerpen
12000,Arrondissement Mechelen
13000,Arrondissement Turnhout
21000,Arrondissement Brussel-Hoofdstad
23000,Arrondissement Halle-Vilvoorde
24000,Arrondissement Leuven
25000,Arrondissement Nijvel
31000,Arrondissement Brugge
32000,Arrondissement Diksmuide
33000,Arrondissement Ieper
34000,Arrondissement Kortrijk
35000,Arrondissement Oostende
36000,Arrondissement Roeselare
37000,Arrondissement Tielt
38000,Arrondissement Veurne
41000,Arrondissement Aalst
42000,Arrondissement Dendermonde
43000,Arrondissement Eeklo
44000,Arrondissement Gent
45000,Arrondissement Oudenaarde
46000,Arrondissement Sint-Niklaas
51000,Arrondissement Aat
52000,Arrondissement Charleroi
53000,Arrondissement Bergen
55000,Arrondissement Zinnik
56000,Arrondissement Thuin
57000,Arrondissement Doornik-Moeskroen
58000,Arrondissement La Louvière
61000,Arrondissement Hoei
62000,Arrondissement Luik
63000,Arrondissement Verviers
64000,Arrondissement Borgworm
71000,Arrondissement Hasselt
72000,Arrondissement Maaseik
73000,Arrondissement Tongeren
81000,Arrondissement Aarlen
82000,Arrondissement Bastenaken
83000,Arrondissement Marche-en-Famenne
84000,Arrondissement Neufchâteau
85000,Arrondissement Virton
91000,Arrondissement Dinant
92000,Arrondissement Namen
93000,Arrondissement Philippeville
11001,Aartselaar
11002,Antwerpen
11004,Boechout
11005,Boom
11007,Borsbeek
11008,Brasschaat
11009,Brecht
11013,Edegem
11016,Essen
11018,Hemiksem
11021,Hove (Antwerpen)
11022,Kalmthout
11023,Kapellen (Antwerpen)
11024,Kontich
11025,Lint
11029,Mortsel
11030,Niel
11035,Ranst
11037,Rumst
11038,Schelle
11039,Schilde
11040,Schoten
11044,Stabroek
11050,Wijnegem
11052,Wommelgem
11053,Wuustwezel
11054,Zandhoven
11055,Zoersel
11056,Zwijndrecht
11057,Malle
12002,Berlaar
12005,Bonheiden
12007,Bornem
12009,Duffel
12014,Heist-op-den-Berg
12021,Lier
12025,Mechelen
12026,Nijlen
12029,Putte
12035,Sint-Katelijne-Waver
12040,Willebroek
12041,Puurs-Sint-Amands
13001,Arendonk
13002,Baarle-Hertog
13003,Balen
13004,Beerse
13006,Dessel
13008,Geel
13010,Grobbendonk
13011,Herentals
13012,Herenthout
13013,Herselt
