NIS,age,number
10000,0,19760
10000,1,19944
10000,2,20197
10000,3,20494
10000,4,20539
10000,5,21489
10000,6,21411
10000,7,22018
10000,8,22071
10000,9,22477
10000,10,22048
10000,11,22112
10000,12,21409
10000,13,20996
10000,14,20486
10000,15,20077
10000,16,19710
10000,17,19383
10000,18,19413
10000,19,20144
10000,20,20300
10000,21,20620
10000,22,21072
10000,23,21366
10000,24,22013
10000,25,22372
10000,26,23433
10000,27,24475
10000,28,24628
10000,29,25144
10000,30,24406
10000,31,24674
10000,32,24368
10000,33,24036
10000,34,24020
10000,35,24293
10000,36,24526
10000,37,24472
10000,38,24729
10000,39,25103
10000,40,24480
10000,41,24026
10000,42,23434
10000,43,22507
10000,44,22281
10000,45,22505
10000,46,23117
10000,47,24061
10000,48,25004
10000,49,25656
10000,50,25243
10000,51,25482
10000,52,25258
10000,53,26211
10000,54,26784
10000,55,27359
10000,56,27105
10000,57,26632
10000,58,26294
10000,59,25456
10000,60,25810
10000,61,24511
10000,62,23762
10000,63,23003
10000,64,22567
10000,65,21823
10000,66,20857
10000,67,20553
10000,68,18917
10000,69,18853
10000,70,18586
10000,71,18170
10000,72,18096
10000,73,18234
10000,74,15446
10000,75,15555
10000,76,14244
10000,77,12496
10000,78,10832
10000,79,11710
10000,80,12046
10000,81,12169
10000,82,11094
10000,83,10255
10000,84,9610
10000,85,8797
10000,86,8021
10000,87,7309
10000,88,6663
10000,89,5641
10000,90,4596
10000,91,3720
10000,92,2878
10000,93,2295
10000,94,1742
10000,95,1244
10000,96,889
10000,97,623
10000,98,423
10000,99,301
10000,100,124
10000,101,49
10000,102,32
10000,103,30
10000,104,13
10000,105,13
10000,106,2
10000,107,2
10000,110,1
20001,0,11240
20001,1,11455
20001,2,12129
20001,3,12586
20001,4,12651
20001,5,13209
20001,6,13341
20001,7,13467
20001,8,13521
20001,9,14003
20001,10,13885
20001,11,14029
20001,12,13921
20001,13,13925
20001,14,13555
20001,15,13374
20001,16,13123
20001,17,12890
20001,18,12960
20001,19,13230
20001,20,13253
20001,21,13473
20001,22,13500
20001,23,13716
20001,24,13632
20001,25,13684
20001,26,13630
20001,27,13762
20001,28,13820
20001,29,13686
20001,30,13652
20001,31,13604
20001,32,13723
20001,33,13759
20001,34,13566
20001,35,13947
20001,36,14479
20001,37,14844
20001,38,15051
20001,39,15466
20001,40,15341
20001,41,15227
20001,42,15285
20001,43,14822
20001,44,14529
20001,45,14908
20001,46,15272
20001,47,15727
20001,48,15878
20001,49,16175
20001,50,15992
20001,51,16089
20001,52,16049
20001,53,16438
20001,54,16835
20001,55,17270
20001,56,16914
20001,57,16238
20001,58,16081
20001,59,15967
20001,60,15620
20001,61,14982
20001,62,14812
20001,63,14298
20001,64,13808
20001,65,13124
20001,66,12743
20001,67,12311
20001,68,11862
20001,69,11601
20001,70,11319
20001,71,11304
20001,72,10923
20001,73,10862
20001,74,9533
20001,75,9324
20001,76,8868
20001,77,7517
20001,78,6607
20001,79,7043
20001,80,7375
20001,81,7165
20001,82,6981
20001,83,6241
20001,84,5849
20001,85,5692
20001,86,5224
20001,87,4695
20001,88,4249
20001,89,3775
20001,90,2885
20001,91,2346
20001,92,1907
20001,93,1534
20001,94,1145
20001,95,883
20001,96,624
20001,97,398
20001,98,275
20001,99,175
20001,100,91
20001,101,37
20001,102,24
20001,103,12
20001,104,6
20001,105,7
20001,106,4
20001,107,3
20001,108,2
20002,0,3776
20002,1,3875
20002,2,4074
20002,3,4212
20002,4,4321
20002,5,4412
20002,6,4571
20002,7,4567
20002,8,4601
20002,9,4948
20002,10,4973
20002,11,4980
20002,12,5030
20002,13,5105
20002,14,5044
20002,15,4953
20002,16,4931
20002,17,4910
20002,18,5143
20002,19,5148
20002,20,5070
20002,21,5029
20002,22,5127
20002,23,5173
20002,24,4810
20002,25,4656
20002,26,4699
20002,27,4738
20002,28,4756
20002,29,4619
20002,30,4740
20002,31,4780
20002,32,4699
20002,33,4843
20002,34,4743
20002,35,4777
20002,36,4875
20002,37,4843
20002,38,5013
20002,39,5109
20002,40,5075
20002,41,5022
20002,42,5154
20002,43,5328
20002,44,5301
20002,45,5356
20002,46,5595
20002,47,5851
20002,48,5977
20002,49,5632
20002,50,5629
20002,51,5516
20002,52,5657
20002,53,5803
20002,54,5861
20002,55,5828
20002,56,5696
20002,57,5637
20002,58,5625
20002,59,5621
20002,60,5423
20002,61,5285
20002,62,5074
20002,63,4981
20002,64,4927
20002,65,4647
20002,66,4608
20002,67,4516
20002,68,4300
20002,69,4329
20002,70,4257
20002,71,4353
20002,72,4381
20002,73,4289
20002,74,3345
20002,75,3296
20002,76,2989
20002,77,2491
20002,78,2215
20002,79,2326
20002,80,2494
20002,81,2345
20002,82,2133
20002,83,2023
20002,84,1770
20002,85,1670
20002,86,1569
20002,87,1460
20002,88,1336
20002,89,1173
20002,90,961
20002,91,735
20002,92,609
20002,93,487
20002,94,406
20002,95,326
20002,96,230
20002,97,148
20002,98,129
20002,99,73
20002,100,41
20002,101,10
20002,102,7
20002,103,5
20002,104,4
20002,105,6
21000,0,16600
21000,1,16785
21000,2,16660
21000,3,16467
21000,4,16456
21000,5,16476
21000,6,16064
21000,7,16257
21000,8,15834
21000,9,16142
21000,10,15656
21000,11,15118
21000,12,14841
21000,13,14362
21000,14,13861
21000,15,13567
21000,16,13115
21000,17,12767
21000,18,13327
21000,19,13848
21000,20,14351
21000,21,14216
21000,22,15156
21000,23,16108
21000,24,17434
21000,25,18996
21000,26,20533
21000,27,21410
21000,28,21707
21000,29,22029
21000,30,21673
21000,31,21548
21000,32,20777
21000,33,20196
21000,34,19805
21000,35,19606
21000,36,18877
21000,37,19337
21000,38,18731
21000,39,19533
21000,40,18738
21000,41,18563
21000,42,18212
21000,43,17754
21000,44,17035
21000,45,17317
21000,46,16866
21000,47,16584
21000,48,16254
21000,49,16454
21000,50,16042
21000,51,15652
21000,52,14788
21000,53,14735
21000,54,14459
21000,55,14309
21000,56,13675
21000,57,13306
21000,58,12892
21000,59,13016
21000,60,12202
21000,61,11585
21000,62,10904
21000,63,10781
21000,64,10313
21000,65,9745
21000,66,9282
21000,67,9181
21000,68,8228
21000,69,8520
21000,70,7947
21000,71,7925
21000,72,7742
21000,73,7498
21000,74,6512
21000,75,6628
21000,76,6006
21000,77,5441
21000,78,4506
21000,79,5248
21000,80,5030
21000,81,4821
21000,82,4415
21000,83,4305
21000,84,3999
21000,85,3765
21000,86,3390
21000,87,3203
21000,88,2859
21000,89,2775
21000,90,2271
21000,91,1925
21000,92,1548
21000,93,1286
21000,94,1040
21000,95,770
21000,96,576
21000,97,447
21000,98,294
21000,99,204
21000,100,113
21000,101,61
21000,102,32
21000,103,19
21000,104,12
21000,105,13
21000,106,3
21000,107,2
21000,108,1
21000,109,1
21000,110,1
21000,111,3
30000,0,10726
30000,1,11244
30000,2,10934
30000,3,11564
30000,4,11419
30000,5,11739
30000,6,11887
30000,7,12140
30000,8,12439
30000,9,12702
30000,10,12577
30000,11,13065
30000,12,12534
30000,13,12425
30000,14,12230
30000,15,11904
30000,16,11621
30000,17,11731
30000,18,12011
30000,19,12522
30000,20,12450
30000,21,13086
30000,22,13327
30000,23,13532
30000,24,13455
30000,25,13507
30000,26,13981
30000,27,14303
30000,28,14551
30000,29,14176
30000,30,14006
30000,31,13851
30000,32,13603
30000,33,13820
30000,34,13434
30000,35,13722
30000,36,14062
30000,37,14154
30000,38,14473
30000,39,14507
30000,40,14286
30000,41,14219
30000,42,14091
30000,43,13801
30000,44,13610
30000,45,14256
30000,46,14646
30000,47,15361
30000,48,15958
30000,49,16331
30000,50,16315
30000,51,16192
30000,52,16729
30000,53,17284
30000,54,17924
30000,55,18564
30000,56,18003
30000,57,17801
30000,58,17614
30000,59,17067
30000,60,16966
30000,61,16825
30000,62,16572
30000,63,16398
30000,64,16072
30000,65,15603
30000,66,15131
30000,67,15090
30000,68,14181
30000,69,14041
30000,70,14113
30000,71,14145
30000,72,13753
30000,73,13969
30000,74,12570
30000,75,12014
30000,76,11275
30000,77,9649
30000,78,8838
30000,79,9043
30000,80,9817
30000,81,9612
30000,82,8964
30000,83,8118
30000,84,7453
30000,85,7078
30000,86,6378
30000,87,6007
30000,88,5355
30000,89,4572
30000,90,3769
30000,91,2983
30000,92,2322
30000,93,1979
30000,94,1528
30000,95,1108
30000,96,811
30000,97,570
30000,98,351
30000,99,229
30000,100,100
30000,101,47
30000,102,33
30000,103,22
30000,104,13
30000,105,5
30000,106,3
30000,107,1
30000,108,2
30000,109,1
40000,0,14427
40000,1,15075
40000,2,15121
40000,3,15738
40000,4,16140
40000,5,16359
40000,6,16465
40000,7,16984
40000,8,17502
40000,9,17441
40000,10,17686
40000,11,17874
40000,12,17231
40000,13,17302
40000,14,16676
40000,15,16539
40000,16,15670
40000,17,15507
40000,18,15856
40000,19,16440
40000,20,16340
40000,21,16607
40000,22,17460
40000,23,17685
40000,24,18063
40000,25,18385
40000,26,19494
40000,27,19969
40000,28,20262
40000,29,20148
40000,30,19598
40000,31,19545
40000,32,19213
40000,33,19308
40000,34,18849
40000,35,19162
40000,36,19518
40000,37,19937
40000,38,20449
40000,39,20492
40000,40,20585
40000,41,20566
40000,42,19569
40000,43,19672
40000,44,19009
40000,45,19415
40000,46,19701
40000,47,20574
40000,48,21268
40000,49,21372
40000,50,21118
40000,51,21309
40000,52,21434
40000,53,21535
40000,54,21774
40000,55,22604
40000,56,22059
40000,57,21545
40000,58,21021
40000,59,20490
40000,60,20386
40000,61,19887
40000,62,19207
40000,63,18600
40000,64,18028
40000,65,17546
40000,66,16642
40000,67,16574
40000,68,16040
40000,69,15730
40000,70,15555
40000,71,15426
40000,72,15042
40000,73,15176
40000,74,13191
40000,75,12927
40000,76,11995
40000,77,9931
40000,78,8511
40000,79,9460
40000,80,10377
40000,81,10150
40000,82,9216
40000,83,8719
40000,84,8009
40000,85,7692
40000,86,7106
40000,87,6329
40000,88,5761
40000,89,4894
40000,90,3716
40000,91,3103
40000,92,2476
40000,93,1883
40000,94,1529
40000,95,1127
40000,96,791
40000,97,523
40000,98,394
40000,99,238
40000,100,118
40000,101,37
40000,102,29
40000,103,24
40000,104,9
40000,105,7
40000,106,4
40000,107,2
40000,111,1
50000,0,13428
50000,1,13570
50000,2,13978
50000,3,14178
50000,4,14732
50000,5,15164
50000,6,15393
50000,7,15769
50000,8,15994
50000,9,16250
50000,10,16331
50000,11,16338
50000,12,16478
50000,13,16392
50000,14,16065
50000,15,16026
50000,16,15838
50000,17,15941
50000,18,16527
50000,19,16540
50000,20,16173
50000,21,15999
50000,22,15887
50000,23,15988
50000,24,15568
50000,25,15374
50000,26,15789
50000,27,16599
50000,28,17216
50000,29,17202
50000,30,17390
50000,31,17102
50000,32,16906
50000,33,17061
50000,34,16548
50000,35,16566
50000,36,16069
50000,37,16870
50000,38,17200
50000,39,17391
50000,40,16932
50000,41,16966
50000,42,16991
50000,43,16921
50000,44,17296
50000,45,17963
50000,46,18662
50000,47,19247
50000,48,19300
50000,49,19044
50000,50,18683
50000,51,18224
50000,52,18020
50000,53,18366
50000,54,18706
50000,55,19015
50000,56,18783
50000,57,18019
50000,58,18260
50000,59,18175
50000,60,18329
50000,61,17903
50000,62,17148
50000,63,16959
50000,64,16468
50000,65,16349
50000,66,15794
50000,67,15112
50000,68,14779
50000,69,14646
50000,70,14705
50000,71,14666
50000,72,14303
50000,73,14004
50000,74,10108
50000,75,9791
50000,76,8849
50000,77,7302
50000,78,6684
50000,79,7224
50000,80,7551
50000,81,7250
50000,82,6534
50000,83,6213
50000,84,5688
50000,85,5435
50000,86,4868
50000,87,4928
50000,88,4317
50000,89,3889
50000,90,3090
50000,91,2502
50000,92,2221
50000,93,1634
50000,94,1313
50000,95,997
50000,96,663
50000,97,455
50000,98,333
50000,99,242
50000,100,95
50000,101,40
50000,102,17
50000,103,16
50000,104,7
50000,105,9
50000,106,4
50000,107,2
50000,108,1
60000,0,11500
60000,1,11514
60000,2,11825
60000,3,12064
60000,4,12082
60000,5,12518
60000,6,12538
60000,7,12949
60000,8,13213
60000,9,13340
60000,10,13259
60000,11,13287
60000,12,12755
60000,13,13060
60000,14,12790
60000,15,12547
60000,16,12639
60000,17,12652
60000,18,13199
60000,19,13254
60000,20,13042
60000,21,13125
60000,22,13304
60000,23,13470
60000,24,13332
60000,25,13461
60000,26,13862
60000,27,14285
60000,28,14787
60000,29,14926
60000,30,14635
60000,31,14886
60000,32,14476
60000,33,14345
60000,34,14188
60000,35,14038
60000,36,13731
60000,37,14111
60000,38,14168
60000,39,14206
60000,40,13911
60000,41,13588
60000,42,13415
60000,43,13877
60000,44,13663
60000,45,14142
60000,46,14576
60000,47,14875
60000,48,15062
60000,49,15009
60000,50,14781
60000,51,14890
60000,52,14850
60000,53,15286
60000,54,15592
60000,55,16092
60000,56,15625
60000,57,14984
60000,58,15106
60000,59,14961
60000,60,14935
60000,61,14626
60000,62,14369
60000,63,13716
60000,64,13555
60000,65,13190
60000,66,12813
60000,67,12384
60000,68,12103
60000,69,12324
60000,70,11618
60000,71,11679
60000,72,11294
60000,73,10796
60000,74,8172
60000,75,8042
60000,76,7361
60000,77,6740
60000,78,6028
60000,79,6697
60000,80,6796
60000,81,6446
60000,82,5780
60000,83,5319
60000,84,4955
60000,85,4671
60000,86,4338
60000,87,4107
60000,88,3604
60000,89,3093
60000,90,2549
60000,91,2025
60000,92,1589
60000,93,1335
60000,94,1021
60000,95,718
60000,96,478
60000,97,344
60000,98,234
60000,99,150
60000,100,92
60000,101,26
60000,102,16
60000,103,7
60000,104,6
60000,105,6
60000,106,3
60000,107,1
60000,108,1
70000,0,7770
70000,1,7823
70000,2,8206
70000,3,8585
70000,4,8622
70000,5,8988
70000,6,9086
70000,7,9425
70000,8,9660
70000,9,9733
70000,10,9660
70000,11,9716
70000,12,9574
70000,13,9274
70000,14,9082
70000,15,9059
70000,16,8667
70000,17,8864
70000,18,9000
70000,19,9085
70000,20,9173
70000,21,9151
70000,22,9609
70000,23,9382
70000,24,9463
70000,25,9375
70000,26,9942
70000,27,10388
70000,28,10672
70000,29,10601
70000,30,10342
70000,31,10398
70000,32,10343
70000,33,10577
70000,34,10583
70000,35,10702
70000,36,10969
70000,37,11512
70000,38,11857
70000,39,11662
70000,40,11975
70000,41,11547
70000,42,11487
70000,43,11164
70000,44,10508
70000,45,10984
70000,46,11004
70000,47,11498
70000,48,11731
70000,49,12414
70000,50,12383
70000,51,12341
70000,52,12666
70000,53,13163
70000,54,13435
70000,55,14052
70000,56,13773
70000,57,13728
70000,58,13578
70000,59,13271
70000,60,13421
70000,61,12949
70000,62,12524
70000,63,11944
70000,64,11874
70000,65,11513
70000,66,11096
70000,67,10894
70000,68,10345
70000,69,9979
70000,70,9783
70000,71,9551
70000,72,8972
70000,73,8536
70000,74,7712
70000,75,7093
70000,76,6941
70000,77,6178
70000,78,5425
70000,79,5928
70000,80,6052
70000,81,5960
70000,82,5465
70000,83,4910
70000,84,4495
70000,85,4222
70000,86,3750
70000,87,3391
70000,88,2830
70000,89,2546
70000,90,1950
70000,91,1588
70000,92,1247
70000,93,915
70000,94,693
70000,95,513
70000,96,374
70000,97,213
70000,98,141
70000,99,92
70000,100,46
70000,101,13
70000,102,11
70000,103,5
70000,104,2
70000,105,4
70000,106,1
70000,108,1
80000,0,3162
80000,1,2918
80000,2,3091
80000,3,3053
80000,4,3255
80000,5,3326
80000,6,3398
80000,7,3534
80000,8,3513
80000,9,3604
80000,10,3542
80000,11,3653
80000,12,3668
80000,13,3660
80000,14,3623
80000,15,3702
80000,16,3527
80000,17,3617
80000,18,3621
80000,19,3824
80000,20,3505
80000,21,3594
80000,22,3620
80000,23,3633
80000,24,3571
80000,25,3406
80000,26,3672
80000,27,3768
80000,28,3750
80000,29,3758
80000,30,3806
80000,31,3828
80000,32,3760
80000,33,3836
80000,34,3526
80000,35,3646
80000,36,3464
80000,37,3701
80000,38,3734
80000,39,3735
80000,40,3640
80000,41,3569
80000,42,3709
80000,43,3602
80000,44,3805
80000,45,3764
80000,46,3970
80000,47,3988
80000,48,4066
80000,49,3921
80000,50,3926
80000,51,3798
80000,52,3833
80000,53,3904
80000,54,4112
80000,55,4144
80000,56,3971
80000,57,3804
80000,58,3947
80000,59,3714
80000,60,3801
80000,61,3576
80000,62,3514
80000,63,3309
80000,64,3231
80000,65,3171
80000,66,3066
80000,67,3078
80000,68,2764
80000,69,2737
80000,70,2729
80000,71,2758
80000,72,2732
80000,73,2505
80000,74,1822
80000,75,1789
80000,76,1605
80000,77,1517
80000,78,1272
80000,79,1416
80000,80,1594
80000,81,1491
80000,82,1448
80000,83,1275
80000,84,1224
80000,85,1188
80000,86,1071
80000,87,941
80000,88,916
80000,89,792
80000,90,595
80000,91,535
80000,92,388
80000,93,322
80000,94,245
80000,95,181
80000,96,126
80000,97,100
80000,98,59
80000,99,44
80000,100,17
80000,101,8
80000,102,4
80000,103,3
80000,104,1
80000,105,1
90000,0,4775
90000,1,4907
90000,2,4868
90000,3,5112
90000,4,5311
90000,5,5387
90000,6,5566
90000,7,5657
90000,8,5806
90000,9,5782
90000,10,5880
90000,11,5887
90000,12,5924
90000,13,5964
90000,14,5805
90000,15,5889
90000,16,5889
90000,17,5740
90000,18,5968
90000,19,6222
90000,20,6021
90000,21,6167
90000,22,6042
90000,23,6130
90000,24,5803
90000,25,5967
90000,26,5943
90000,27,6405
90000,28,6347
90000,29,6421
90000,30,6499
90000,31,6553
90000,32,6361
90000,33,6338
90000,34,6243
90000,35,6211
90000,36,6274
90000,37,6261
90000,38,6345
90000,39,6411
90000,40,6214
90000,41,6096
90000,42,6196
90000,43,6139
90000,44,6139
90000,45,6452
90000,46,6567
90000,47,6778
90000,48,6822
90000,49,6757
90000,50,6617
90000,51,6584
90000,52,6818
90000,53,6834
90000,54,6943
90000,55,7199
90000,56,7054
90000,57,6899
90000,58,7036
90000,59,6857
90000,60,6737
90000,61,6531
90000,62,6449
90000,63,6253
90000,64,6029
90000,65,5938
90000,66,5885
90000,67,5775
90000,68,5545
90000,69,5542
90000,70,5452
90000,71,5540
90000,72,5266
90000,73,4999
90000,74,3635
90000,75,3350
90000,76,3099
90000,77,2669
90000,78,2569
90000,79,2738
90000,80,2911
90000,81,2756
90000,82,2513
90000,83,2364
90000,84,2103
90000,85,2016
90000,86,1773
90000,87,1740
90000,88,1536
90000,89,1342
90000,90,1056
90000,91,896
90000,92,711
90000,93,603
90000,94,442
90000,95,317
90000,96,227
90000,97,175
90000,98,115
90000,99,69
90000,100,30
90000,101,24
90000,102,8
90000,103,10
90000,104,4
90000,105,6
90000,107,1
90000,110,1
