date,age,dose,VOC,e_s,e_i,e_h
2020-12-28,"[0, 12)",none,WT,0.0,0.0,0.0
2020-12-28,"[0, 12)",none,abc,0.0,0.0,0.0
2020-12-28,"[0, 12)",none,delta,0.0,0.0,0.0
2020-12-28,"[0, 12)",none,omicron,0.0,0.0,0.0
2020-12-28,"[0, 12)",partial,WT,0.435,0.31,0.47
2020-12-28,"[0, 12)",partial,abc,0.435,0.31,0.47
2020-12-28,"[0, 12)",partial,delta,0.395,0.19,0.47
2020-12-28,"[0, 12)",partial,omicron,0.025,0.11,0.33
2020-12-28,"[0, 12)",full,WT,0.87,0.62,0.94
2020-12-28,"[0, 12)",full,abc,0.87,0.62,0.94
2020-12-28,"[0, 12)",full,delta,0.79,0.38,0.94
2020-12-28,"[0, 12)",full,omicron,0.05,0.22,0.66
2020-12-28,"[0, 12)",boosted,WT,0.87,0.62,0.94
2020-12-28,"[0, 12)",boosted,abc,0.87,0.62,0.94
2020-12-28,"[0, 12)",boosted,delta,0.8,0.34,0.94
2020-12-28,"[0, 12)",boosted,omicron,0.45,0.34,0.87
2020-12-28,"[12, 18)",none,WT,0.0,0.0,0.0
2020-12-28,"[12, 18)",none,abc,0.0,0.0,0.0
2020-12-28,"[12, 18)",none,delta,0.0,0.0,0.0
2020-12-28,"[12, 18)",none,omicron,0.0,0.0,0.0
2020-12-28,"[12, 18)",partial,WT,0.435,0.31,0.47
2020-12-28,"[12, 18)",partial,abc,0.435,0.31,0.47
2020-12-28,"[12, 18)",partial,delta,0.395,0.19,0.47
2020-12-28,"[12, 18)",partial,omicron,0.025,0.11,0.33
2020-12-28,"[12, 18)",full,WT,0.87,0.62,0.94
2020-12-28,"[12, 18)",full,abc,0.87,0.62,0.94
2020-12-28,"[12, 18)",full,delta,0.79,0.38,0.94
2020-12-28,"[12, 18)",full,omicron,0.05,0.22,0.66
2020-12-28,"[12, 18)",boosted,WT,0.87,0.62,0.94
2020-12-28,"[12, 18)",boosted,abc,0.87,0.62,0.94
2020-12-28,"[12, 18)",boosted,delta,0.8,0.34,0.94
2020-12-28,"[12, 18)",boosted,omicron,0.45,0.34,0.87
2020-12-28,"[18, 25)",none,WT,0.0,0.0,0.0
2020-12-28,"[18, 25)",none,abc,0.0,0.0,0.0
2020-12-28,"[18, 25)",none,delta,0.0,0.0,0.0
2020-12-28,"[18, 25)",none,omicron,0.0,0.0,0.0
2020-12-28,"[18, 25)",partial,WT,0.435,0.31,0.47
2020-12-28,"[18, 25)",partial,abc,0.435,0.31,0.47
2020-12-28,"[18, 25)",partial,delta,0.395,0.19,0.47
2020-12-28,"[18, 25)",partial,omicron,0.025,0.11,0.33
2020-12-28,"[18, 25)",full,WT,0.87,0.62,0.94
2020-12-28,"[18, 25)",full,abc,0.87,0.62,0.94
2020-12-28,"[18, 25)",full,delta,0.79,0.38,0.94
2020-12-28,"[18, 25)",full,omicron,0.05,0.22,0.66
2020-12-28,"[18, 25)",boosted,WT,0.87,0.62,0.94
2020-12-28,"[18, 25)",boosted,abc,0.87,0.62,0.94
2020-12-28,"[18, 25)",boosted,delta,0.8,0.34,0.94
2020-12-28,"[18, 25)",boosted,omicron,0.45,0.34,0.87
2020-12-28,"[25, 35)",none,WT,0.0,0.0,0.0
2020-12-28,"[25, 35)",none,abc,0.0,0.0,0.0
2020-12-28,"[25, 35)",none,delta,0.0,0.0,0.0
2020-12-28,"[25, 35)",none,omicron,0.0,0.0,0.0
2020-12-28,"[25, 35)",partial,WT,0.435,0.31,0.47
2020-12-28,"[25, 35)",partial,abc,0.435,0.31,0.47
2020-12-28,"[25, 35)",partial,delta,0.395,0.19,0.47
2020-12-28,"[25, 35)",partial,omicron,0.025,0.11,0.33
2020-12-28,"[25, 35)",full,WT,0.87,0.62,0.94
2020-12-28,"[25, 35)",full,abc,0.87,0.62,0.94
2020-12-28,"[25, 35)",full,delta,0.79,0.38,0.94
2020-12-28,"[25, 35)",full,omicron,0.05,0.22,0.66
2020-12-28,"[25, 35)",boosted,WT,0.87,0.62,0.94
2020-12-28,"[25, 35)",boosted,abc,0.87,0.62,0.94
2020-12-28,"[25, 35)",boosted,delta,0.8,0.34,0.94
2020-12-28,"[25, 35)",boosted,omicron,0.45,0.34,0.87
2020-12-28,"[35, 45)",none,WT,0.0,0.0,0.0
2020-12-28,"[35, 45)",none,abc,0.0,0.0,0.0
2020-12-28,"[35, 45)",none,delta,0.0,0.0,0.0
2020-12-28,"[35, 45)",none,omicron,0.0,0.0,0.0
2020-12-28,"[35, 45)",partial,WT,0.435,0.31,0.47
2020-12-28,"[35, 45)",partial,abc,0.435,0.31,0.47
2020-12-28,"[35, 45)",partial,delta,0.395,0.19,0.47
2020-12-28,"[35, 45)",partial,omicron,0.025,0.11,0.33
2020-12-28,"[35, 45)",full,WT,0.87,0.62,0.94
2020-12-28,"[35, 45)",full,abc,0.87,0.62,0.94
2020-12-28,"[35, 45)",full,delta,0.79,0.38,0.94
2020-12-28,"[35, 45)",full,omicron,0.05,0.22,0.66
2020-12-28,"[35, 45)",boosted,WT,0.87,0.62,0.94
2020-12-28,"[35, 45)",boosted,abc,0.87,0.62,0.94
2020-12-28,"[35, 45)",boosted,delta,0.8,0.34,0.94
2020-12-28,"[35, 45)",boosted,omicron,0.45,0.34,0.87
2020-12-28,"[45, 55)",none,WT,0.0,0.0,0.0
2020-12-28,"[45, 55)",none,abc,0.0,0.0,0.0
2020-12-28,"[45, 55)",none,delta,0.0,0.0,0.0
2020-12-28,"[45, 55)",none,omicron,0.0,0.0,0.0
2020-12-28,"[45, 55)",partial,WT,0.435,0.31,0.47
2020-12-28,"[45, 55)",partial,abc,0.435,0.31,0.47
2020-12-28,"[45, 55)",partial,delta,0.395,0.19,0.47
2020-12-28,"[45, 55)",partial,omicron,0.025,0.11,0.33
2020-12-28,"[45, 55)",full,WT,0.87,0.62,0.94
2020-12-28,"[45, 55)",full,abc,0.87,0.62,0.94
2020-12-28,"[45, 55)",full,delta,0.79,0.38,0.94
2020-12-28,"[45, 55)",full,omicron,0.05,0.22,0.66
2020-12-28,"[45, 55)",boosted,WT,0.87,0.62,0.94
2020-12-28,"[45, 55)",boosted,abc,0.87,0.62,0.94
2020-12-28,"[45, 55)",boosted,delta,0.8,0.34,0.94
2020-12-28,"[45, 55)",boosted,omicron,0.45,0.34,0.87
2020-12-28,"[55, 65)",none,WT,0.0,0.0,0.0
2020-12-28,"[55, 65)",none,abc,0.0,0.0,0.0
2020-12-28,"[55, 65)",none,delta,0.0,0.0,0.0
2020-12-28,"[55, 65)",none,omicron,0.0,0.0,0.0
2020-12-28,"[55, 65)",partial,WT,0.435,0.31,0.47
2020-12-28,"[55, 65)",partial,abc,0.435,0.31,0.47
2020-12-28,"[55, 65)",partial,delta,0.395,0.19,0.47
2020-12-28,"[55, 65)",partial,omicron,0.025,0.11,0.33
2020-12-28,"[55, 65)",full,WT,0.87,0.62,0.94
2020-12-28,"[55, 65)",full,abc,0.87,0.62,0.94
2020-12-28,"[55, 65)",full,delta,0.79,0.38,0.94
2020-12-28,"[55, 65)",full,omicron,0.05,0.22,0.66
