,NIS,Woonplaats,Mannen,Vrouwen,inhabitants
2,1000,België,5660064.0,5832577.0,11492641.0
3,2000,Vlaams Gewest,3280498.0,3348645.0,6629143.0
4,3000,Waals Gewest,1781860.0,1863383.0,3645243.0
5,4000,Brussels Hoofdstedelijk Gewest,597706.0,620549.0,1218255.0
6,10000,Provincie Antwerpen,927773.0,941957.0,1869730.0
7,11000,Arrondissement Antwerpen,524320.0,533416.0,1057736.0
8,11001,Aartselaar,7153.0,7274.0,14427.0
9,11002,Antwerpen,264763.0,264484.0,529247.0
10,11004,Boechout,6526.0,6846.0,13372.0
11,11005,Boom,9242.0,9313.0,18555.0
12,11007,Borsbeek,5305.0,5644.0,10949.0
13,11008,Brasschaat,18352.0,19871.0,38223.0
14,11009,Brecht,14652.0,14802.0,29454.0
15,11013,Edegem,10722.0,11539.0,22261.0
16,11016,Essen,9580.0,9582.0,19162.0
17,11018,Hemiksem,5793.0,5841.0,11634.0
18,11021,Hove (Antwerpen),3974.0,4303.0,8277.0
19,11022,Kalmthout,9224.0,9648.0,18872.0
20,11023,Kapellen (Antwerpen),13167.0,13814.0,26981.0
21,11024,Kontich,10435.0,10768.0,21203.0
22,11025,Lint,4295.0,4346.0,8641.0
23,11029,Mortsel,12704.0,13453.0,26157.0
24,11030,Niel,5237.0,5309.0,10546.0
25,11035,Ranst,9601.0,9586.0,19187.0
26,11037,Rumst,7475.0,7575.0,15050.0
27,11038,Schelle,4146.0,4383.0,8529.0
28,11039,Schilde,9720.0,10153.0,19873.0
29,11040,Schoten,16582.0,17734.0,34316.0
30,11044,Stabroek,9337.0,9452.0,18789.0
31,11050,Wijnegem,4841.0,5142.0,9983.0
32,11052,Wommelgem,6404.0,6539.0,12943.0
33,11053,Wuustwezel,10668.0,10545.0,21213.0
34,11054,Zandhoven,6502.0,6569.0,13071.0
35,11055,Zoersel,10794.0,11271.0,22065.0
36,11056,Zwijndrecht,9409.0,9745.0,19154.0
37,11057,Malle,7717.0,7885.0,15602.0
38,12000,Arrondissement Mechelen,170620.0,176505.0,347125.0
39,12002,Berlaar,5777.0,5879.0,11656.0
