Day since March 1st,SXmas2_incidences_mean,SXmas2_incidences_LL,SXmas2_incidences_UL,SXmas2_load_mean,SXmas2_load_LL,SXmas2_load_UL
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,1,2,1,0,0,0
9,3,4,4,0,0,0
10,11,11,11,0,0,0
11,32,29,25,0,0,0
12,52,57,56,0,0,0
13,92,92,92,0,0,0
14,117,115,117,0,0,0
15,90,91,93,350,350,350
16,90,90,92,440,441,443
17,145,151,153,530,531,535
18,181,165,171,675,682,688
19,204,211,207,855,846,858
20,281,279,278,1056,1054,1062
21,331,339,342,1327,1323,1331
22,296,293,285,1632,1638,1653
23,314,316,307,1884,1885,1891
24,520,509,505,2131,2133,2130
25,551,548,546,2561,2555,2545
26,577,572,580,3020,3008,2995
27,615,610,619,3496,3481,3473
28,631,636,630,3999,3974,3974
29,481,487,481,4489,4484,4472
30,446,459,463,4812,4804,4791
31,639,654,645,5055,5061,5050
32,625,620,625,5449,5465,5438
33,601,598,601,5766,5774,5763
34,556,542,562,6017,6019,6030
35,532,531,528,6166,6171,6202
36,372,374,367,6269,6275,6306
37,335,333,338,6189,6202,6217
38,467,460,464,6060,6075,6081
39,451,441,451,6044,6055,6069
40,421,441,419,5998,5986,6014
41,431,431,428,5922,5915,5915
42,391,395,391,5862,5839,5852
43,261,266,266,5768,5756,5761
44,241,239,233,5563,5551,5555
45,219,221,223,5357,5359,5344
46,338,335,336,5147,5154,5140
47,333,326,328,5078,5079,5076
48,273,273,271,5017,5010,5002
49,257,263,265,4907,4910,4895
50,186,184,179,4789,4807,4783
51,164,167,168,4616,4615,4607
52,232,224,227,4416,4418,4415
53,215,216,218,4306,4304,4304
54,205,212,205,4183,4178,4175
55,192,191,183,4046,4044,4039
56,177,176,181,3907,3902,3889
57,127,125,124,3761,3758,3748
58,111,115,114,3562,3563,3554
59,158,156,160,3367,3367,3361
60,146,145,155,3225,3223,3223
61,141,143,143,3078,3072,3089
62,107,105,105,2937,2933,2945
63,88,86,86,2774,2772,2782
64,84,83,88,2606,2610,2617
65,77,79,75,2452,2447,2454
66,126,124,124,2296,2297,2307
67,115,113,112,2210,2205,2215
68,107,106,106,2119,2117,2125
69,87,89,87,2034,2023,2031
70,86,88,82,1930,1930,1928
71,60,61,59,1844,1843,1829
72,54,54,54,1735,1731,1718
73,73,76,76,1638,1626,1620
74,71,70,71,1558,1549,1542
75,67,66,69,1487,1478,1473
76,58,62,62,1422,1410,1407
77,56,63,62,1347,1338,1340
78,45,41,43,1275,1279,1280
79,41,43,40,1206,1204,1208
80,52,54,56,1137,1139,1138
81,58,57,51,1085,1089,1096
82,50,52,53,1043,1046,1044
83,51,52,54,999,1004,1001
84,53,47,45,963,965,963
85,36,34,31,931,926,929
86,29,30,31,887,880,882
87,44,43,41,845,841,836
88,38,41,43,817,808,803
89,39,40,42,782,779,775
90,42,42,37,755,746,749
91,37,39,39,734,726,720
92,27,27,26,707,701,698
93,24,25,25,678,669,664
94,35,33,32,643,636,628
95,32,33,38,617,615,606
96,31,31,30,595,594,593
97,31,30,29,574,574,574
98,28,32,30,556,555,557
99,20,20,19,542,544,539
100,22,18,18,521,519,513
101,27,26,26,498,492,490
102,23,25,26,485,476,475
103,24,23,26,467,459,461
104,23,23,24,451,442,449
105,21,24,22,435,430,437
106,16,16,16,423,419,417
107,16,16,13,405,400,400
108,22,22,19,390,383,383
109,20,21,20,381,374,372
110,18,20,17,369,363,362
111,19,19,21,355,353,350
112,17,16,18,345,343,343
113,12,12,11,336,333,333
114,11,11,12,322,319,316
115,16,16,15,310,306,302
116,14,16,17,302,297,295
117,15,15,15,295,292,289
118,15,14,15,287,284,283
119,13,14,13,279,274,276
120,10,10,10,270,264,268
121,9,8,10,259,253,259
122,12,12,13,248,240,247
123,13,10,12,240,236,241
124,11,13,12,235,227,235
125,11,11,10,228,223,227
126,11,11,11,222,216,220
127,8,7,8,219,210,214
128,7,7,7,211,202,206
129,8,10,8,201,192,196
130,9,9,11,195,186,189
131,11,10,9,188,180,185
132,11,12,10,183,176,177
133,12,11,12,182,173,173
134,8,8,9,180,172,171
135,8,9,8,175,166,167
136,13,14,13,169,163,162
137,14,12,13,170,164,162
138,15,14,13,172,165,164
139,13,14,15,176,168,166
140,16,15,16,179,171,171
141,11,13,12,184,178,178
142,10,13,14,183,180,179
143,18,18,18,183,181,182
144,18,18,19,191,190,189
145,20,18,19,198,196,195
146,22,20,18,205,201,203
147,21,20,22,215,208,208
148,17,18,18,223,216,216
149,15,16,17,226,220,220
150,25,24,27,228,223,224
151,25,23,26,239,234,236
152,27,26,26,248,240,247
153,28,32,27,260,249,255
154,29,29,29,272,266,265
155,21,23,24,283,279,277
156,25,22,20,287,287,283
157,35,31,36,297,290,287
