,Date,S1a_incidences_mean,S1a_incidences_median,S1a_incidences_LL,S1a_incidences_UL,S1a_load_mean,S1a_load_median,S1a_load_LL,S1a_load_UL,S2a_incidences_mean,S2a_incidences_median,S2a_incidences_LL,S2a_incidences_UL,S2a_load_mean,S2a_load_median,S2a_load_LL,S2a_load_UL,S2b1_incidences_mean,S2b1_incidences_median,S2b1_incidences_LL,S2b1_incidences_UL,S2b1_load_mean,S2b1_load_median,S2b1_load_LL,S2b1_load_UL,S2c1_incidences_mean,S2c1_incidences_median,S2c1_incidences_LL,S2c1_incidences_UL,S2c1_load_mean,S2c1_load_median,S2c1_load_LL,S2c1_load_UL,S3_incidences_mean,S3_incidences_median,S3_incidences_LL,S3_incidences_UL,S3_load_mean,S3_load_median,S3_load_LL,S3_load_UL
0,2020-09-01,11.3681876,11.0,5.0,18.0,196.6406416,196.0,170.0,225.0,11.3635088,11.0,5.0,18.0,196.65792,196.0,170.0,225.0,11.3662412,11.0,5.0,18.0,196.6491292,196.0,170.0,225.0,11.3661296,11.0,5.0,18.0,196.6386188,196.0,170.0,225.0,11.3656228,11.0,5.0,18.0,196.6532156,196.0,170.0,225.0
1,2020-09-02,11.0875004,11.0,5.0,18.0,191.8539044,192.0,165.0,219.0,11.084866,11.0,5.0,18.0,191.8530644,192.0,165.0,219.0,11.0865076,11.0,5.0,18.0,191.8550588,192.0,165.0,219.0,11.0861932,11.0,5.0,18.0,191.8498144,192.0,165.0,219.0,11.0861768,11.0,5.0,18.0,191.8458356,192.0,165.0,219.0
2,2020-09-03,10.8918976,11.0,5.0,18.0,187.2465992,187.0,161.0,215.0,10.890994,11.0,5.0,18.0,187.268276,187.0,161.0,215.0,10.8893276,11.0,5.0,18.0,187.2535452,187.0,161.0,215.0,10.8926548,11.0,5.0,18.0,187.2825336,187.0,161.0,215.0,10.897334,11.0,5.0,18.0,187.261846,187.0,161.0,215.0
3,2020-09-04,10.7867412,11.0,5.0,18.0,182.9933604,183.0,157.0,210.0,10.7880388,11.0,5.0,18.0,183.0009804,183.0,157.0,210.0,10.7889896,11.0,5.0,18.0,183.0049052,183.0,157.0,210.0,10.7860996,11.0,5.0,18.0,183.0094732,183.0,157.0,210.0,10.7934188,11.0,5.0,18.0,183.0065484,183.0,157.0,210.0
4,2020-09-05,10.8208972,11.0,5.0,18.0,179.187856,179.0,153.0,206.0,10.8192872,11.0,5.0,18.0,179.1750484,179.0,153.0,206.0,10.8207756,11.0,5.0,18.0,179.178608,179.0,153.0,206.0,10.819172,11.0,5.0,18.0,179.1870784,179.0,153.0,206.0,10.8246528,11.0,5.0,18.0,179.1891852,179.0,153.0,206.0
5,2020-09-06,10.9850976,11.0,5.0,18.0,175.9431236,176.0,150.0,202.0,10.9845892,11.0,5.0,18.0,175.956378,176.0,150.0,202.0,10.9878484,11.0,5.0,18.0,175.9516228,176.0,150.0,202.0,10.9878464,11.0,5.0,18.0,175.9495168,176.0,150.0,202.0,10.9860544,11.0,5.0,18.0,175.9310104,176.0,150.0,202.0
6,2020-09-07,11.2837372,11.0,5.0,18.0,173.3627824,173.0,148.0,200.0,11.2816924,11.0,5.0,18.0,173.376106,173.0,148.0,200.0,11.2787064,11.0,5.0,18.0,173.3692532,173.0,148.0,200.0,11.2785864,11.0,5.0,18.0,173.3680452,173.0,148.0,200.0,11.2845924,11.0,5.0,18.0,173.3545568,173.0,148.0,200.0
7,2020-09-08,11.7291752,12.0,6.0,19.0,171.5683216,171.0,146.0,198.0,11.7362612,12.0,6.0,19.0,171.576756,171.0,146.0,198.0,11.7360472,12.0,6.0,19.0,171.5836636,171.0,146.0,198.0,11.7362388,12.0,6.0,19.0,171.5620868,171.0,146.0,198.0,11.7332084,12.0,6.0,19.0,171.56724,171.0,146.0,198.0
8,2020-09-09,12.3426248,12.0,6.0,20.0,170.6929456,171.0,146.0,197.0,12.3405744,12.0,6.0,20.0,170.6800776,171.0,146.0,197.0,12.344086,12.0,6.0,20.0,170.6691172,171.0,146.0,197.0,12.3424564,12.0,6.0,20.0,170.6783324,171.0,146.0,197.0,12.3439584,12.0,6.0,20.0,170.672166,171.0,146.0,197.0
9,2020-09-10,13.0481136,13.0,6.0,21.0,170.7228076,171.0,146.0,197.0,13.0445196,13.0,6.0,21.0,170.7158552,171.0,146.0,197.0,13.0459508,13.0,6.0,21.0,170.7112084,171.0,146.0,197.0,13.0490116,13.0,6.0,21.0,170.7231204,171.0,146.0,197.0,13.0472392,13.0,6.0,21.0,170.7104196,171.0,146.0,197.0
