,Date,S1_incidences_mean,S1_incidences_median,S1_incidences_LL,S1_incidences_UL,S1_load_mean,S1_load_median,S1_load_LL,S1_load_UL,S2a_incidences_mean,S2a_incidences_median,S2a_incidences_LL,S2a_incidences_UL,S2a_load_mean,S2a_load_median,S2a_load_LL,S2a_load_UL,S2b_incidences_mean,S2b_incidences_median,S2b_incidences_LL,S2b_incidences_UL,S2b_load_mean,S2b_load_median,S2b_load_LL,S2b_load_UL,S2c_incidences_mean,S2c_incidences_median,S2c_incidences_LL,S2c_incidences_UL,S2c_load_mean,S2c_load_median,S2c_load_LL,S2c_load_UL
0,2020-09-01,11.3828,11.0,5.0,18.0,196.731,196.0,170.0,225.0,11.4246,11.0,5.0,19.0,196.5892,197.0,170.0,225.0,11.3254,11.0,5.0,18.0,196.3982,196.0,169.0,225.0,11.3788,11.0,5.0,18.0,196.5374,196.0,169.0,224.0
1,2020-09-02,11.041,11.0,5.0,18.0,191.6224,192.0,165.0,219.0,11.1452,11.0,5.0,18.0,191.902,191.0,165.0,220.0,11.1998,11.0,5.0,18.0,191.728,191.0,165.0,220.0,11.1202,11.0,5.0,18.0,191.6384,191.0,165.0,220.0
2,2020-09-03,10.8742,11.0,5.0,18.0,187.068,187.0,160.0,215.0,10.8394,11.0,5.0,18.0,187.0246,187.0,161.0,214.0,10.9964,11.0,5.0,18.0,187.1446,187.0,160.0,215.0,10.8416,11.0,5.0,18.0,187.26,187.0,161.0,214.0
3,2020-09-04,10.7836,11.0,5.0,18.0,183.374,183.0,158.0,210.0,10.816,11.0,5.0,18.0,183.1038,183.0,157.0,211.0,10.7854,11.0,5.0,18.0,182.8414,183.0,157.0,209.0,10.8624,11.0,5.0,18.0,182.6846,182.0,157.0,210.0
4,2020-09-05,10.8336,11.0,5.0,18.0,179.1626,179.0,153.0,206.0,10.8182,11.0,5.0,18.0,179.4682,179.0,154.0,206.0,10.8474,11.0,5.0,18.0,179.2032,179.0,153.0,205.0,10.8028,11.0,5.0,18.0,179.1762,179.0,154.0,206.0
5,2020-09-06,11.0142,11.0,5.0,18.0,176.3942,176.0,151.0,203.0,11.0274,11.0,5.0,18.0,175.8834,176.0,150.0,203.0,11.051,11.0,5.0,18.0,176.1764,176.0,151.0,203.0,10.8992,11.0,5.0,18.0,175.9458,176.0,150.0,202.0
6,2020-09-07,11.284,11.0,5.0,18.0,173.4292,173.0,148.0,199.0,11.3082,11.0,5.0,18.0,173.6846,173.0,149.0,199.02499999999964,11.2874,11.0,5.0,18.0,173.7058,174.0,148.0,199.0,11.3032,11.0,5.0,18.0,173.1982,173.0,148.0,200.0
7,2020-09-08,11.7884,12.0,6.0,19.0,171.4696,171.0,146.0,198.0,11.8116,12.0,6.0,19.0,171.8004,172.0,147.0,198.0,11.7948,12.0,5.0,19.0,171.8548,172.0,147.0,197.0,11.713,12.0,5.0,19.0,171.6798,171.0,147.0,198.0
8,2020-09-09,12.3286,12.0,6.0,20.0,170.9568,171.0,146.0,197.0,12.3382,12.0,6.0,20.0,170.8528,171.0,145.0,197.0,12.3184,12.0,6.0,20.0,170.607,171.0,145.0,196.0,12.3278,12.0,6.0,19.024999999999636,170.7818,171.0,146.0,196.0
9,2020-09-10,13.0258,13.0,6.0,21.0,170.8078,171.0,145.0,197.0,13.094,13.0,6.0,21.0,170.7862,170.0,146.0,196.0,13.0824,13.0,6.0,21.0,170.6632,170.0,145.0,197.0,13.0492,13.0,7.0,21.0,170.6806,171.0,146.0,197.0
