,Date,S1a_incidences_mean,S1a_incidences_median,S1a_incidences_LL,S1a_incidences_UL,S1a_load_mean,S1a_load_median,S1a_load_LL,S1a_load_UL,S1b_incidences_mean,S1b_incidences_median,S1b_incidences_LL,S1b_incidences_UL,S1b_load_mean,S1b_load_median,S1b_load_LL,S1b_load_UL,S2a_incidences_mean,S2a_incidences_median,S2a_incidences_LL,S2a_incidences_UL,S2a_load_mean,S2a_load_median,S2a_load_LL,S2a_load_UL,S2b_incidences_mean,S2b_incidences_median,S2b_incidences_LL,S2b_incidences_UL,S2b_load_mean,S2b_load_median,S2b_load_LL,S2b_load_UL,S3a_incidences_mean,S3a_incidences_median,S3a_incidences_LL,S3a_incidences_UL,S3a_load_mean,S3a_load_median,S3a_load_LL,S3a_load_UL,S4a_incidences_mean,S4a_incidences_median,S4a_incidences_LL,S4a_incidences_UL,S4a_load_mean,S4a_load_median,S4a_load_LL,S4a_load_UL
0,2020-09-01,11.39061,11.0,5.0,18.0,196.65811,196.0,170.0,225.0,11.35929,11.0,5.0,18.0,196.69994,197.0,169.0,225.0,11.37275,11.0,5.0,18.0,196.63109,196.0,170.0,224.0,11.37352,11.0,5.0,18.0,196.63715,196.0,170.0,225.0,11.38978,11.0,5.0,18.0,196.71959,197.0,170.0,225.0,11.3748,11.0,5.0,18.0,196.63398,196.0,170.0,224.0
1,2020-09-02,11.09135,11.0,5.0,18.0,191.82999,192.0,165.0,220.0,11.09388,11.0,5.0,18.0,191.86912,192.0,165.0,219.0,11.08386,11.0,5.0,18.0,191.92655,192.0,165.0,219.0,11.07259,11.0,5.0,18.0,191.92485,192.0,165.0,220.0,11.08505,11.0,5.0,18.0,191.83866,192.0,165.0,219.0,11.07829,11.0,5.0,18.0,191.94012,192.0,165.0,220.0
2,2020-09-03,10.87196,11.0,5.0,18.0,187.25085,187.0,161.0,215.0,10.88251,11.0,5.0,18.0,187.31434,187.0,161.0,215.0,10.88767,11.0,5.0,18.0,187.3086,187.0,161.0,215.0,10.9025,11.0,5.0,18.0,187.21577,187.0,161.0,215.0,10.89372,11.0,5.0,18.0,187.25488,187.0,161.0,215.0,10.89443,11.0,5.0,18.0,187.25057,187.0,161.0,214.0
3,2020-09-04,10.79286,11.0,5.0,18.0,183.01427,183.0,157.0,210.0,10.78376,11.0,5.0,18.0,183.06782,183.0,157.0,210.0,10.7967,11.0,5.0,18.0,182.99839,183.0,157.0,210.0,10.78974,11.0,5.0,18.0,183.05382,183.0,157.0,210.0,10.79355,11.0,5.0,18.0,183.03512,183.0,157.0,210.0,10.80411,11.0,5.0,18.0,182.93961,183.0,157.0,210.0
4,2020-09-05,10.83067,11.0,5.0,18.0,179.23632,179.0,153.0,206.0,10.82871,11.0,5.0,18.0,179.17886,179.0,154.0,206.0,10.84302,11.0,5.0,18.0,179.16867,179.0,154.0,206.0,10.83165,11.0,5.0,18.0,179.11409,179.0,153.0,206.0,10.83747,11.0,5.0,18.0,179.21438,179.0,153.0,206.0,10.82747,11.0,5.0,18.0,179.19998,179.0,154.0,206.0
5,2020-09-06,10.99849,11.0,5.0,18.0,176.01905,176.0,150.0,202.0,11.00236,11.0,5.0,18.0,176.00323,176.0,150.0,202.0,10.9937,11.0,5.0,18.0,175.97487,176.0,150.0,202.0,11.00549,11.0,5.0,18.0,175.96464,176.0,151.0,202.0,10.99041,11.0,5.0,18.0,175.97884,176.0,150.97500000000036,202.0,10.99428,11.0,5.0,18.0,175.92245,176.0,150.0,202.0
6,2020-09-07,11.29762,11.0,5.0,18.0,173.51489,173.0,148.0,200.0,11.2918,11.0,5.0,18.0,173.35853,173.0,148.0,200.0,11.29818,11.0,5.0,18.0,173.44898,173.0,148.0,200.0,11.30688,11.0,5.0,18.0,173.4135,173.0,148.0,200.0,11.30467,11.0,5.0,18.0,173.43104,173.0,148.0,200.0,11.29862,11.0,5.0,18.0,173.43197,173.0,148.0,200.0
7,2020-09-08,11.76707,12.0,6.0,19.0,171.64266,171.0,146.0,198.0,11.78485,12.0,6.0,19.0,171.7575,172.0,147.0,198.0,11.78664,12.0,6.0,19.0,171.68881,172.0,147.0,198.0,11.768,12.0,6.0,19.0,171.65876,172.0,146.0,198.0,11.77487,12.0,6.0,19.0,171.74105,172.0,147.0,198.0,11.78587,12.0,6.0,19.0,171.61288,171.0,147.0,198.0
8,2020-09-09,12.36668,12.0,6.0,20.0,170.72757,171.0,145.0,197.0,12.38082,12.0,6.0,20.0,170.85278,171.0,146.0,197.0,12.40033,12.0,6.0,20.0,170.78667,171.0,146.0,197.0,12.37584,12.0,6.0,20.0,170.80595,171.0,145.0,197.0,12.36715,12.0,6.0,20.0,170.87493,171.0,146.0,197.0,12.38721,12.0,6.0,20.0,170.86564,171.0,146.0,197.0
9,2020-09-10,13.10721,13.0,7.0,21.0,170.88487,171.0,146.0,197.0,13.10314,13.0,7.0,21.0,170.93351,171.0,146.0,197.0,13.09265,13.0,7.0,21.0,170.867,171.0,146.0,197.0,13.10603,13.0,7.0,21.0,170.93916,171.0,146.0,197.0,13.11133,13.0,7.0,21.0,170.79522,171.0,146.0,197.0,13.09932,13.0,7.0,21.0,170.95776,171.0,146.0,197.0
10,2020-09-11,13.92974,14.0,7.0,22.0,172.00613,172.0,147.0,198.0,13.9067,14.0,7.0,22.0,171.96594,172.0,147.0,198.0,13.92905,14.0,7.0,22.0,171.98827,172.0,147.0,198.0,13.93043,14.0,7.0,22.0,171.9468,172.0,147.0,198.0,13.90367,14.0,7.0,22.0,171.935,172.0,147.0,198.0,13.89358,14.0,7.0,22.0,171.91392,172.0,147.0,198.0
11,2020-09-12,14.81194,15.0,8.0,23.0,174.07391,174.0,149.0,200.0,14.82711,15.0,8.0,23.0,174.0717,174.0,149.0,200.0,14.81171,15.0,8.0,23.0,174.10925,174.0,149.0,200.0,14.82965,15.0,8.0,23.0,173.96529,174.0,149.0,200.0,14.83063,15.0,8.0,23.0,174.00952,174.0,149.0,200.0,14.82814,15.0,8.0,23.0,174.00424,174.0,149.0,200.0
