Date, S1a_incidences_mean, S1a_incidences_median, S1a_incidences_LL, S1a_incidences_UL, S1a_load_mean, S1a_load_median, S1a_load_LL, S1a_load_UL, S1b_incidences_mean, S1b_incidences_median, S1b_incidences_LL, S1b_incidences_UL, S1b_load_mean, S1b_load_median, S1b_load_LL, S1b_load_UL, S2a_incidences_mean, S2a_incidences_median, S2a_incidences_LL, S2a_incidences_UL, S2a_load_mean, S2a_load_median, S2a_load_LL, S2a_load_UL, S2b_incidences_mean, S2b_incidences_median, S2b_incidences_LL, S2b_incidences_UL, S2b_load_mean, S2b_load_median, S2b_load_LL, S2b_load_UL, S3a_incidences_mean, S3a_incidences_median, S3a_incidences_LL, S3a_incidences_UL, S3a_load_mean, S3a_load_median, S3a_load_LL, S3a_load_UL, S4a_incidences_mean, S4a_incidences_median, S4a_incidences_LL, S4a_incidences_UL, S4a_load_mean, S4a_load_median, S4a_load_LL, S4a_load_UL
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
2020-03-03,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3
2020-03-04,2,2,2,3,5,5,4,6,2,2,2,3,5,5,4,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,4,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,4,6
2020-03-05,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11
2020-03-06,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,18
2020-03-07,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,26,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,26,8,8,6,9,22,22,15,27
2020-03-08,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39
2020-03-09,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,56
2020-03-10,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78
2020-03-11,29,29,23,33,94,95,72,109,29,29,23,34,94,95,72,109,29,29,23,34,94,95,72,109,29,29,23,34,94,95,72,110,29,29,23,34,94,95,72,109,29,29,23,33,94,95,72,109
2020-03-12,40,41,33,46,133,133,103,152,40,41,33,46,133,133,104,151,40,41,33,46,133,133,103,152,40,41,33,46,133,133,103,152,40,41,33,46,133,133,104,152,40,41,33,46,133,133,103,151
2020-03-13,56,56,47,63,185,186,147,209,56,56,47,63,185,186,148,209,56,56,47,63,185,186,147,209,56,56,47,63,185,186,148,209,56,56,47,63,185,186,148,209,56,56,47,63,185,186,148,210
