Date,Lower CI,Upper CI,Seroprevalence
18 Mar 2020,,,
30 Mar 2020,0.006,0.035,0.02
16 Apr 2020,0.035,0.066,0.053
29 Apr 2020,0.034,0.067,0.05
13 May 2020,0.036,0.072,0.053
27 May 2020,0.038,0.074,0.055
10 Jun 2020,0.03,0.061,0.045
24 Jun 2020,0.043,0.078,0.059
7 Jul 2020,0.04,0.078,0.058
23 Jul 2020,0.035,0.069,0.052
5 Aug 2020,0.031,0.066,0.048
19 Aug 2020,0.042,0.079,0.06
2 Sept 2020,0.03,0.069,0.049
16 Sept 2020,0.028,0.062,0.044
30 Sept 2020,0.03,0.069,0.048
14 Oct 2020,0.038,0.077,0.057
28 Oct 2020,0.068,0.12,0.092
11 Nov 2020,0.106,0.167,0.136
25 Nov 2020,0.131,0.203,0.164
9 Dec 2020,0.149,0.228,0.187
21 Dec 2020,0.155,0.245,0.196
6 Jan 2021,0.156,0.217,0.187
20 Jan 2021,0.16,0.228,0.194
2 Feb 2021,0.175,0.233,0.203
2 Mar 2021,0.214,0.299,0.256
30 Mar 2021,0.273,0.356,0.315
27 Apr 2021,0.412,0.503,0.456
25 May 2021,0.575,0.651,0.611
22 Jun 2021,0.759,0.815,0.787
20 Jul 2021,0.955,0.992,0.975
1 Aug 2021,,,
