x;q_x
0;0.003677
1;0.000242
2;0.000106
3;0.000121
4;0.000047
5;0.000085
6;0.000054
7;0.000053
8;0.000074
9;0.000059
10;0.000044
11;0.000097
12;0.000053
13;0.000146
14;0.000078
15;0.000191
16;0.000153
17;0.0002
18;0.000352
19;0.000248
20;0.000255
21;0.000425
22;0.000321
23;0.000332
24;0.00035
25;0.000305
26;0.000443
27;0.000392
28;0.000435
29;0.00047
30;0.00056
31;0.00051
32;0.000515
33;0.000588
34;0.000563
35;0.000642
36;0.000648
37;0.000764
38;0.000794
39;0.000966
40;0.001013
41;0.000992
42;0.00123
43;0.001199
44;0.001351
45;0.00165
46;0.001635
47;0.001846
48;0.001916
49;0.002266
50;0.002355
51;0.002748
52;0.002932
53;0.003276
54;0.00363
55;0.003832
56;0.004185
57;0.004591
58;0.005112
59;0.00534
60;0.006241
61;0.006974
62;0.007986
63;0.008682
64;0.009521
65;0.010444
66;0.010876
67;0.012378
68;0.012279
69;0.014231
70;0.015738
71;0.016832
72;0.018843
73;0.020538
74;0.022951
75;0.024737
76;0.025959
77;0.030757
78;0.031939
79;0.036719
80;0.041362
81;0.045057
82;0.051109
83;0.058992
84;0.065253
85;0.075552
86;0.085882
87;0.099294
88;0.112595
89;0.124252
90;0.144169
91;0.160735
92;0.171376
93;0.191506
94;0.216147
95;0.238786
96;0.260778
97;0.283286
98;0.296814
99;0.333883
100;0.319732
101;0.370782
102;0.359442
103;0.378855
104;0.434475
