,NIS,name
0,2000,Vlaams Gewest
1,3000,Waals Gewest
2,4000,Brussels Hoofdstedelijk Gewest
3,10000,Provincie Antwerpen
5,20001,Provincie Vlaams-Brabant
6,20002,Provincie Waals-Brabant
7,30000,Provincie West-Vlaanderen
8,40000,Provincie Oost-Vlaanderen
9,50000,Provincie Henegouwen
10,60000,Provincie Luik
11,70000,Provincie Limburg
12,80000,Provincie Luxemburg
13,90000,Provincie Namen
14,11000,Arrondissement Antwerpen
15,12000,Arrondissement Mechelen
16,13000,Arrondissement Turnhout
17,21000,Arrondissement Brussel-Hoofdstad
18,23000,Arrondissement Halle-Vilvoorde
20,24000,Arrondissement Leuven
22,25000,Arrondissement Nijvel
24,31000,Arrondissement Brugge
25,32000,Arrondissement Diksmuide
26,33000,Arrondissement Ieper
27,34000,Arrondissement Kortrijk
28,35000,Arrondissement Oostende
29,36000,Arrondissement Roeselare
30,37000,Arrondissement Tielt
31,38000,Arrondissement Veurne
32,41000,Arrondissement Aalst
33,42000,Arrondissement Dendermonde
34,43000,Arrondissement Eeklo
35,44000,Arrondissement Gent
36,45000,Arrondissement Oudenaarde
37,46000,Arrondissement Sint-Niklaas
38,51000,Arrondissement Aat
39,52000,Arrondissement Charleroi
40,53000,Arrondissement Bergen
42,55000,Arrondissement Zinnik
43,56000,Arrondissement Thuin
45,57000,Arrondissement Doornik-Moeskroen
46,58000,Arrondissement La Louvière
47,61000,Arrondissement Hoei
48,62000,Arrondissement Luik
49,63000,Arrondissement Verviers
50,64000,Arrondissement Borgworm
51,71000,Arrondissement Hasselt
52,72000,Arrondissement Maaseik
53,73000,Arrondissement Tongeren
54,81000,Arrondissement Aarlen
55,82000,Arrondissement Bastenaken
56,83000,Arrondissement Marche-en-Famenne
57,84000,Arrondissement Neufchâteau
58,85000,Arrondissement Virton
59,91000,Arrondissement Dinant
60,92000,Arrondissement Namen
61,93000,Arrondissement Philippeville
62,11001,Aartselaar
63,11002,Antwerpen
65,11004,Boechout
66,11005,Boom
68,11007,Borsbeek
69,11008,Brasschaat
70,11009,Brecht
74,11013,Edegem
77,11016,Essen
79,11018,Hemiksem
82,11021,Hove (Antwerpen)
83,11022,Kalmthout
84,11023,Kapellen (Antwerpen)
85,11024,Kontich
86,11025,Lint
90,11029,Mortsel
91,11030,Niel
96,11035,Ranst
98,11037,Rumst
99,11038,Schelle
100,11039,Schilde
101,11040,Schoten
105,11044,Stabroek
111,11050,Wijnegem
113,11052,Wommelgem
114,11053,Wuustwezel
115,11054,Zandhoven
116,11055,Zoersel
117,11056,Zwijndrecht
118,11057,Malle
120,12002,Berlaar
123,12005,Bonheiden
125,12007,Bornem
127,12009,Duffel
131,12014,Heist-op-den-Berg
138,12021,Lier
142,12025,Mechelen
143,12026,Nijlen
146,12029,Putte
152,12035,Sint-Katelijne-Waver
157,12040,Willebroek
158,12041,Puurs-Sint-Amands
159,13001,Arendonk
160,13002,Baarle-Hertog
161,13003,Balen
162,13004,Beerse
164,13006,Dessel
166,13008,Geel
168,13010,Grobbendonk
169,13011,Herentals
170,13012,Herenthout
171,13013,Herselt
172,13014,Hoogstraten
174,13016,Hulshout
175,13017,Kasterlee
177,13019,Lille
179,13021,Meerhout
181,13023,Merksplas
183,13025,Mol
187,13029,Olen
189,13031,Oud-Turnhout
193,13035,Ravels
194,13036,Retie
195,13037,Rijkevorsel
198,13040,Turnhout
202,13044,Vorselaar
204,13046,Vosselaar
207,13049,Westerlo
211,13053,Laakdal
212,21001,Anderlecht
213,21002,Oudergem
214,21003,Sint-Agatha-Berchem
215,21004,Brussel
216,21005,Etterbeek
217,21006,Evere
218,21007,Vorst (Brussel-Hoofdstad)
219,21008,Ganshoren
220,21009,Elsene
221,21010,Jette
222,21011,Koekelberg
223,21012,Sint-Jans-Molenbeek
224,21013,Sint-Gillis
225,21014,Sint-Joost-ten-Node
226,21015,Schaarbeek
227,21016,Ukkel
228,21017,Watermaal-Bosvoorde
229,21018,Sint-Lambrechts-Woluwe
230,21019,Sint-Pieters-Woluwe
232,23002,Asse
233,23003,Beersel
239,23009,Bever
246,23016,Dilbeek
253,23023,Galmaarden
254,23024,Gooik
255,23025,Grimbergen
257,23027,Halle (Halle-Vilvoorde)
262,23032,Herne
263,23033,Hoeilaart
268,23038,Kampenhout
269,23039,Kapelle-op-den-Bos
274,23044,Liedekerke
275,23045,Londerzeel
277,23047,Machelen (Halle-Vilvoorde)
280,23050,Meise
282,23052,Merchtem
289,23060,Opwijk
291,23062,Overijse
292,23064,Pepingen
305,23077,Sint-Pieters-Leeuw
309,23081,Steenokkerzeel
313,23086,Ternat
315,23088,Vilvoorde
321,23094,Zaventem
323,23096,Zemst
324,23097,Roosdaal
325,23098,Drogenbos
326,23099,Kraainem
327,23100,Linkebeek
328,23101,Sint-Genesius-Rode
329,23102,Wemmel
330,23103,Wezembeek-Oppem
331,23104,Lennik
332,23105,Affligem
333,24001,Aarschot
339,24007,Begijnendijk
340,24008,Bekkevoort
341,24009,Bertem
343,24011,Bierbeek
346,24014,Boortmeerbeek
348,24016,Boutersem
352,24020,Diest
360,24028,Geetbets
365,24033,Haacht
370,24038,Herent
373,24041,Hoegaarden
375,24043,Holsbeek
377,24045,Huldenberg
380,24048,Keerbergen
386,24054,Kortenaken
387,24055,Kortenberg
391,24059,Landen
394,24062,Leuven
398,24066,Lubbeek
415,24086,Oud-Heverlee
423,24094,Rotselaar
433,24104,Tervuren
436,24107,Tienen
438,24109,Tremelo
454,24130,Zoutleeuw
457,24133,Linter
458,24134,Scherpenheuvel-Zichem
459,24135,Tielt-Winge
460,24137,Glabbeek
465,25005,Bevekom
474,25014,Eigenbrakel
475,25015,Kasteelbrakel
478,25018,Chaumont-Gistoux
483,25023,Court-Saint-Etienne
491,25031,Genepiën
497,25037,Graven
503,25043,Incourt
504,25044,Itter
508,25048,Geldenaken
510,25050,Terhulpen
528,25068,Mont-Saint-Guibert
532,25072,Nijvel
544,25084,Perwijs (Nijvel)
551,25091,Rixensart
565,25105,Tubeke
567,25107,Villers-la-Ville
570,25110,Waterloo
572,25112,Waver
577,25117,Chastre
578,25118,Hélécine
579,25119,Lasne
580,25120,Orp-Jauche
581,25121,Ottignies-Louvain-la-Neuve
582,25122,Ramillies
583,25123,Rebecq
584,25124,Walhain
587,31003,Beernem
588,31004,Blankenberge
589,31005,Brugge
590,31006,Damme
596,31012,Jabbeke
606,31022,Oostkamp
617,31033,Torhout
624,31040,Zedelgem
626,31042,Zuienkerke
627,31043,Knokke-Heist
630,32003,Diksmuide
632,32006,Houthulst
635,32010,Koekelare
636,32011,Kortemark
655,32030,Lo-Reninge
666,33011,Ieper
671,33016,Mesen
676,33021,Poperinge
684,33029,Wervik
692,33037,Zonnebeke
694,33039,Heuvelland
695,33040,Langemark-Poelkapelle
696,33041,Vleteren
698,34002,Anzegem
699,34003,Avelgem
705,34009,Deerlijk
709,34013,Harelbeke
718,34022,Kortrijk
719,34023,Kuurne
721,34025,Lendelede
723,34027,Menen
736,34040,Waregem
737,34041,Wevelgem
738,34042,Zwevegem
739,34043,Spiere-Helkijn
741,35002,Bredene
744,35005,Gistel
745,35006,Ichtegem
750,35011,Middelkerke
752,35013,Oostende
753,35014,Oudenburg
768,35029,De Haan
772,36006,Hooglede
773,36007,Ingelmunster
774,36008,Izegem
776,36010,Ledegem
777,36011,Lichtervelde
778,36012,Moorslede
781,36015,Roeselare
785,36019,Staden
788,37002,Dentergem
793,37007,Meulebeke
796,37010,Oostrozebeke
797,37011,Pittem
798,37012,Ruiselede
801,37015,Tielt (Tielt)
803,37017,Wielsbeke
804,37018,Wingene
806,37020,Ardooie
808,38002,Alveringem
814,38008,De Panne
820,38014,Koksijde
822,38016,Nieuwpoort
831,38025,Veurne
838,41002,Aalst (Aalst)
847,41011,Denderleeuw
854,41018,Geraardsbergen
860,41024,Haaltert
863,41027,Herzele
870,41034,Lede
884,41048,Ninove
899,41063,Sint-Lievens-Houtem
917,41081,Zottegem
918,41082,Erpe-Mere
921,42003,Berlare
922,42004,Buggenhout
924,42006,Dendermonde
926,42008,Hamme (Dendermonde)
928,42010,Laarne
929,42011,Lebbeke
940,42023,Waasmunster
942,42025,Wetteren
943,42026,Wichelen
945,42028,Zele
947,43002,Assenede
950,43005,Eeklo
952,43007,Kaprijke
954,43010,Maldegem
