NIS,11000,12000,13000,21000,23000,24000,25000,31000,32000,33000,34000,35000,36000,37000,38000,41000,42000,43000,44000,45000,46000,51000,52000,53000,55000,56000,57000,58000,61000,62000,63000,64000,71000,72000,73000,81000,82000,83000,84000,85000,91000,92000,93000
11000,309701,17352,10928,19869,10141,3290,881,1274,31,160,869,306,387,102,118,867,877,210,4455,180,7105,60,471,146,120,56,243,66,75,717,257,52,2358,673,375,80,26,26,42,14,51,549,28
12000,26260,75173,4745,11498,9906,5191,398,378,17,63,311,104,137,34,40,417,763,68,1441,84,1912,34,142,53,27,19,86,25,28,250,106,19,909,267,216,33,14,9,21,5,13,201,8
13000,23611,7808,132162,5147,2396,5192,256,387,17,93,346,96,152,50,36,315,235,66,1087,63,825,30,174,72,26,29,102,33,31,319,233,19,4967,2315,351,45,19,16,37,4,27,204,20
21000,4949,2013,663,301393,25856,3047,12590,601,13,77,491,184,120,64,42,933,459,33,2078,173,539,478,2117,839,596,143,512,404,193,1869,361,127,1138,127,198,140,43,130,119,36,219,1889,81
23000,7637,6913,925,97661,112383,6187,5657,584,31,108,610,173,239,92,74,4767,1584,108,3224,292,832,554,826,324,356,75,246,152,62,806,215,33,988,199,270,65,31,39,49,12,70,764,43
24000,7330,9078,4279,32175,20445,120806,2405,475,19,92,452,123,208,72,72,512,267,63,1743,134,544,57,292,139,65,40,114,50,93,686,188,152,9006,779,923,54,19,25,38,9,33,405,17
25000,1319,476,225,47510,7358,1590,78950,196,3,27,156,55,38,31,11,148,70,23,542,85,119,593,3353,723,1283,160,270,517,261,1386,274,383,334,45,62,76,32,118,105,19,276,4024,121
31000,2511,510,396,5374,1164,596,243,86050,654,330,1926,4749,3279,1548,615,470,269,1016,5422,172,389,29,130,55,19,22,172,18,28,201,61,12,491,121,96,22,10,7,17,3,21,160,15
32000,213,77,54,385,123,96,43,2176,10520,1202,492,1516,2558,334,1579,50,27,20,540,24,49,4,13,7,4,1,84,4,2,18,25,4,60,14,14,7,3,1,0,0,7,19,1
33000,445,125,99,834,345,163,42,783,1033,29326,5134,166,3574,322,814,92,67,40,805,89,73,7,45,20,4,4,956,11,8,50,33,4,139,46,20,3,4,3,6,2,8,25,2
34000,1437,407,335,3821,1151,539,215,1885,178,2231,85918,366,5935,3857,159,390,241,121,6213,2650,306,52,177,65,16,16,2902,45,14,144,63,12,394,92,70,17,18,8,15,4,11,112,4
35000,1334,286,239,2763,717,324,114,9973,761,217,834,34740,1036,295,1819,265,142,91,1915,99,217,18,124,41,11,11,110,14,12,106,34,9,254,71,52,16,7,6,6,2,10,69,3
36000,669,178,188,1311,464,256,74,3253,988,1784,7078,522,40652,3772,256,132,87,53,1673,144,122,15,53,32,13,13,398,12,6,57,15,3,209,65,41,7,7,5,4,2,6,48,4
37000,391,118,95,958,290,100,45,2509,135,203,4287,257,4177,23049,65,104,92,131,3550,361,98,7,31,11,8,5,144,2,2,44,9,3,105,23,16,6,2,3,3,1,1,24,0
38000,468,123,103,1048,343,169,85,893,691,664,432,1215,449,117,14707,117,65,17,606,52,69,13,47,44,15,6,96,13,6,50,41,5,101,28,26,8,1,3,2,2,6,37,1
41000,2776,1008,491,26262,13516,950,556,523,31,80,714,164,308,140,43,55626,4320,150,10346,2122,1078,410,180,104,55,42,183,54,42,251,118,44,546,121,105,34,8,15,26,14,29,307,15
42000,4299,2411,409,8726,4933,561,198,481,12,58,552,95,166,92,30,4198,38702,192,10408,284,8437,30,90,41,19,22,79,19,10,182,80,13,397,92,72,24,3,8,10,3,13,128,4
43000,786,149,120,822,274,122,39,2334,10,16,171,121,127,119,37,161,203,17467,11053,71,402,8,18,8,4,10,20,3,1,45,23,4,104,21,21,3,2,0,3,0,3,33,4
44000,7550,1665,987,16358,4727,1508,490,3961,108,285,4782,848,1155,2114,222,3422,4212,5193,160470,3623,4737,104,244,99,43,45,309,34,41,400,111,13,998,244,175,45,15,20,29,5,25,278,13
45000,948,275,156,4176,1199,230,174,298,23,93,2899,120,359,473,30,2923,391,89,8899,26676,287,399,88,62,22,9,472,14,16,107,22,11,173,45,20,10,8,6,4,2,7,77,11
46000,20237,3356,903,3946,1761,505,179,447,11,74,398,103,151,64,40,533,3377,304,6685,124,56695,12,79,31,42,11,108,16,18,132,71,18,422,100,55,19,4,9,14,1,9,105,6
51000,348,126,102,9915,1943,120,1612,105,8,42,261,31,43,25,10,344,49,12,345,1189,60,21021,637,3577,933,65,4853,381,54,308,77,26,115,19,22,25,10,48,41,4,56,439,27
52000,802,200,161,12487,2294,250,8536,172,5,22,125,44,51,27,12,119,53,21,402,128,150,269,81555,2483,2189,2518,350,3421,202,1261,213,81,229,44,69,59,34,141,159,30,211,6148,895
53000,595,131,117,9068,1608,173,2462,149,6,30,138,45,73,25,25,122,51,10,268,44,92,2458,3191,53192,2934,421,1665,3003,105,749,195,37,115,26,35,51,17,71,118,26,69,1173,88
55000,250,52,53,7636,1332,107,4792,43,0,7,46,8,15,8,4,59,17,6,139,32,55,662,2132,2033,13183,256,206,3610,45,248,70,11,61,10,14,17,4,33,31,7,35,554,46
56000,168,41,47,2139,425,50,1003,33,1,12,24,9,7,9,4,25,13,8,71,21,37,79,9153,1314,579,13870,138,1873,37,277,52,20,79,13,11,19,7,50,55,8,77,860,1074
57000,365,129,248,4620,585,116,616,182,30,644,2981,57,371,269,31,118,58,11,518,872,109,3409,810,2471,211,58,55903,245,52,341,126,24,103,34,34,47,31,67,55,12,61,493,32
58000,339,72,58,4874,923,87,2878,48,2,11,43,11,21,9,5,64,24,8,110,32,91,316,4677,3431,4292,1320,200,21251,67,441,68,15,95,13,11,14,9,40,53,11,40,688,90
61000,250,72,95,2314,426,167,880,75,2,8,60,18,18,17,4,21,26,6,141,15,56,20,415,86,36,33,77,49,19274,12136,634,1474,165,18,41,60,78,630,101,9,396,3286,52
62000,1440,246,416,10650,1878,642,1820,242,7,35,173,64,56,56,31,78,80,23,647,41,180,111,1365,365,125,120,303,185,4699,165801,9308,2522,1181,125,740,359,242,766,285,51,285,3513,121
63000,450,129,132,2931,459,216,456,109,1,19,79,28,29,15,9,48,32,7,196,13,56,47,374,141,29,36,119,42,403,14026,76215,174,288,61,185,111,723,252,69,34,98,918,89
64000,224,85,73,4111,692,420,1469,64,1,11,34,14,19,11,4,21,15,2,116,10,20,28,284,99,35,23,59,28,1948,9177,461,10716,343,24,116,25,18,67,38,11,68,1365,29
71000,5011,1254,7064,7146,2927,10662,540,331,14,100,398,111,185,53,33,287,158,55,1047,62,379,28,191,79,16,17,92,27,52,946,159,157,110461,9734,7443,60,12,13,67,3,27,210,12
72000,2171,488,3449,1964,824,1699,128,155,14,35,209,63,84,48,24,163,92,43,519,33,193,10,91,29,3,14,52,8,10,194,69,12,17780,61202,3168,20,3,6,19,4,9,80,1
73000,1531,378,755,2496,1066,2008,234,141,5,34,167,35,52,25,16,135,91,24,423,38,143,20,94,47,9,17,41,20,43,1967,310,184,22074,3296,39773,30,6,19,17,2,17,130,9
81000,35,6,14,339,42,8,64,18,0,1,9,2,2,1,2,6,3,2,16,1,4,6,66,12,5,6,13,7,9,173,27,3,9,2,4,7995,519,49,216,558,28,185,10
82000,76,28,27,344,61,27,82,21,0,3,25,11,4,28,2,10,8,1,34,3,15,10,38,17,7,6,18,10,49,630,605,10,30,6,15,767,9920,568,845,123,68,180,9
83000,106,35,33,879,125,51,189,36,4,7,31,13,15,32,3,13,12,4,66,4,15,13,108,32,13,12,26,13,455,1431,281,37,34,16,15,552,1279,12486,903,34,1109,769,30
84000,117,35,35,740,115,58,188,28,1,5,16,10,6,6,1,13,15,3,53,5,13,8,138,52,22,9,27,16,43,244,68,16,25,9,13,1503,1772,563,13830,606,882,646,33
85000,49,9,16,400,47,22,67,21,1,1,11,7,3,4,0,2,12,4,30,6,6,11,90,31,13,5,16,17,16,164,40,4,25,4,3,3474,581,76,738,7744,48,199,8
91000,219,82,50,2730,359,104,991,68,7,6,39,11,15,24,5,26,22,2,106,13,34,38,725,94,39,52,70,44,446,731,94,54,84,15,24,225,320,2274,1650,68,21935,7115,491
92000,708,231,146,13933,1655,417,9814,215,4,25,119,30,42,24,6,75,64,28,365,43,97,127,8694,493,356,281,290,409,1676,2475,383,441,251,52,50,141,81,695,433,43,3610,70782,951
93000,148,48,41,1430,245,45,581,44,1,4,32,5,9,5,1,29,23,2,73,16,20,27,5838,247,122,1415,64,207,44,202,49,17,52,10,15,30,8,92,68,10,699,1872,10628
