NIS-code,name,total,"[0,10[","[10,20[","[20,30[","[30,40[","[40,50[","[50,60[","[60,70[","[70,80[","[80,inf["
11000,Arrondissement Antwerpen,1005002.0,116466.0,112965.0,129727.0,131297.0,144626.0,133046.0,102617.0,80576.0,53682.0
12000,Arrondissement Mechelen,327928.0,36304.0,36491.0,38710.0,41832.0,50049.0,45157.0,34414.0,27412.0,17559.0
13000,Arrondissement Turnhout,440337.0,45627.0,48864.0,52869.0,56162.0,70786.0,64688.0,47770.0,35043.0,18528.0
21000,Arrondissement Brussel-Hoofdstad,1136778.0,155502.0,122871.0,177461.0,195891.0,157533.0,124139.0,88540.0,64245.0,50596.0
23000,Arrondissement Halle-Vilvoorde,600350.0,69414.0,73678.0,66625.0,73834.0,92424.0,83928.0,61916.0,48368.0,30163.0
24000,Arrondissement Leuven,488342.0,52438.0,52622.0,59960.0,64799.0,74156.0,68086.0,51526.0,39017.0,25738.0
25000,Arrondissement Nijvel,383648.0,45061.0,49901.0,45827.0,47468.0,56688.0,52802.0,41021.0,26901.0,17979.0
31000,Arrondissement Brugge,277889.0,25454.0,29757.0,30940.0,31979.0,40701.0,40218.0,34736.0,27300.0,16804.0
32000,Arrondissement Diksmuide,50029.0,5366.0,5860.0,6255.0,6170.0,7456.0,6508.0,5097.0,4295.0,3022.0
33000,Arrondissement Ieper,106449.0,11594.0,12773.0,12922.0,12723.0,15305.0,14196.0,11395.0,9085.0,6456.0
34000,Arrondissement Kortrijk,283019.0,29893.0,32657.0,34470.0,34720.0,41910.0,38182.0,30368.0,24906.0,15913.0
35000,Arrondissement Oostende,152571.0,13452.0,15377.0,16099.0,16674.0,21729.0,22167.0,20555.0,16418.0,10100.0
36000,Arrondissement Roeselare,146429.0,15697.0,16840.0,17567.0,18647.0,21729.0,18983.0,15621.0,13294.0,8051.0
37000,Arrondissement Tielt,90947.0,9943.0,10585.0,10927.0,11737.0,13555.0,12047.0,9213.0,7814.0,5126.0
38000,Arrondissement Veurne,60669.0,4742.0,5915.0,5898.0,5604.0,8159.0,9027.0,9998.0,7089.0,4237.0
41000,Arrondissement Aalst,276973.0,28968.0,29194.0,31198.0,36671.0,43345.0,39427.0,29440.0,23987.0,14743.0
42000,Arrondissement Dendermonde,194310.0,20966.0,21519.0,22513.0,25394.0,29852.0,27317.0,21182.0,16229.0,9338.0
43000,Arrondissement Eeklo,82741.0,8570.0,8985.0,9275.0,10571.0,12564.0,11157.0,9309.0,7620.0,4690.0
44000,Arrondissement Gent,534419.0,58429.0,58177.0,70945.0,75490.0,77882.0,69090.0,53876.0,43145.0,27385.0
45000,Arrondissement Oudenaarde,120700.0,13680.0,13867.0,13451.0,15711.0,18164.0,16217.0,12295.0,10286.0,7029.0
46000,Arrondissement Sint-Niklaas,239785.0,27810.0,27654.0,28466.0,31027.0,35694.0,32037.0,26355.0,19417.0,11325.0
51000,Arrondissement Aat,84571.0,9994.0,10165.0,9535.0,11447.0,12603.0,11630.0,8658.0,6116.0,4423.0
52000,Arrondissement Charleroi,428231.0,51344.0,51413.0,53958.0,56311.0,60381.0,58504.0,44283.0,30466.0,21571.0
53000,Arrondissement Bergen,253751.0,29761.0,30048.0,32458.0,33714.0,35379.0,35478.0,26491.0,17397.0,13025.0
54000,Arrondissement Moeskroen,73067.0,8992.0,8825.0,8725.0,9527.0,9756.0,9634.0,7786.0,5534.0,4288.0
55000,Arrondissement Zinnik,184411.0,21993.0,22837.0,21954.0,23992.0,27427.0,25080.0,19105.0,12865.0,9158.0
56000,Arrondissement Thuin,150284.0,17003.0,18169.0,17853.0,18531.0,21821.0,21521.0,16231.0,11272.0,7883.0
57000,Arrondissement Doornik,145430.0,16207.0,17452.0,17698.0,18943.0,20936.0,20121.0,15384.0,10572.0,8117.0
61000,Arrondissement Hoei,109199.0,13161.0,13671.0,13054.0,14251.0,16372.0,15279.0,10914.0,7389.0,5108.0
62000,Arrondissement Luik,612363.0,68562.0,68853.0,82720.0,80621.0,84240.0,82769.0,64167.0,47928.0,32503.0
63000,Arrondissement Verviers,283890.0,32899.0,36877.0,35673.0,34040.0,42527.0,38710.0,28553.0,21311.0,13300.0
64000,Arrondissement Borgworm,76684.0,9026.0,9389.0,8588.0,10345.0,11914.0,10629.0,7726.0,5439.0,3628.0
71000,Arrondissement Hasselt,412907.0,43343.0,45207.0,51054.0,55397.0,62715.0,60206.0,43789.0,33093.0,18103.0
72000,Arrondissement Maaseik,234567.0,24102.0,27353.0,29229.0,28902.0,37793.0,35370.0,24742.0,18438.0,8638.0
