NIS,age,number
11000,0,12054
11000,1,12150
11000,2,12337
11000,3,12289
11000,4,12373
11000,5,12628
11000,6,12714
11000,7,13050
11000,8,12916
11000,9,13084
11000,10,12789
11000,11,12741
11000,12,12421
11000,13,12082
11000,14,11740
11000,15,11566
11000,16,11407
11000,17,11100
11000,18,11109
11000,19,11505
11000,20,11593
11000,21,11693
11000,22,12218
11000,23,12446
11000,24,13115
11000,25,13394
11000,26,13991
11000,27,14679
11000,28,14967
11000,29,15023
11000,30,14601
11000,31,14683
11000,32,14400
11000,33,14203
11000,34,14103
11000,35,14229
11000,36,14110
11000,37,14012
11000,38,14073
11000,39,14380
11000,40,13810
11000,41,13699
11000,42,13308
11000,43,12775
11000,44,12697
11000,45,12437
11000,46,12960
11000,47,13449
11000,48,13682
11000,49,14063
11000,50,13667
11000,51,13836
11000,52,13503
11000,53,14005
11000,54,14358
11000,55,14675
11000,56,14458
11000,57,14140
11000,58,14052
11000,59,13617
11000,60,13819
11000,61,13086
11000,62,12705
11000,63,12382
11000,64,12216
11000,65,11831
11000,66,11192
11000,67,11035
11000,68,10089
11000,69,10099
11000,70,9985
11000,71,9792
11000,72,9735
11000,73,10089
11000,74,8341
11000,75,8692
11000,76,7752
11000,77,6917
11000,78,5935
11000,79,6495
11000,80,6672
11000,81,6662
11000,82,6104
11000,83,5625
11000,84,5367
11000,85,4965
11000,86,4543
11000,87,4145
11000,88,3774
11000,89,3306
11000,90,2654
11000,91,2213
11000,92,1660
11000,93,1368
11000,94,1037
11000,95,744
11000,96,536
11000,97,387
11000,98,265
11000,99,198
11000,100,79
11000,101,34
11000,102,21
11000,103,16
11000,104,7
11000,105,5
11000,106,2
11000,107,1
12000,0,3356
12000,1,3477
12000,2,3421
12000,3,3613
12000,4,3563
12000,5,3815
12000,6,3812
12000,7,3946
12000,8,4016
12000,9,4094
12000,10,4102
12000,11,4176
12000,12,3938
12000,13,3880
12000,14,3886
12000,15,3769
12000,16,3715
12000,17,3613
12000,18,3593
12000,19,3659
12000,20,3719
12000,21,3813
12000,22,3813
12000,23,3809
12000,24,3886
12000,25,4043
12000,26,4162
12000,27,4453
12000,28,4228
12000,29,4478
12000,30,4433
12000,31,4438
12000,32,4338
12000,33,4253
12000,34,4249
12000,35,4316
12000,36,4443
12000,37,4538
12000,38,4536
12000,39,4642
12000,40,4492
12000,41,4381
12000,42,4259
12000,43,4214
12000,44,4097
12000,45,4346
12000,46,4374
12000,47,4446
12000,48,4859
12000,49,4961
12000,50,4770
12000,51,4741
12000,52,4831
12000,53,5179
12000,54,5130
12000,55,5225
12000,56,5199
12000,57,5161
12000,58,5034
12000,59,4751
12000,60,4804
12000,61,4811
12000,62,4494
12000,63,4294
12000,64,4230
12000,65,4056
12000,66,3993
12000,67,3890
12000,68,3659
12000,69,3565
12000,70,3543
12000,71,3551
12000,72,3512
12000,73,3429
12000,74,2889
12000,75,2912
12000,76,2638
12000,77,2337
12000,78,2148
12000,79,2243
12000,80,2346
12000,81,2361
12000,82,2203
12000,83,2067
12000,84,1834
12000,85,1674
12000,86,1559
12000,87,1432
12000,88,1333
12000,89,1093
12000,90,889
12000,91,684
12000,92,606
12000,93,462
12000,94,355
12000,95,241
12000,96,196
12000,97,121
12000,98,79
12000,99,47
12000,100,27
12000,101,11
12000,102,7
12000,103,8
12000,104,3
12000,105,3
12000,107,1
12000,110,1
13000,0,4350
13000,1,4317
13000,2,4439
13000,3,4592
13000,4,4603
13000,5,5046
13000,6,4885
13000,7,5022
13000,8,5139
13000,9,5299
13000,10,5157
13000,11,5195
13000,12,5050
13000,13,5034
13000,14,4860
13000,15,4742
13000,16,4588
13000,17,4670
13000,18,4711
13000,19,4980
13000,20,4988
13000,21,5114
13000,22,5041
13000,23,5111
13000,24,5012
13000,25,4935
13000,26,5280
13000,27,5343
13000,28,5433
13000,29,5643
13000,30,5372
13000,31,5553
13000,32,5630
13000,33,5580
13000,34,5668
13000,35,5748
13000,36,5973
13000,37,5922
13000,38,6120
13000,39,6081
13000,40,6178
13000,41,5946
13000,42,5867
13000,43,5518
13000,44,5487
13000,45,5722
13000,46,5783
13000,47,6166
13000,48,6463
13000,49,6632
13000,50,6806
13000,51,6905
13000,52,6924
13000,53,7027
13000,54,7296
13000,55,7459
13000,56,7448
13000,57,7331
13000,58,7208
13000,59,7088
13000,60,7187
13000,61,6614
13000,62,6563
13000,63,6327
13000,64,6121
13000,65,5936
13000,66,5672
13000,67,5628
13000,68,5169
13000,69,5189
13000,70,5058
13000,71,4827
13000,72,4849
13000,73,4716
13000,74,4216
13000,75,3951
13000,76,3854
13000,77,3242
13000,78,2749
13000,79,2972
13000,80,3028
13000,81,3146
13000,82,2787
13000,83,2563
13000,84,2409
13000,85,2158
13000,86,1919
13000,87,1732
13000,88,1556
13000,89,1242
13000,90,1053
13000,91,823
13000,92,612
13000,93,465
13000,94,350
13000,95,259
13000,96,157
13000,97,115
13000,98,79
13000,99,56
13000,100,18
13000,101,4
13000,102,4
13000,103,6
13000,104,3
13000,105,5
21000,0,16600
21000,1,16785
21000,2,16660
21000,3,16467
21000,4,16456
21000,5,16476
21000,6,16064
21000,7,16257
21000,8,15834
21000,9,16142
21000,10,15656
21000,11,15118
21000,12,14841
21000,13,14362
21000,14,13861
21000,15,13567
21000,16,13115
21000,17,12767
21000,18,13327
21000,19,13848
21000,20,14351
21000,21,14216
21000,22,15156
21000,23,16108
21000,24,17434
21000,25,18996
21000,26,20533
21000,27,21410
21000,28,21707
21000,29,22029
21000,30,21673
21000,31,21548
21000,32,20777
21000,33,20196
21000,34,19805
21000,35,19606
21000,36,18877
21000,37,19337
21000,38,18731
21000,39,19533
21000,40,18738
21000,41,18563
21000,42,18212
21000,43,17754
21000,44,17035
21000,45,17317
21000,46,16866
21000,47,16584
21000,48,16254
21000,49,16454
21000,50,16042
21000,51,15652
21000,52,14788
21000,53,14735
21000,54,14459
21000,55,14309
21000,56,13675
21000,57,13306
21000,58,12892
21000,59,13016
21000,60,12202
21000,61,11585
21000,62,10904
21000,63,10781
21000,64,10313
21000,65,9745
21000,66,9282
21000,67,9181
21000,68,8228
21000,69,8520
21000,70,7947
21000,71,7925
21000,72,7742
21000,73,7498
21000,74,6512
21000,75,6628
21000,76,6006
21000,77,5441
21000,78,4506
21000,79,5248
21000,80,5030
21000,81,4821
21000,82,4415
21000,83,4305
21000,84,3999
21000,85,3765
21000,86,3390
21000,87,3203
21000,88,2859
21000,89,2775
21000,90,2271
21000,91,1925
21000,92,1548
21000,93,1286
21000,94,1040
21000,95,770
21000,96,576
21000,97,447
21000,98,294
21000,99,204
21000,100,113
21000,101,61
21000,102,32
21000,103,19
21000,104,12
21000,105,13
21000,106,3
21000,107,2
21000,108,1
21000,109,1
21000,110,1
21000,111,3
23000,0,6612
23000,1,6731
23000,2,7173
23000,3,7596
23000,4,7568
23000,5,7827
23000,6,7906
23000,7,7960
23000,8,8010
23000,9,8285
23000,10,8278
23000,11,8292
23000,12,8183
23000,13,8148
23000,14,7948
23000,15,7855
23000,16,7829
23000,17,7559
23000,18,7688
23000,19,7719
23000,20,7606
23000,21,7673
23000,22,7557
23000,23,7485
23000,24,7168
23000,25,7071
23000,26,6891
23000,27,6847
23000,28,7066
23000,29,7109
23000,30,7199
23000,31,7242
23000,32,7363
23000,33,7403
23000,34,7430
23000,35,7813
23000,36,7907
23000,37,8335
23000,38,8382
23000,39,8678
23000,40,8588
23000,41,8502
23000,42,8589
23000,43,8375
23000,44,8201
23000,45,8368
23000,46,8672
23000,47,8972
23000,48,8919
23000,49,9108
23000,50,9005
23000,51,9061
23000,52,8927
23000,53,9045
23000,54,9385
23000,55,9454
23000,56,9325
23000,57,9075
23000,58,8875
23000,59,8873
23000,60,8540
23000,61,8238
