NIS,area
11000,1004125404.54
12000,511925631.516
13000,1360069623.76
21000,162419850.43
23000,949168799.483
24000,1169179502.36
25000,1097179855.32
31000,673222590.914
32000,365039182.657
33000,553716496.457
34000,406143132.663
35000,304592812.701
36000,273834785.082
37000,331853492.232
38000,288173566.046
41000,472934475.215
42000,346558038.644
43000,335520069.54
44000,949673947.413
45000,422874967.226
46000,479514304.23
51000,671836652.631
52000,475946892.491
53000,588510867.753
55000,357624264.618
56000,785029603.233
57000,714627678.953
58000,219459502.601
61000,661195149.795
62000,795966203.323
63000,2009570933.94
64000,390380207.325
71000,883879624.001
72000,910433254.245
73000,633115916.59
81000,318873347.975
82000,1046625824.22
83000,958051388.481
84000,1358428470.29
85000,777271119.689
91000,1596278574.84
92000,1167705413.73
93000,910837919.532
