NIS,area
11001,11015545.4754
11002,204293147.168
11004,20710001.4795
11005,7387142.07157
11007,3901260.78268
11008,38580649.6181
11009,91451099.1839
11013,8717966.06469
11016,47568999.7006
11018,5479275.77203
11021,6018076.92941
11022,59409138.6751
11023,37220806.7852
11024,23801454.2322
11025,5651612.12015
11029,7784322.43839
11030,5320951.027
11035,43675149.7311
11037,20134230.433
11038,7774399.05491
11039,36095738.3874
11040,29493559.9902
11044,21444972.5757
11050,7890891.21289
11052,12990623.5929
11053,89407739.245
11054,40081996.0217
11055,38686935.3885
11056,20241469.7812
11057,51896249.6021
12002,24514270.7415
12005,29199680.4324
12007,46256191.031
12009,22604825.1848
12014,86678003.1828
12021,49852446.2617
12025,65802211.2208
12026,39205000.0754
12029,35158118.8233
12035,36154965.3232
12040,27355218.3405
12041,49144700.8985
13001,55148203.4563
13002,7415271.36047
13003,72985640.3841
13004,37353001.4708
13006,27447129.9307
13008,110267426.185
13010,28370110.5539
13011,47949951.5895
13012,23610234.7151
13013,52377407.7799
13014,105394447.79
13016,17377513.3695
13017,72265910.6337
13019,59625137.2632
13021,36536326.8836
13023,44616108.7569
13025,114547324.624
13029,23128348.2671
13031,39169192.6466
13035,95137841.741
13036,48501739.1947
13037,46852293.2824
13040,56710275.232
13044,27621334.9851
13046,11835077.8461
13049,55396920.4933
13053,42429453.3203
21001,17912063.6629
21002,8971973.95036
21003,2947758.02494
21004,33075852.163
21005,3175346.5738
21006,5128599.25922
21007,6304055.05718
21008,2433688.71577
21009,6406490.66584
21010,5189035.40509
21011,1187736.46427
21012,6005550.44485
21013,2526950.36978
21014,1177168.13817
21015,7898041.63754
21016,22865182.0915
21017,12976961.8618
21018,7296984.03668
21019,8940411.90702
23002,50221672.2594
23003,30401599.4418
23009,19241472.0806
23016,41479990.8421
23023,35290400.2102
23024,40206076.2232
23025,38669855.3278
23027,44982125.629
23032,44660395.2165
23033,20530436.3836
23038,33649589.8913
23039,15367424.8917
23044,10174617.3515
23045,36528470.0254
23047,11494227.0637
23050,35069132.0649
23052,36901968.362
23060,19919062.4528
23062,45032219.802
23064,35932233.8184
23077,40664373.244
23081,23631683.2352
23086,24711319.0999
23088,21573477.4401
23094,27726863.8854
23096,43228720.501
23097,21918964.455
23098,2495511.51756
23099,5836322.54316
23100,4189117.43812
23101,22754807.6877
23102,8772928.11913
23103,6865043.83224
23104,31124094.4333
23105,17922602.7137
24001,63035307.2709
24007,17655191.3812
24008,37280802.8375
24009,29990605.254
24011,38964898.9821
24014,18778792.0689
24016,31145373.7417
24020,58710610.1938
24028,35517710.0314
24033,30725331.6487
24038,32734100.2154
24041,34128263.3135
24043,38775077.2824
24045,39945856.1589
24048,18523611.446
24054,49444279.3834
24055,34702228.727
24059,53301357.4159
24062,57507540.129
24066,45274980.282
24086,31182473.1972
24094,37213550.9222
24104,33584626.8019
24107,72771087.8407
24109,21907645.0133
24130,46842609.731
24133,36874065.5943
24134,51149801.5534
24135,44527125.8338
24137,26984598.1131
25005,38568802.0141
25014,52314551.3604
25015,22751653.2223
25018,48325528.2861
25023,26875454.4852
25031,90349739.89
25037,55553748.1699
25043,38908088.3671
25044,35027994.0019
25048,73732019.6565
25050,15516853.551
25068,18724449.9512
25072,60832719.7728
25084,51170150.1364
25091,17560510.8067
25105,32771601.5575
25107,48030878.0611
25110,21324366.2179
25112,42104897.3795
25117,31569976.1582
25118,16982579.995
25119,47570314.1448
25120,50798030.3147
25121,33400330.0561
25122,49077338.0828
25123,39256589.2498
25124,38080690.4345
31003,72423480.6205
31004,19021550.4611
31005,140992133.419
31006,90359998.0644
31012,53859920.2912
31022,80093748.8856
31033,45335237.6849
31040,60643710.1751
31042,48908342.287
31043,61584469.0255
32003,150763281.185
32006,55996145.2416
32010,39444555.1176
32011,55433958.0738
32030,63401243.0391
33011,131460965.199
33016,3596317.30537
33021,120367869.422
33029,43773917.9755
33037,68090922.9907
33039,94792310.0474
33040,53058576.8401
33041,38575616.6772
34002,42353566.7855
34003,22121732.2397
34009,16976718.6465
34013,29395931.2347
34022,80696258.3106
34023,10112642.0126
34025,13268823.6905
34027,33163563.8977
34040,44497364.7693
34041,39137355.9158
34042,63603617.1568
34043,10815558.0034
35002,14251719.8367
35005,42804234.7123
35006,45776756.3051
35011,79048312.2062
35013,40952422.9834
35014,35620622.2214
35029,46138744.4356
36006,38105979.5394
36007,16426568.6712
36008,25635639.9852
36010,24829709.7341
36011,26159523.3642
36012,35447385.7222
36015,60399422.5124
36019,46830555.5527
37002,26089658.0085
37007,29505363.6059
37010,16723823.9489
37011,34682489.0811
37012,30620666.1927
37015,68845095.3704
37017,21913652.3389
37018,68544035.8262
37020,34928707.8592
38002,80708511.8185
38008,26627702.9585
38014,50357246.3234
38016,33272389.2734
38025,97207715.6723
41002,78654266.331
41011,13865230.3764
41018,80052727.8883
41024,30525967.0713
41027,47900989.2999
41034,29896277.0182
41048,73118374.4576
41063,27051113.6937
41081,57464624.5646
41082,34404904.5137
42003,38226767.5704
42004,25636589.1684
42006,56535599.0257
42008,40524101.3493
42010,32578368.8164
42011,27305117.1144
42023,32239386.2697
42025,37015893.4882
42026,23191990.2914
42028,33304225.5502
43002,87500150.6065
43005,30449107.804
43007,33638964.2939
43010,95632953.9145
43014,74535478.1866
43018,13763414.7342
44012,17781445.0349
44013,26710272.9648
44019,75398218.6953
44020,31596869.1803
44021,157742379.78
44034,60664134.4195
44040,15338703.0233
44043,37001349.9923
44045,37927458.5865
44048,35434890.1405
44052,43568809.5903
44064,14451781.3405
44073,34636892.442
44081,32761171.1118
44083,128027332.493
44084,119852713.22
44085,80779525.3975
45035,68934609.8361
45041,34708378.1648
45059,56962959.2401
45060,30630782.9288
45061,42458549.9251
45062,11246343.2411
45063,26314505.9811
45064,46152955.8334
45065,33876754.1898
45068,71589127.8856
46003,152687949.044
46013,33527714.5121
46014,68246858.6119
46020,55489375.8567
46021,84193519.3326
46024,45268852.6329
46025,40100034.2399
51004,127904640.73
51008,62275703.5065
51009,43810966.8097
51012,28579040.0711
51014,47359682.0544
51017,45105620.0654
51019,23281281.3817
51065,112873906.617
51067,39403300.1705
51068,68574769.5461
51069,72667741.6786
52010,18189541.7746
52011,102949318.315
52012,27361580.7119
52015,44532724.4069
52018,10371591.7689
52021,59490741.869
52022,28647889.6069
52025,47675448.0575
52048,15234368.641
52055,56101527.7319
52074,22424806.2799
52075,42967353.3275
53014,20076019.1405
53020,33625278.7033
53028,26090983.7176
53039,26407985.0088
53044,58177242.6168
53046,49835818.8299
53053,147558417.617
53065,11209200.1331
53068,21483764.3975
53070,70585183.2255
53082,13745629.2123
53083,44314599.4059
53084,65400745.7443
55004,84870491.6044
55035,43412734.6844
55040,111267013.601
55050,34860026.7711
55085,63817197.6372
55086,19396800.3201
56001,17181517.9238
56005,93487157.9641
56016,198571664.381
56022,44548404.8749
56029,86543295.829
56044,32200747.9363
56049,30530497.3137
56051,86005483.9374
56078,76689257.8486
56086,45698979.2852
56088,73572595.938
57003,31363546.3478
57018,67483079.938
57027,32100919.7933
57062,33142757.2007
57064,61028023.4402
57072,23989715.8032
57081,215340535.788
57093,46563298.7894
57094,74465060.5697
57095,27158765.9348
57096,40619439.0858
57097,61372536.2618
58001,64558435.827
58002,61233605.2483
58003,73293142.4336
58004,20374319.0916
61003,27685981.9013
61010,32610863.7412
61012,79496004.4798
61019,57072880.3171
61024,27741517.3132
61028,38398721.8031
61031,47641161.9896
61039,30149837.272
61041,40408421.6844
61043,36122703.936
61048,40241361.8767
61063,24400251.35
61068,32858402.7358
61072,44052704.0996
61079,37316683.0949
61080,27745648.9091
61081,37252003.2909
62003,23346255.3439
62006,27217728.4604
62009,79941352.2961
62011,38213244.6616
62015,7285219.09985
62022,25433120.0316
62026,22586233.1791
62027,36110948.2591
62032,34148511.8637
62038,13681924.4307
62051,23358405.7749
62060,35471632.6648
62063,68653839.7488
62079,36089741.8629
62093,6905787.1197
62096,35246533.619
62099,27194674.6829
62100,74534750.9795
62108,27725330.3388
62118,34172209.377
62119,26074837.4686
62120,36567688.7897
62121,31742516.4496
62122,24263716.8207
63001,125935848.507
63003,18833697.5963
63004,85553272.3425
63012,150661481.279
63013,97006256.4877
63020,13976881.2587
63023,95991369.3334
63035,56860118.7886
63038,106941867.587
63040,18005713.5168
63045,92331539.5799
63046,24647033.176
63048,28713477.1881
63049,100389122.642
63057,16025384.4383
63058,24886047.3265
63061,72803778.3599
63067,147146638.518
63072,39830232.5759
63073,85121064.217
63075,108560010.471
63076,83481011.5093
63079,33000886.3871
63080,97537961.2468
63084,24815807.2496
63086,68846998.9826
63087,109827118.453
63088,53194493.8916
63089,28645821.0278
64008,14507282.0317
64015,44040047.1052
64021,16976954.6323
64023,23450161.1533
64025,19440729.8434
64029,23604958.1514
64034,86490817.6648
64047,14732962.8067
64056,19497942.4249
64063,22826130.6347
64065,20910811.0516
64074,30893554.7727
64075,24481015.2159
64076,28526839.8363
71002,22128723.7077
71004,78561370.4033
71011,41414404.9101
71016,87587345.0371
71017,56342073.3707
71020,36597700.6107
71022,102674889.424
71024,43037215.6979
71034,22591413.656
71037,53703912.5082
71045,22509279.1244
71053,107118218.7
71057,51639085.4842
71066,39674376.2945
71067,32108532.5129
71069,32792518.0523
71070,53398564.5063
72003,59285210.3567
72004,64985611.9124
72018,54802001.5228
72020,102284240.796
72021,77184848.2709
72030,87238435.5605
72037,43729251.6716
72038,76676417.5847
72039,78216744.5857
72041,65885124.9762
72042,116367410.614
72043,83777956.3931
73001,28235196.2706
73006,75974867.5719
73009,51321849.1747
73022,53059637.4231
73028,1347365.24589
73032,30103342.8051
73040,33986696.6454
73042,58959863.7242
73066,58053997.5857
73083,87812522.5978
73098,26802880.535
73107,76849338.528
73109,50608358.4828
81001,119062604.292
81003,71084168.8287
81004,46116277.16
81013,29987918.8764
81015,52622378.8174
82003,173032635.027
82005,91666345.3801
82009,74807294.455
82014,167403402.131
82032,140688348.957
82036,135728169.445
82037,165360011.727
82038,97939617.0945
83012,157079513.158
83013,78892591.1474
83028,57023190.341
83031,148526786.856
83034,122072288.78
83040,113108496.232
83044,69231773.5264
83049,91945411.8784
83055,120171336.562
84009,138501541.484
84010,148642044.558
84016,56849060.0286
84029,58416628.6689
84033,173703175.53
84035,140547688.903
84043,114481377.492
84050,111272737.385
84059,111970337.773
84068,56967554.8462
84075,67891737.3319
84077,179184586.293
85007,114044719.636
85009,79419231.6585
85011,148114204.316
85024,54975418.6363
85026,35371050.4594
85034,36250615.973
85039,81839258.9968
85045,95625259.6376
85046,103530054.759
85047,28101305.6156
91005,66028439.216
91013,174650390.118
91015,109553799.149
91030,147869928.584
91034,100055986.516
91054,151573350.236
91059,76586768.5136
91064,104749241.483
91072,122840199.482
91103,65658756.1399
91114,166336667.518
91120,95235950.4401
91141,57079171.004
91142,56594101.8962
91143,101465824.544
92003,86138387.1631
92006,78547263.6251
92035,103216511.772
92045,39117871.8692
92048,63306923.918
92054,65007598.4225
92087,116953531.825
92094,175893411.987
92097,56670728.9633
92101,50392380.7319
92114,35886998.2045
92137,34259487.031
92138,65831843.1303
92140,46962383.0335
92141,53042623.4575
92142,96477468.593
93010,83441658.0524
93014,206981495.726
93018,84120120.9494
93022,134183553.93
93056,157342415.46
93088,123645016.669
93090,121123658.745
