NIS,"[0, 10)","[10, 20)","[20, 30)","[30, 40)","[40, 50)","[50, 60)","[60, 70)","[70, 80)","[80, 110)",total
11000,125595,118460,133119,142794,132880,140311,118454,83733,62390,1057736
12000,37113,38331,40404,44186,44429,50021,41796,29202,21642,347124
13000,47692,48987,51900,57647,59762,71492,60406,40434,26549,464869
21000,163741,140462,181940,200083,173777,142874,100741,65453,49180,1218251
23000,75668,79499,72473,77752,86294,91025,73116,50068,37871,643766
24000,51934,55393,63683,64339,66870,72848,62045,43232,31733,512077
25000,43357,50217,48677,48422,54291,56873,48090,33942,22150,406019
31000,24511,27274,31457,31181,34483,41863,39404,30274,22298,282745
32000,5686,5499,6007,6522,6327,7521,6144,4329,3661,51696
33000,11100,11977,12181,12581,13105,15244,13074,9719,7589,106570
34000,31637,31338,35060,36270,36274,41272,34744,25982,19916,292493
35000,13579,14563,16229,16733,18048,23311,23944,18454,12919,157780
36000,16288,16673,18769,19549,19991,21570,17481,13486,10687,154494
37000,9708,10238,10899,11570,12167,13507,10970,7841,6528,93428
38000,4285,5058,5766,5226,6164,9205,11118,9284,5633,61739
41000,30754,32054,32044,36221,39639,43439,36072,24799,18628,293650
42000,20928,22225,22745,25094,26940,29719,25083,17536,12141,202411
43000,8298,9076,9626,9985,11419,12699,10633,7869,6087,85692
44000,59684,59524,76628,78501,73806,75007,62096,44568,34227,564041
45000,12973,14389,13695,14720,16710,18418,15074,10234,8397,124610
46000,28615,29513,29675,31550,33217,35607,29682,22208,14783,254850
51000,13385,15726,14939,15429,17758,18762,15492,10275,6702,128468
52000,46419,47925,48470,50620,51922,53069,47144,31232,20161,396962
53000,28309,30664,32124,33492,34941,34600,31969,20445,12693,259237
55000,11636,13214,12272,13152,14438,14867,12405,8057,5138,105179
56000,9338,11042,10538,10909,11669,13029,12346,7823,5031,91725
57000,23897,27116,26342,27749,30009,30390,26878,18310,13108,223799
58000,15472,16789,17110,17752,18585,19534,17253,11494,7481,141470
61000,12425,13923,13335,14523,15313,16255,14004,8622,5469,113869
62000,70187,70940,79905,83203,79785,82143,74521,50490,34591,625765
63000,32266,34435,35362,34836,35469,41941,35444,22991,15533,288277
64000,8665,10144,8992,10222,11551,11828,10046,6324,4117,81889
71000,42115,44272,47479,53253,55725,61307,54962,36150,25049,420312
72000,25483,26535,28136,30836,31686,39631,33948,21484,14376,252115
73000,20300,21174,22141,24856,26901,31452,27629,18485,12005,204943
81000,7154,7920,8310,8657,9209,8510,6093,4074,3069,62996
82000,6014,6305,6465,6487,6434,6621,5262,3236,2259,49083
83000,5980,6762,7044,6943,6950,8260,7444,4434,2954,56771
84000,7564,8180,7829,8165,8209,8434,7351,4715,3316,63763
85000,6142,7270,6629,6784,7232,7328,6097,3686,2971,54139
91000,11975,13234,13213,13723,13833,15962,14196,9107,6043,111286
92000,34596,38114,40443,41870,41814,42974,37790,24424,16205,318230
93000,6600,7820,7590,7903,8513,9905,8698,5786,3500,66315
