NIS,"[0, 10)","[10, 20)","[20, 30)","[30, 40)","[40, 50)","[50, 60)","[60, 70)","[70, 80)","[80, 110)",total
11001,1345,1520,1434,1575,1743,2192,1909,1673,1036,14427
11002,70719,60430,74675,80443,68047,61090,49779,35704,28360,529247
11004,1256,1574,1519,1442,1643,2084,1750,1169,935,13372
11005,2433,2307,2256,2408,2410,2544,1764,1334,1099,18555
11007,1406,1091,1281,1528,1287,1444,1360,943,609,10949
11008,3636,4072,3968,4133,4586,5615,5350,3976,2887,38223
11009,2932,3106,3325,3500,3675,4889,3964,2557,1506,29454
11013,2528,2203,2398,2846,2444,2950,2933,2156,1803,22261
11016,2183,2127,2269,2295,2382,2987,2398,1615,906,19162
11018,1450,1446,1254,1601,1625,1641,1181,878,558,11634
11021,825,977,899,782,944,1213,1222,786,629,8277
11022,1992,2091,2154,2142,2260,2747,2444,1821,1221,18872
11023,2629,2919,2781,2982,3278,4157,3497,2767,1971,26981
11024,2138,2405,2459,2414,2587,3248,2726,1830,1396,21203
11025,904,985,988,982,1040,1419,1184,687,452,8641
11029,2940,2847,3161,3428,3246,3635,2913,2041,1946,26157
11030,1396,1271,1227,1526,1419,1367,1077,711,552,10546
11035,1893,1998,2086,2258,2292,2996,2696,1837,1131,19187
11037,1555,1744,1583,1786,1985,2256,1839,1276,1026,15050
11038,882,1003,921,1017,1063,1323,1081,743,496,8529
11039,1752,2210,2022,1897,2376,3116,2801,2153,1546,19873
11040,3483,3692,3896,4071,3978,5163,4411,3176,2446,34316
11044,1902,2121,2031,2401,2517,2769,2584,1627,837,18789
11050,991,1059,1049,1128,1287,1480,1320,853,816,9983
11052,1368,1361,1419,1544,1595,1963,1670,1142,881,12943
11053,2247,2332,2645,2632,2667,3325,2774,1589,1002,21213
11054,1260,1273,1421,1509,1491,2071,1942,1254,850,13071
11055,1967,2359,2282,2256,2682,3468,3245,2465,1341,22065
11056,2091,2122,1964,2403,2403,2715,2573,1689,1194,19154
11057,1492,1815,1752,1865,1928,2444,2067,1281,958,15602
12002,1108,1284,1256,1311,1527,1848,1541,1006,775,11656
12005,1418,1686,1554,1471,1823,2420,1940,1502,1264,15078
12007,1834,2333,2350,2327,2739,3457,2874,2038,1401,21353
12009,1763,1925,2051,2222,2291,2536,2195,1566,1115,17664
12014,4044,4356,4625,5152,5577,6838,5695,3915,2748,42950
12021,3524,3807,4682,4660,4471,5401,4437,3318,2345,36645
12025,11033,9917,11492,12817,10878,10746,9138,6160,4740,86921
12026,2314,2452,2378,2772,3156,3519,2867,2152,1326,22936
12029,1749,1872,1908,2128,2330,2778,2340,1696,1126,17927
12035,2170,2437,2273,2482,2744,3036,2615,1743,1526,21026
12040,3439,3309,3007,3554,3487,3603,2920,1948,1559,26826
12041,2717,2953,2828,3290,3406,3839,3234,2158,1717,26142
13001,1388,1514,1570,1570,1759,2057,1550,1161,721,13290
13002,326,322,344,333,364,403,332,305,136,2865
13003,2441,2428,2355,3046,3075,3520,2735,1933,1280,22813
13004,1902,2096,2076,2223,2482,2716,2207,1490,936,18128
13006,970,1082,1054,1221,1220,1511,1177,793,577,9605
13008,4120,4255,4614,5259,5414,6162,5147,3455,2283,40709
13010,941,1092,1292,1214,1428,1912,1577,1103,613,11172
13011,2619,2647,3202,3578,3480,4550,3842,2467,1887,28272
13012,831,907,1026,1090,1147,1425,1262,836,585,9109
13013,1341,1441,1434,1662,1928,2282,2117,1289,1027,14521
13014,2375,2260,2561,2681,2650,3277,2659,1896,1065,21424
13016,1023,1037,1167,1302,1432,1707,1340,876,587,10471
13017,1831,1908,2185,2080,2282,3141,2662,1612,1181,18882
13019,1629,1775,1821,1939,2156,2737,2303,1390,814,16564
13021,1059,1043,1036,1333,1357,1594,1399,884,619,10324
13023,858,980,1029,957,1125,1366,1191,706,376,8588
13025,3823,3904,3983,4642,4761,5624,4781,3218,2286,37022
13029,1281,1379,1317,1669,1652,1887,1681,1068,626,12560
13031,1501,1511,1353,1659,1711,2089,1899,1419,835,13977
13035,1592,1632,1644,1706,1837,2509,2005,1331,767,15023
13036,1230,1229,1281,1389,1414,1801,1536,980,648,11508
13037,1401,1345,1498,1612,1555,1738,1382,1025,622,12178
13040,5215,4786,5726,5974,5538,6202,5371,3781,2687,45280
13044,760,855,811,1018,984,1242,1150,645,471,7936
13046,1236,1230,1277,1424,1400,1766,1437,980,593,11343
13049,2392,2748,2544,2989,3416,3815,3440,2371,1404,25119
13053,1607,1581,1700,2077,2195,2459,2224,1420,923,16186
21001,18612,15894,16656,17838,16906,14165,9725,6128,4961,120885
21002,4220,3868,4747,5053,4922,4219,3278,2231,1866,34404
21003,3713,3357,3143,3489,3410,3197,2404,1575,1214,25502
21004,25691,21443,29247,32052,26762,21342,14432,8394,5739,185102
21005,5300,4036,9242,10250,6834,5455,3662,2191,1503,48473
21006,6089,4924,5538,6957,5564,4968,3643,2611,2362,42656
21007,7847,6113,7586,9830,8645,6562,4620,3143,2235,56581
21008,3616,2979,3013,3649,3401,3084,2318,1739,1435,25234
21009,8202,6473,18895,18785,12343,9409,6621,4168,2735,87631
21010,7542,6384,6732,8010,7470,6269,4554,3222,2545,52728
21011,3561,2827,2891,3531,3239,2475,1621,1067,747,21959
21012,16582,14249,13222,14373,13394,10757,7304,4685,3413,97979
21013,5556,4558,8784,10224,7840,5891,3660,2026,1139,49678
21014,3732,3275,4734,4957,4153,3212,1906,1021,507,27497
21015,20135,16378,20430,23051,19561,14702,9548,5482,3512,132799
21016,9189,9597,10757,10930,11913,10999,8658,6485,5452,83980
21017,2632,3221,2981,2919,3376,3481,2902,2156,1664,25332
21018,6564,6003,8309,9011,8040,7041,5537,4038,3169,57712
21019,4958,4883,5033,5174,6004,5646,4348,3091,2982,42119
23002,4275,3985,3901,4165,4458,4592,3543,2640,1946,33505
23003,2982,3393,2601,2929,3537,3587,2877,1958,1479,25343
23009,231,309,202,245,320,344,262,179,86,2178
23016,5074,5118,4871,4949,5590,6222,4910,3642,3047,43423
23023,896,1096,860,1063,1273,1336,1126,714,472,8836
23024,902,1011,976,1037,1165,1432,1212,819,635,9189
23025,4568,4466,4241,4740,5067,5215,4210,3022,2443,37972
23027,4752,4674,4896,5363,5304,5249,4280,3212,2452,40182
23032,674,774,704,730,883,1065,862,596,411,6699
23033,1416,1487,1139,1404,1646,1516,1265,925,610,11408
23038,1328,1410,1348,1449,1622,1901,1456,928,687,12129
23039,952,1044,1049,1153,1235,1394,1246,827,601,9501
23044,1554,1518,1392,1590,1746,1991,1560,1247,799,13397
23045,1956,2153,2135,2275,2439,2835,2247,1650,1171,18861
23047,2111,2301,1979,2087,2101,2003,1426,877,720,15605
23050,2118,2247,2218,2210,2378,2939,2738,1574,1205,19627
23052,1823,1801,2004,2114,2131,2501,1964,1366,1062,16766
23060,1677,1815,1594,1812,2074,2039,1729,1172,834,14746
23062,2844,3249,2679,2754,3585,3666,2948,2152,1620,25497
23064,449,576,495,481,586,728,586,330,306,4537
23077,4191,4409,4012,4195,4557,4802,3802,2683,1970,34621
23081,1398,1526,1268,1439,1672,1804,1397,1048,727,12279
23086,1708,1901,1782,1870,2140,2315,2016,1283,997,16012
23088,6439,6345,5659,6259,6186,5862,4103,2562,2080,45495
23094,4399,4485,4157,4613,4940,4603,3480,2234,1871,34782
23096,2542,2708,2352,2767,3030,3696,3035,1798,1332,23260
23097,1196,1377,1275,1320,1580,1816,1461,973,667,11665
23098,739,733,661,770,797,737,556,326,334,5653
23099,1664,1913,1567,1464,1968,1946,1592,1014,725,13853
23100,488,597,550,482,570,741,604,394,270,4696
23101,2120,2513,2029,1808,2583,2655,2257,1551,1003,18519
23102,2065,2043,1956,2138,2234,2169,1769,1333,1107,16814
23103,1694,1934,1575,1508,1903,1914,1811,1055,875,14269
23104,892,975,1039,889,1131,1502,1189,821,658,9096
