NIS,"[0, 10)","[10, 20)","[20, 30)","[30, 40)","[40, 50)","[50, 60)","[60, 70)","[70, 80)","[80, 110)",total
10000,210400,205778,225423,244627,237071,261824,220656,153369,110581,1869729
20001,127602,134892,136156,142091,153164,163873,135161,93300,69604,1155843
20002,43357,50217,48677,48422,54291,56873,48090,33942,22150,406019
21000,163741,140462,181940,200083,173777,142874,100741,65453,49180,1218251
30000,116794,122620,136368,139632,146559,173493,156879,119369,89231,1200945
40000,161252,166781,184413,196071,201731,214889,178640,127214,94263,1525254
50000,148456,162476,161795,169103,179322,184251,163487,107636,70314,1346840
60000,123543,129442,137594,142784,142118,152167,134015,88427,59710,1109800
70000,87898,91981,97756,108945,114312,132390,116539,76119,51430,877370
80000,32854,36437,36277,37036,38034,39153,32247,20145,14569,286752
90000,53171,59168,61246,63496,64160,68841,60684,39317,25748,495831
