NIS,"[0, 12)","[12, 18)","[18, 25)","[25, 35)","[35, 45)","[45, 55)","[55, 65)","[65, 75)","[75, 85)",85+,total
11000,151125,70316,83679,144044,137093,135960,135150,102188,66221,31960,1057736
12000,45391,22801,26292,43075,43918,47637,48003,36087,23089,10832,347125
13000,58044,28944,34957,54437,58840,65724,69346,51260,30701,12616,464869
21000,194515,82513,104440,208674,186386,159151,122983,82580,50399,26614,1218255
23000,92238,47522,52896,71621,83370,89462,85690,62009,39401,19557,643766
24000,63278,33266,40868,65265,65621,69901,70300,53573,33569,16436,512077
25000,53310,29973,35500,47273,50497,56877,54097,43025,24082,11385,406019
31000,30061,16153,21047,31304,32071,38388,42446,36092,23925,11258,282745
32000,6929,3163,3888,6456,6325,7011,7101,5253,3630,1940,51696
33000,13591,7129,8312,12356,12751,14276,14718,11741,7719,3977,106570
34000,38214,18548,22759,36528,36034,38580,39892,30904,21013,10021,292493
35000,16592,8624,10793,16605,16960,20744,24360,22476,14169,6457,157780
36000,19887,9779,12268,19311,19683,21206,20169,15554,11238,5399,154494
37000,11914,6030,7344,11250,11684,13123,12787,9406,6426,3464,93428
38000,5248,3019,3972,5422,5417,7668,10409,11170,6663,2751,61739
41000,37701,19090,21749,33505,38342,41953,41462,30965,19356,9527,293650
42000,25580,13284,15312,23863,26003,28577,28313,22138,13425,5916,202411
43000,10141,5451,6481,9722,10631,12269,12052,9579,6279,3087,85692
44000,72403,34963,45041,83425,75833,73863,71165,54406,35324,17619,564042
45000,16073,8533,9627,13860,15795,17824,17296,12976,8156,4470,124610
46000,34914,17604,20241,30396,32355,35014,33539,26858,16755,7174,254850
51000,16465,9440,10836,14884,16228,18818,17664,13593,7007,3533,128468
52000,56185,28454,33429,50564,49600,53423,51846,41614,21423,10424,396962
53000,34550,18240,21566,33480,33425,35532,34086,28347,13291,6720,259237
55000,14304,7870,8765,12659,13576,15121,13874,10948,5379,2683,105179
56000,11536,6548,7483,10792,10906,12543,13323,10688,5313,2593,91725
57000,29160,16240,18906,26894,28086,31260,29169,24124,12745,7215,223799
58000,18925,9948,11697,17914,17381,19518,19097,15152,7928,3910,141470
61000,15264,8209,9486,14038,14565,15999,15655,11974,5902,2777,113869
62000,84867,41906,51797,85152,79527,81507,80830,65913,36331,17935,625765
63000,39194,20347,24818,35190,33978,39490,40317,29762,17573,7608,288277
64000,10764,5981,6625,9471,10638,12067,11167,8724,4358,2094,81889
71000,51463,26336,31100,50346,55869,57498,61188,46371,27919,12222,420312
72000,31039,15651,19005,29350,31498,35052,39054,28118,16745,6603,252115
73000,24772,12533,14758,23525,26016,29069,30872,23892,13783,5723,204943
81000,8737,4706,5551,8701,8792,9143,7447,5271,3034,1614,62996
82000,7284,3748,4549,6566,6333,6594,6114,4404,2340,1151,49083
83000,7294,3987,5026,7040,6611,7774,8276,6130,3119,1514,56771
84000,9251,4890,5397,8186,7963,8381,8264,6323,3402,1706,63763
85000,7483,4466,4845,6617,6906,7390,6910,5234,2736,1552,54139
91000,14586,7890,9345,13436,13502,15057,15746,12296,6428,3000,111286
92000,42236,22696,27522,41824,41070,42671,41570,33583,16729,8330,318231
93000,8116,4625,5486,7817,7714,9444,9728,7698,3915,1772,66315
