NIS,"[0, 12)","[12, 18)","[18, 25)","[25, 35)","[35, 45)","[45, 55)","[55, 65)","[65, 75)","[75, 85)",85+,total
11001,1653,904,1039,1459,1601,2041,2090,1897,1261,482,14427
11002,84172,35725,42471,85393,73771,64091,56810,42833,29118,14863,529247
11004,1581,913,1184,1359,1520,1851,2081,1496,888,499,13372
11005,2915,1408,1467,2405,2368,2563,2223,1532,1150,524,18555
11007,1656,637,769,1473,1421,1340,1468,1170,735,280,10949
11008,4451,2424,2971,3766,4347,5121,5753,4806,3183,1401,38223
11009,3529,1835,2360,3387,3405,4340,4834,3201,1853,710,29454
11013,3014,1293,1597,2571,2736,2564,3163,2576,1815,932,22261
11016,2625,1271,1533,2263,2354,2668,2817,2068,1133,430,19162
11018,1785,876,848,1413,1657,1633,1432,1105,604,281,11634
11021,1028,587,727,719,890,1044,1304,1013,619,346,8277
11022,2439,1231,1557,2033,2212,2521,2657,2209,1378,635,18872
11023,3215,1790,1996,2745,3134,3704,4055,3097,2242,1003,26981
11024,2616,1441,1789,2301,2530,2854,3188,2291,1531,662,21203
11025,1085,614,728,921,1019,1182,1426,923,521,222,8641
11029,3547,1717,2070,3315,3389,3368,3435,2505,1747,1064,26157
11030,1683,766,758,1465,1455,1421,1281,884,552,281,10546
11035,2302,1169,1454,2109,2280,2610,3063,2320,1364,516,19187
11037,1962,1002,1124,1660,1907,2070,2148,1617,998,562,15050
11038,1087,626,680,910,1019,1256,1195,944,561,251,8529
11039,2200,1299,1594,1805,2034,2812,3186,2473,1704,766,19873
11040,4249,2156,2817,3799,3952,4615,5098,3802,2579,1249,34316
11044,2348,1245,1447,2158,2454,2731,2649,2293,1055,409,18789
11050,1217,614,730,1090,1212,1329,1548,1071,746,426,9983
11052,1646,823,993,1461,1563,1735,1944,1423,895,460,12943
11053,2727,1363,1842,2557,2614,3052,3224,2171,1185,478,21213
11054,1520,776,915,1487,1478,1732,2164,1696,847,456,13071
11055,2448,1441,1648,2110,2434,3080,3624,2945,1693,642,22065
11056,2561,1290,1302,2178,2447,2443,2920,2131,1261,621,19154
11057,1864,1080,1269,1732,1890,2189,2370,1696,1003,509,15602
12002,1372,780,856,1259,1410,1680,1809,1292,802,396,11656
12005,1774,1000,1215,1373,1621,2148,2355,1654,1267,671,15078
12007,2298,1391,1696,2229,2519,3204,3250,2542,1548,676,21353
12009,2193,1148,1385,2070,2255,2454,2469,1910,1205,575,17664
12014,4971,2604,3018,4937,5292,6244,6572,4923,3080,1309,42950
12021,4323,2274,2898,4838,4531,4899,5178,3991,2559,1155,36646
12025,13289,5780,6756,13237,11677,10738,10429,7598,4928,2489,86921
12026,2797,1517,1671,2444,2958,3375,3348,2622,1605,599,22936
12029,2172,1120,1218,2034,2242,2607,2612,2089,1297,536,17927
12035,2688,1424,1636,2286,2606,2948,2946,2220,1483,789,21026
12040,4159,2021,1985,3328,3508,3599,3400,2454,1594,778,26826
12041,3355,1742,1958,3040,3299,3741,3635,2792,1721,859,26142
13001,1719,865,1128,1486,1669,1970,1876,1375,887,315,13290
13002,402,195,221,338,335,382,400,303,234,55,2865
13003,2962,1442,1559,2715,3130,3305,3248,2395,1458,599,22813
13004,2310,1233,1485,2151,2309,2620,2597,1839,1162,422,18128
13006,1219,637,727,1107,1264,1361,1372,993,647,278,9605
13008,4997,2515,3081,4908,5418,5808,5866,4455,2550,1111,40709
13010,1155,641,919,1167,1300,1741,1822,1385,754,288,11172
13011,3168,1553,2003,3479,3575,3941,4497,3141,1990,925,28272
13012,1028,554,635,1073,1107,1243,1475,1034,673,287,9109
13013,1664,848,1001,1463,1845,2064,2356,1670,1106,504,14521
13014,2855,1298,1710,2711,2603,2981,3075,2318,1422,451,21424
13016,1230,626,758,1217,1371,1596,1619,1091,666,297,10471
13017,2201,1157,1454,2125,2139,2661,3129,2154,1279,583,18882
13019,2005,1053,1266,1797,2054,2477,2691,1888,928,405,16564
13021,1302,605,691,1185,1366,1469,1556,1175,683,292,10324
13023,1031,604,718,980,1060,1184,1377,999,458,177,8588
13025,4643,2300,2786,4214,4750,5136,5525,4056,2528,1084,37022
13029,1596,809,923,1426,1688,1794,1920,1327,767,310,12560
13031,1837,899,955,1475,1695,1920,2008,1769,1021,398,13977
13035,1914,945,1214,1651,1632,2271,2406,1655,976,359,15023
13036,1495,724,917,1291,1397,1625,1760,1256,760,283,11508
