NIS,"[0, 12)","[12, 18)","[18, 25)","[25, 35)","[35, 45)","[45, 55)","[55, 65)","[65, 75)","[75, 85)",85+,total
10000,254560,122061,144928,241556,239851,249321,252499,189535,120011,55408,1869730
20001,155516,80788,93764,136886,148991,159363,155990,115582,72970,35993,1155843
20002,53310,29973,35500,47273,50497,56877,54097,43025,24082,11385,406019
21000,194515,82513,104440,208674,186386,159151,122983,82580,50399,26614,1218255
30000,142436,72445,90383,139232,140925,160996,171882,142596,94783,45267,1200945
40000,196812,98925,118451,194771,198959,209500,203827,156922,99295,47793,1525255
50000,181125,96740,112682,167187,169202,186215,179059,144466,73086,37078,1346840
60000,150089,76443,92726,143851,138708,149063,147969,116373,64164,30414,1109800
70000,107274,54520,64863,103221,113383,121619,131114,98381,58447,24548,877370
80000,40049,21797,25368,37110,36605,39282,37011,27362,14631,7537,286752
90000,64938,35211,42353,63077,62286,67172,67044,53577,27072,13102,495832
