,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown
,Sectoral output (M€/y),Intermediate demand (M€/y),Intermediate use (M€/y),Household demand (M€/y),Total other demand (M€/y),Other demand - government (M€/y),Other demand - exports (M€/y),Other demand - others (M€/y),Taxes minus subsidies (M€/y),Consumption fixed capital (M€/y),Imports (M€/y),Operating surplus and mixed income (M€/y),Gross value added (M€/y),Gross domestic product i (M€/y),Labor compensation (M€/y),Employees (x1000),Desired stock (days),On-site consumption (-),Consumer demand shock (%),Other demand shock (%),Telework (%),Mix (%),Workplace (%),Absent (%)
1,16782.256643036,10929.6178212187,6261.03583508941,2489.48080809477,3363.15801372257,0,3630.54686328241,-267.38884955984,-555.164891454847,931.787578606932,7560.5,1848.07752488904,2715.93782630036,2160.77293484551,491.237614259238,56,128.879068894883,0,0,-20,0,0,100,0
2,647.800878156714,391.283124426344,293.924062844292,93.0726735160991,163.445080214271,0,145.24075632218,18.204323892091,-4.00848482013683,42.9153268781014,250.1,25.8204142554083,87.237749406219,83.2292645860822,22.5104930928462,2.3,128.879068894883,0,0,-23,0,0,100,0
3,429.100000018839,146.488318964082,64.9835860379172,205.663831406918,76.9478496478387,0,73.9253082193075,3.0225414285312,0.619001149858971,13.2316361095954,310.4,7.86223639831957,49.2158793214171,49.8348804712761,27.5030056636432,0.4,128.879068894883,0,0,-32,0,0,100,0
05-09,24251.4548918387,14779.1848591093,705.733215847029,24.9084024527661,9447.36163027664,0,9424.32395705728,23.037673219352,12.8204822431876,143.11312571363,23061.6,-24.7414854874187,396.806218213398,409.626700456585,265.614095743999,2.5,16.0457587807621,0,0,-33,0,0,100,0
10-12,56386.4148114084,18498.3040795486,28837.1409665768,14791.984810589,23096.1259212708,0,23259.7308482089,-163.604926938059,-139.592864952419,1486.88427077364,19573.3,1522.41633684746,7193.2349021107,7053.64203715828,4323.52715944202,98.6,35.5032713610156,0,0,-32,0,0,100,0
13-15,12801.5867396632,2278.82672731017,3137.83132366029,3979.03580693373,6543.72420541926,0,6507.99746060623,35.7267448130338,-61.410253278412,373.030800764474,8121.9,116.860311662358,1308.22635952425,1246.81610624584,879.74550037583,22,114.248621732171,0,0,-27,0,0,100,0
16,4889.53073959741,2989.98585532226,2190.83395426861,227.895357779726,1671.64952649542,0,1580.31737367608,91.3321528193338,-36.8964870489075,211.415739624203,1900,9.772531850831,670.89149796834,633.995010919432,486.599713542213,15.2,44.9077632590316,0,0,-16,0,0,100,0
17,7857.17934553804,4341.52900215391,3330.30488439903,377.166698485886,3138.48364489825,0,3188.79578915935,-50.3121442611071,-34.1293208870398,219.504373095475,3419.4,189.980172571341,1017.27719980084,983.147878913801,641.921975021064,11.1,45.590827709682,0,0,-30,0,0,100,0
18,3192.9964371053,2489.92252791772,1819.64537074499,62.8775835392968,640.196325648275,0,693.096325648275,-52.9,-53.1249828111502,340.776132089,259.5,53.9047006740614,1015.05816456553,961.93318175438,673.502314613619,14.6,33.3021515434986,0,0,-18,0,0,100,0
