,sample_size,c,m0,m0_{ICU},m0_{C},dC,dC_R,dC_D,dICU,dICU_R,dICU_D,dICUrec
"[0, 10)",2,0.981,0,0,0,,,,,,,
"[10, 20)",7,0.865,0,0,0,2.749603,2.749603,,,,,
"[20, 30)",9,0.935,0,0,0,5,5,,0,0,,5
"[30, 40)",9,0.903,0,0.083,0.005,5.65992042857143,5.65992042857143,,12,12,,10
"[40, 50)",33,0.855,0.09375,0.105,0.011,5.50680528,5.50739704347826,5.5,15.0295624285714,14.6820593333333,17.114581,4.85714285714286
"[50, 60)",67,0.811,0.032258064516129,0.227,0.02,6.83473708695652,6.95591026666667,1.381944,10.779253125,8.200185,49.465275,8.0526475
"[60, 70)",62,0.781,0.064516129032258,0.346,0.089,8.9911912631579,8.9911912631579,,8.71854695833333,8.06114535,12.005555,3.47311908333333
"[70, 80)",74,0.823,0.271428571428571,0.5,0.211,8.27461346666667,8.41338151351351,7.63281125,18.80399888,13.5243047857143,25.5236095454545,8.76713844
"[80, 120)",107,0.945,0.411764705882353,0.625,0.365,8.55853303333334,10.0829912982456,5.92537784848485,8.90445525,7.6156936,9.82499928571429,6.35376083333333
average,370,0.864,0.195402298850575,0.361,0.185,7.69170056870229,8.01029195412844,6.11322506818182,12.5101575465116,9.86672214516129,19.3390323333333,6.47233498837209
