,sample_size,c,m0,m0_{ICU},m0_{C},dC,dC_R,dC_D,dICU,dICU_R,dICU_D,dICUrec
"[0, 12)",3,1.0,0.0,0.0,0.0,5.0,5.0,,,,,
"[12, 18)",5,1.0,0.0,0.0,0.0,2.0,2.0,,,,,
"[18, 25)",6,0.75,0.0,0.0,0.0,3.082407,3.082407,,0.0,0.0,,5.0
"[25, 35)",7,1.0,0.0,0.0,0.0,7.2,7.2,,,,,
"[35, 45)",16,0.8666666666666667,0.06666666666666667,0.0,0.07692307692307693,5.0655445384615385,4.98767325,6.0,20.3152765,20.3152765,,5.0
"[45, 55)",57,0.7924528301886793,0.07547169811320754,0.18181818181818182,0.047619047619047616,6.502446857142859,6.668020600000001,3.190972,14.183080090909089,9.93711388888889,33.289928,6.545454545454546
"[55, 65)",62,0.6833333333333333,0.0,0.0,0.0,6.892259195121952,6.892259195121952,,6.9724412631578945,6.9724412631578945,,7.673939894736844
"[65, 75)",73,0.5352112676056338,0.18309859154929578,0.3333333333333333,0.05263157894736842,9.352886973684212,9.675636194444445,3.5434010000000002,14.675441030303029,9.80962690909091,24.40706927272727,4.7300712727272725
"[75, 85)",75,0.7464788732394366,0.352112676056338,0.5,0.2830188679245283,8.692098320754715,9.238248473684209,7.308517933333333,14.020986722222224,14.820446555555556,13.22152688888889,9.228471611111111
"[85, 120)",66,0.9682539682539683,0.42857142857142855,1.0,0.39344262295081966,8.481146524590166,10.201744594594592,5.828557833333332,5.042708,,5.042708,0.805555
average,370,0.7528735632183908,0.19540229885057472,0.27906976744186046,0.16793893129770993,7.691700568702291,8.010291954128439,6.113225068181818,12.510157546511635,9.866722145161289,19.33903233333333,6.472334988372092
