,sample_size,admission_propensity,c,d_transfer,m0,m0_{ICU},m0_{C},dC,dC_R,dC_D,dICU,dICU_R,dICU_D
"[0, 10)",423,0.014559096854133683,0.9716312056737588,5.9,0.0,0.0,0.0,3.506082725060827,3.4913151364764268,1.0,20.25,17.375,1.0
"[10, 20)",192,0.006608384387691884,0.8645833333333334,1.5625,0.010416666666666666,0.07692307692307693,0.0,7.192771084337349,6.091503267973856,1.0,9.846153846153847,9.952380952380953,9.5
"[20, 30)",641,0.02206236662765884,0.906396255850234,1.816326530612245,0.015600624024960999,0.08333333333333333,0.008605851979345954,6.586919104991394,6.667870036101083,4.6,13.216666666666667,13.52,18.8
"[30, 40)",1114,0.03834239691608728,0.8859964093357271,2.185567010309278,0.027827648114901255,0.14173228346456693,0.013171225937183385,5.868287740628166,5.846394984326019,8.0,12.535433070866143,12.177083333333334,17.333333333333332
"[40, 50)",2045,0.07038617746265574,0.8425427872860636,1.9696969696969697,0.04254278728606357,0.14285714285714285,0.02379570516540917,6.67150319210679,6.835675015271839,8.146341463414634,19.142857142857142,21.038961038961038,16.869565217391305
"[50, 60)",3651,0.12566255937220347,0.7860860038345658,3.6156351791530943,0.08627773212818406,0.23815620998719592,0.04494773519163763,9.442857142857143,9.230223880597014,14.263565891472869,23.85403329065301,25.300420168067227,23.817204301075268
"[60, 70)",4675,0.1609072761065602,0.7495187165775401,3.9148494288681204,0.1758288770053476,0.4022203245089667,0.10017123287671233,11.797659817351597,11.58498023715415,14.333333333333334,24.615713065755763,28.52304964539007,21.426751592356688
"[70, 80)",6278,0.21608040201005024,0.7938834023574387,4.141769743101808,0.28639694170117874,0.5525502318392581,0.21729534510433388,14.90048154093098,14.902503995737879,14.90027700831025,24.653013910355487,33.86538461538461,19.067132867132866
"[80, 120)",10033,0.34532250292558686,0.9318249775740057,5.541516245487364,0.4337685637396591,0.7309941520467836,0.41202267622205585,16.13199272649481,18.768357305071916,12.485721703011423,20.406432748538013,29.759493670886076,17.382
average,29052,0.2148021273438424,0.8458970122538896,,0.2553008398733306,0.4339959794505249,0.22274669379450662,12.909590267323107,12.885632246180517,13.070124178232286,22.863971409425954,26.89864864864865,19.581574884199693
