,Arrondissement,Province,NIS,inhabitants,DATE,confirmed_cases,tested_cases,confirmed_per_tested_5days_window,hospitalised_IN,recovered,deceased_hosp,ICU,confirmed_cases_per_100k,hospitalised_IN_per_100k,recovered_per_100k,deceased_hosp_per_100k,ICU_per_100k
52,Antwerpen,Antwerpen,11000,1057736.0,2020-01-03,,,,0.0,,,,,0.0,,,
53,Antwerpen,Antwerpen,11000,1057736.0,2020-01-04,,,,0.0,,,,,0.0,,,
54,Antwerpen,Antwerpen,11000,1057736.0,2020-01-05,,,,0.0,,,,,0.0,,,
55,Antwerpen,Antwerpen,11000,1057736.0,2020-01-06,,,,0.0,,,,,0.0,,,
56,Antwerpen,Antwerpen,11000,1057736.0,2020-01-07,,,,1.0,,,,,0.09454154912000726,,,
57,Antwerpen,Antwerpen,11000,1057736.0,2020-01-08,,,,0.0,,,1.0,,0.0,,,0.09454154912000726
58,Antwerpen,Antwerpen,11000,1057736.0,2020-01-09,,,,1.0,,,,,0.09454154912000726,,,
59,Antwerpen,Antwerpen,11000,1057736.0,2020-01-10,,,,0.0,,,,,0.0,,,
60,Antwerpen,Antwerpen,11000,1057736.0,2020-01-13,,,,0.0,,,,,0.0,,,
61,Antwerpen,Antwerpen,11000,1057736.0,2020-01-14,,,,0.0,,,,,0.0,,,
62,Antwerpen,Antwerpen,11000,1057736.0,2020-01-15,,,,0.0,,,,,0.0,,,
63,Antwerpen,Antwerpen,11000,1057736.0,2020-01-17,,,,1.0,,,,,0.09454154912000726,,,
64,Antwerpen,Antwerpen,11000,1057736.0,2020-01-18,,,,1.0,,,,,0.09454154912000726,,,
65,Antwerpen,Antwerpen,11000,1057736.0,2020-01-19,,,,0.0,,,,,0.0,,,
66,Antwerpen,Antwerpen,11000,1057736.0,2020-01-20,,,,0.0,,,,,0.0,,,
67,Antwerpen,Antwerpen,11000,1057736.0,2020-01-21,,,,0.0,,,,,0.0,,,
68,Antwerpen,Antwerpen,11000,1057736.0,2020-01-22,,,,0.0,,,,,0.0,,,
69,Antwerpen,Antwerpen,11000,1057736.0,2020-01-23,,,,0.0,,,,,0.0,,,
70,Antwerpen,Antwerpen,11000,1057736.0,2020-01-24,,,,0.0,,,,,0.0,,,
71,Antwerpen,Antwerpen,11000,1057736.0,2020-01-25,,,,1.0,,,,,0.09454154912000726,,,
72,Antwerpen,Antwerpen,11000,1057736.0,2020-01-26,,,,0.0,,,,,0.0,,,
73,Antwerpen,Antwerpen,11000,1057736.0,2020-01-27,,,,0.0,,,,,0.0,,,
74,Antwerpen,Antwerpen,11000,1057736.0,2020-01-28,,,,0.0,,,,,0.0,,,
