place,,total,total,hospital,hospital,nursing,nursing,others,others
quantity,,incidence,cumsum,incidence,cumsum,incidence,cumsum,incidence,cumsum
age_class,date,,,,,,,,
all,2020-03-10,1,1,1,1,0,0,0,0
all,2020-03-11,3,4,2,3,1,1,0,0
all,2020-03-12,1,5,1,4,0,1,0,0
all,2020-03-13,3,8,3,7,0,1,0,0
all,2020-03-14,5,13,2,9,3,4,0,0
all,2020-03-15,5,18,3,12,0,4,2,2
all,2020-03-16,12,30,9,21,3,7,0,2
all,2020-03-17,10,40,7,28,2,9,1,3
all,2020-03-18,22,62,18,46,4,13,0,3
all,2020-03-19,33,95,18,64,12,25,3,6
all,2020-03-20,35,130,18,82,14,39,3,9
all,2020-03-21,39,169,25,107,12,51,2,11
all,2020-03-22,47,216,22,129,16,67,9,20
all,2020-03-23,78,294,58,187,14,81,6,26
all,2020-03-24,77,371,60,247,14,95,3,29
all,2020-03-25,107,478,73,320,29,124,5,34
all,2020-03-26,102,580,73,393,28,152,1,35
all,2020-03-27,128,708,81,474,47,199,0,35
all,2020-03-28,141,849,85,559,54,253,2,37
all,2020-03-29,149,998,86,645,61,314,2,39
all,2020-03-30,170,1168,119,764,46,360,5,44
all,2020-03-31,207,1375,125,889,82,442,0,44
all,2020-04-01,233,1608,127,1016,106,548,0,44
all,2020-04-02,219,1827,128,1144,89,637,2,46
all,2020-04-03,236,2063,118,1262,115,752,3,49
all,2020-04-04,267,2330,136,1398,131,883,0,49
all,2020-04-05,247,2577,122,1520,123,1006,2,51
all,2020-04-06,257,2834,114,1634,140,1146,3,54
all,2020-04-07,277,3111,116,1750,159,1305,2,56
all,2020-04-08,322,3433,123,1873,197,1502,2,58
all,2020-04-09,272,3705,109,1982,162,1664,1,59
all,2020-04-10,302,4007,122,2104,179,1843,1,60
all,2020-04-11,282,4289,113,2217,167,2010,2,62
all,2020-04-12,265,4554,103,2320,161,2171,1,63
all,2020-04-13,277,4831,120,2440,156,2327,1,64
all,2020-04-14,261,5092,112,2552,148,2475,1,65
all,2020-04-15,278,5370,124,2676,153,2628,1,66
all,2020-04-16,245,5615,94,2770,150,2778,1,67
all,2020-04-17,205,5820,85,2855,119,2897,1,68
all,2020-04-18,208,6028,75,2930,131,3028,2,70
all,2020-04-19,190,6218,87,3017,101,3129,2,72
all,2020-04-20,205,6423,80,3097,125,3254,0,72
all,2020-04-21,203,6626,88,3185,115,3369,0,72
all,2020-04-22,181,6807,87,3272,94,3463,0,72
all,2020-04-23,155,6962,73,3345,82,3545,0,72
all,2020-04-24,155,7117,69,3414,85,3630,1,73
all,2020-04-25,141,7258,74,3488,67,3697,0,73
all,2020-04-26,152,7410,79,3567,73,3770,0,73
all,2020-04-27,134,7544,56,3623,77,3847,1,74
all,2020-04-28,110,7654,59,3682,51,3898,0,74
all,2020-04-29,106,7760,51,3733,55,3953,0,74
all,2020-04-30,87,7847,38,3771,49,4002,0,74
all,2020-05-01,93,7940,48,3819,45,4047,0,74
all,2020-05-02,75,8015,37,3856,38,4085,0,74
all,2020-05-03,93,8108,50,3906,43,4128,0,74
all,2020-05-04,93,8201,57,3963,35,4163,1,75
all,2020-05-05,79,8280,37,4000,41,4204,1,76
all,2020-05-06,75,8355,38,4038,37,4241,0,76
all,2020-05-07,70,8425,37,4075,33,4274,0,76
all,2020-05-08,73,8498,40,4115,33,4307,0,76
all,2020-05-09,71,8569,34,4149,37,4344,0,76
all,2020-05-10,72,8641,34,4183,38,4382,0,76
all,2020-05-11,65,8706,36,4219,29,4411,0,76
all,2020-05-12,45,8751,24,4243,21,4432,0,76
all,2020-05-13,56,8807,35,4278,21,4453,0,76
all,2020-05-14,42,8849,23,4301,19,4472,0,76
all,2020-05-15,45,8894,24,4325,21,4493,0,76
all,2020-05-16,29,8923,19,4344,10,4503,0,76
all,2020-05-17,31,8954,13,4357,18,4521,0,76
all,2020-05-18,35,8989,22,4379,13,4534,0,76
all,2020-05-19,32,9021,20,4399,12,4546,0,76
all,2020-05-20,30,9051,18,4417,12,4558,0,76
all,2020-05-21,34,9085,15,4432,19,4577,0,76
all,2020-05-22,41,9126,20,4452,21,4598,0,76
all,2020-05-23,25,9151,16,4468,9,4607,0,76
all,2020-05-24,33,9184,20,4488,13,4620,0,76
all,2020-05-25,26,9210,15,4503,11,4631,0,76
all,2020-05-26,24,9234,17,4520,7,4638,0,76
all,2020-05-27,24,9258,15,4535,9,4647,0,76
all,2020-05-28,26,9284,16,4551,10,4657,0,76
all,2020-05-29,16,9300,8,4559,8,4665,0,76
all,2020-05-30,22,9322,15,4574,7,4672,0,76
all,2020-05-31,22,9344,14,4588,8,4680,0,76
all,2020-06-01,21,9365,11,4599,10,4690,0,76
all,2020-06-02,23,9388,12,4611,10,4700,1,77
all,2020-06-03,20,9408,15,4626,5,4705,0,77
all,2020-06-04,14,9422,7,4633,6,4711,1,78
all,2020-06-05,12,9434,7,4640,5,4716,0,78
all,2020-06-06,11,9445,6,4646,5,4721,0,78
all,2020-06-07,12,9457,10,4656,2,4723,0,78
all,2020-06-08,9,9466,7,4663,2,4725,0,78
all,2020-06-09,12,9478,10,4673,2,4727,0,78
all,2020-06-10,12,9490,6,4679,6,4733,0,78
all,2020-06-11,7,9497,6,4685,1,4734,0,78
all,2020-06-12,10,9507,6,4691,4,4738,0,78
all,2020-06-13,5,9512,4,4695,1,4739,0,78
all,2020-06-14,3,9515,2,4697,1,4740,0,78
all,2020-06-15,8,9523,3,4700,5,4745,0,78
all,2020-06-16,7,9530,4,4704,3,4748,0,78
all,2020-06-17,7,9537,7,4711,0,4748,0,78
all,2020-06-18,5,9542,4,4715,1,4749,0,78
all,2020-06-19,4,9546,2,4717,2,4751,0,78
all,2020-06-20,3,9549,2,4719,1,4752,0,78
all,2020-06-21,9,9558,6,4725,3,4755,0,78
all,2020-06-22,12,9570,10,4735,2,4757,0,78
all,2020-06-23,4,9574,2,4737,2,4759,0,78
all,2020-06-24,3,9577,3,4740,0,4759,0,78
all,2020-06-25,5,9582,4,4744,1,4760,0,78
all,2020-06-26,2,9584,2,4746,0,4760,0,78
all,2020-06-27,8,9592,5,4751,3,4763,0,78
all,2020-06-28,5,9597,4,4755,1,4764,0,78
all,2020-06-29,3,9600,3,4758,0,4764,0,78
all,2020-06-30,8,9608,8,4766,0,4764,0,78
all,2020-07-01,2,9610,2,4768,0,4764,0,78
all,2020-07-02,5,9615,5,4773,0,4764,0,78
all,2020-07-03,2,9617,2,4775,0,4764,0,78
all,2020-07-04,3,9620,1,4776,2,4766,0,78
all,2020-07-05,2,9622,1,4777,1,4767,0,78
all,2020-07-06,1,9623,0,4777,1,4768,0,78
all,2020-07-07,3,9626,2,4779,1,4769,0,78
all,2020-07-08,1,9627,1,4780,0,4769,0,78
all,2020-07-09,2,9629,1,4781,1,4770,0,78
all,2020-07-11,2,9631,2,4783,0,4770,0,78
all,2020-07-12,4,9635,3,4786,1,4771,0,78
all,2020-07-14,3,9638,2,4788,1,4772,0,78
all,2020-07-15,5,9643,4,4792,1,4773,0,78
all,2020-07-16,5,9648,3,4795,2,4775,0,78
all,2020-07-17,2,9650,2,4797,0,4775,0,78
all,2020-07-18,3,9653,3,4800,0,4775,0,78
all,2020-07-19,1,9654,1,4801,0,4775,0,78
all,2020-07-20,2,9656,2,4803,0,4775,0,78
all,2020-07-21,1,9657,1,4804,0,4775,0,78
all,2020-07-22,2,9659,2,4806,0,4775,0,78
all,2020-07-23,2,9661,2,4808,0,4775,0,78
all,2020-07-24,5,9666,5,4813,0,4775,0,78
all,2020-07-25,1,9667,1,4814,0,4775,0,78
all,2020-07-26,2,9669,1,4815,1,4776,0,78
all,2020-07-27,4,9673,3,4818,1,4777,0,78
all,2020-07-28,1,9674,1,4819,0,4777,0,78
all,2020-07-29,3,9677,2,4821,1,4778,0,78
all,2020-07-30,2,9679,1,4822,1,4779,0,78
all,2020-07-31,3,9682,3,4825,0,4779,0,78
all,2020-08-01,2,9684,1,4826,1,4780,0,78
all,2020-08-02,5,9689,4,4830,1,4781,0,78
all,2020-08-03,3,9692,2,4832,1,4782,0,78
all,2020-08-04,5,9697,4,4836,1,4783,0,78
all,2020-08-05,5,9702,4,4840,1,4784,0,78
all,2020-08-06,4,9706,1,4841,2,4786,1,79
all,2020-08-07,6,9712,3,4844,3,4789,0,79
all,2020-08-08,2,9714,2,4846,0,4789,0,79
all,2020-08-09,5,9719,4,4850,1,4790,0,79
all,2020-08-10,11,9730,7,4857,4,4794,0,79
all,2020-08-11,13,9743,10,4867,3,4797,0,79
all,2020-08-12,11,9754,8,4875,3,4800,0,79
all,2020-08-13,12,9766,6,4881,6,4806,0,79
all,2020-08-14,12,9778,6,4887,6,4812,0,79
all,2020-08-15,9,9787,6,4893,3,4815,0,79
all,2020-08-16,7,9794,4,4897,3,4818,0,79
all,2020-08-17,7,9801,5,4902,2,4820,0,79
all,2020-08-18,11,9812,10,4912,1,4821,0,79
all,2020-08-19,9,9821,2,4914,7,4828,0,79
all,2020-08-20,4,9825,2,4916,2,4830,0,79
