date,age,e_s,e_i,e_h
2020-12-28,"[0, 12)",0.0,0.0,0.0
2020-12-28,"[12, 18)",0.0,0.0,0.0
2020-12-28,"[18, 25)",0.0,0.0,0.0
2020-12-28,"[25, 35)",0.0,0.0,0.0
2020-12-28,"[35, 45)",0.0,0.0,0.0
2020-12-28,"[45, 55)",0.0,0.0,0.0
2020-12-28,"[55, 65)",0.0,0.0,0.0
2020-12-28,"[65, 75)",0.0,0.0,0.0
2020-12-28,"[75, 85)",0.0,0.0,0.0
2020-12-28,"[85, 120)",0.0,0.0,0.0
2021-01-04,"[0, 12)",0.0,0.0,0.0
2021-01-04,"[12, 18)",0.0,0.0,0.0
2021-01-04,"[18, 25)",1.5643234134498729e-09,1.3036028445415609e-09,1.2663570489832303e-09
2021-01-04,"[25, 35)",2.214225942903189e-07,1.8451882857526576e-07,1.7924686204454387e-07
2021-01-04,"[35, 45)",4.2554297150440925e-07,3.546191429203411e-07,3.444871674083313e-07
2021-01-04,"[45, 55)",8.388062228419689e-07,6.990051857016408e-07,6.79033608967308e-07
2021-01-04,"[55, 65)",1.4817056953393772e-06,1.2347547461161479e-06,1.1994760390842579e-06
2021-01-04,"[65, 75)",2.7279249406906978e-06,2.273270783908915e-06,2.208320190082945e-06
2021-01-04,"[75, 85)",5.123896780841523e-05,4.269913984034603e-05,4.147916441633613e-05
2021-01-04,"[85, 120)",0.0009921335360639281,0.0008267779467199402,0.0008031557196707989
2021-01-11,"[0, 12)",0.0,0.0,0.0
2021-01-11,"[12, 18)",0.0,0.0,0.0
2021-01-11,"[18, 25)",1.2620176686089274e-06,1.0516813905074393e-06,1.0216333507786553e-06
2021-01-11,"[25, 35)",1.1669361884126958e-05,9.724468236772465e-06,9.446626287150393e-06
2021-01-11,"[35, 45)",1.6707240464738783e-05,1.3922700387282318e-05,1.352490894764568e-05
2021-01-11,"[45, 55)",2.5042134036712202e-05,2.08684450305935e-05,2.027220374400511e-05
2021-01-11,"[55, 65)",3.283508524726093e-05,2.7362571039384103e-05,2.6580783295401705e-05
2021-01-11,"[65, 75)",3.4248442915042426e-05,2.854036909586869e-05,2.7724929978843866e-05
2021-01-11,"[75, 85)",0.0004624033337774283,0.00038533611148119023,0.0003743265082960134
2021-01-11,"[85, 120)",0.008536253967823692,0.00711354497318641,0.00691030083109537
2021-01-18,"[0, 12)",0.0,0.0,0.0
2021-01-18,"[12, 18)",3.141128405490798e-08,2.6176070045756652e-08,2.5428182330163602e-08
2021-01-18,"[18, 25)",2.7857143804551947e-05,2.321428650379329e-05,2.255102117511348e-05
2021-01-18,"[25, 35)",8.594019967368496e-05,7.161683306140413e-05,6.957063783107828e-05
2021-01-18,"[35, 45)",0.00010046849215136415,8.372374345947012e-05,8.133163650348525e-05
2021-01-18,"[45, 55)",0.0001289512398159639,0.00010745936651330323,0.00010438909889863744
2021-01-18,"[55, 65)",0.00014801880715374164,0.00012334900596145133,0.00011982474864826703
2021-01-18,"[65, 75)",0.0001011079632902559,8.425663607521325e-05,8.184930361592143e-05
2021-01-18,"[75, 85)",0.0009802880968970335,0.0008169067474141946,0.0007935665546309319
2021-01-18,"[85, 120)",0.016809730166092246,0.014008108471743537,0.013607876801122291
2021-01-25,"[0, 12)",0.0,0.0,0.0
2021-01-25,"[12, 18)",1.640242759739946e-07,1.3668689664499545e-07,1.3278155674085272e-07
2021-01-25,"[18, 25)",8.091448829383244e-05,6.742874024486036e-05,6.550220480929291e-05
2021-01-25,"[25, 35)",0.00019799367289323775,0.00016499472741103143,0.00016028059234214485
2021-01-25,"[35, 45)",0.0002132622239066175,0.00017771851992218123,0.00017264084792440463
2021-01-25,"[45, 55)",0.00025579861084639946,0.00021316550903866611,0.00020707506592327566
2021-01-25,"[55, 65)",0.0002800497394217573,0.0002333747828514644,0.0002267069319128511
2021-01-25,"[65, 75)",0.00014669907766418097,0.00012224868562481047,0.0001187570638568525
2021-01-25,"[75, 85)",0.0011857001061579657,0.0009880773542257607,0.0009598598895942215
2021-01-25,"[85, 120)",0.019597308710141308,0.01633089065047691,0.015864732599654898
2021-02-01,"[0, 12)",0.0,0.0,0.0
2021-02-01,"[12, 18)",2.475239090597991e-07,2.0626992421649926e-07,2.0037649781031356e-07
2021-02-01,"[18, 25)",0.00010338467762954017,8.61538980246168e-05,8.369235808105631e-05
2021-02-01,"[25, 35)",0.0002749435083120569,0.0002291195902600474,0.00022257331625261746
2021-02-01,"[35, 45)",0.00030394197496634107,0.0002532825545984021,0.00024605123148606746
2021-02-01,"[45, 55)",0.000373394283770987,0.00031116021107190284,0.0003022736330304028
2021-02-01,"[55, 65)",0.0004175449647923986,0.0003479506108272733,0.00033801690465454345
2021-02-01,"[65, 75)",0.00021950037620764535,0.00018290992786410833,0.00017769940811141193
2021-02-01,"[75, 85)",0.0018493100522868385,0.0015410280502831488,0.0014971383962909081
2021-02-01,"[85, 120)",0.030758679250130944,0.025630197899818265,0.024902372465351128
2021-02-08,"[0, 12)",0.0,0.0,0.0
2021-02-08,"[12, 18)",3.1575975939175193e-07,2.6313313282646e-07,2.556150433171325e-07
2021-02-08,"[18, 25)",0.00018116493280246948,0.00015096977987860607,0.00014665854678320382
2021-02-08,"[25, 35)",0.0004752005509037107,0.00039596071471131194,0.00038473478114083585
2021-02-08,"[35, 45)",0.000520437070705841,0.00043362303949066617,0.0004213973626987614
2021-02-08,"[45, 55)",0.0006422344306268313,0.0005350779165659822,0.0005200477347438079
2021-02-08,"[55, 65)",0.0006861680056250486,0.0005716185235958024,0.0005556995065732824
2021-02-08,"[65, 75)",0.0003367779740009373,0.0002804289607154599,0.0002728981292793811
2021-02-08,"[75, 85)",0.0025943864319254257,0.0021592853389026975,0.0021035247093910917
2021-02-08,"[85, 120)",0.04196712509850651,0.03492389551354865,0.03403297433059324
2021-02-15,"[0, 12)",0.0,0.0,0.0
2021-02-15,"[12, 18)",5.1047396906063e-07,4.2539497421719165e-07,4.132408320967005e-07
2021-02-15,"[18, 25)",0.00031739821063322125,0.00026442760375789266,0.000257028149659556
2021-02-15,"[25, 35)",0.0008174500126416667,0.0006806081087248745,0.0006624795400131821
2021-02-15,"[35, 45)",0.0009100430693909534,0.0007575027238162552,0.0007377615573362043
2021-02-15,"[45, 55)",0.0011038460608204551,0.0009185979012798755,0.0008951479784861755
2021-02-15,"[55, 65)",0.0010641908691695348,0.0008851764149425606,0.0008635055126559966
2021-02-15,"[65, 75)",0.0004479666772564209,0.0003718754293979393,0.0003643892324992748
2021-02-15,"[75, 85)",0.0030590321575763336,0.0025329222358567733,0.0024962646113399775
2021-02-15,"[85, 120)",0.04782953012935021,0.039572019348052184,0.03906892379067124
