age_cat,collection_midpoint,fraction_pos_direct,fraction_pos_mean,fraction_pos_LL,fraction_pos_UL
"[0,10)",2020-04-02 00:00:00,0.08333333333333333,0.08335399999999998,0.067,0.101
"[0,10)",2020-04-23 00:00:00,0.08235294117647059,0.082693,0.066,0.099
"[0,10)",2020-05-21 12:00:00,0.1206896551724138,0.12065500000000001,0.102,0.141
"[0,10)",2020-06-10 12:00:00,0.056451612903225805,0.05654600000000001,0.043,0.07102499999999996
"[0,10)",2020-07-01 12:00:00,0.05454545454545454,0.05424700000000002,0.041,0.068
"[0,10)",2020-09-09 12:00:00,0.07352941176470588,0.07408799999999999,0.059,0.09002499999999998
"[0,10)",2020-10-14 12:00:00,0.058823529411764705,0.05884100000000001,0.044974999999999994,0.074
"[10,20)",2020-04-02 00:00:00,0.03741496598639456,0.03740600000000001,0.026,0.05002499999999998
"[10,20)",2020-04-23 00:00:00,0.06561085972850679,0.06580899999999999,0.051,0.082
"[10,20)",2020-05-21 12:00:00,0.06960556844547564,0.068898,0.054,0.085
"[10,20)",2020-06-10 12:00:00,0.07466666666666667,0.07458699999999999,0.058,0.09002499999999998
"[10,20)",2020-07-01 12:00:00,0.08958837772397095,0.089308,0.071975,0.10702499999999997
"[10,20)",2020-09-09 12:00:00,0.037037037037037035,0.037136,0.027,0.049
"[10,20)",2020-10-14 12:00:00,0.0691358024691358,0.069512,0.055,0.085
"[20,30)",2020-04-02 00:00:00,0.022935779816513763,0.022938000000000007,0.014,0.033
"[20,30)",2020-04-23 00:00:00,0.088,0.08781,0.071,0.107
"[20,30)",2020-05-21 12:00:00,0.09178743961352658,0.091637,0.073,0.109
"[20,30)",2020-06-10 12:00:00,0.08616187989556136,0.086076,0.068,0.104
"[20,30)",2020-07-01 12:00:00,0.06852791878172589,0.068551,0.052,0.084
"[20,30)",2020-09-09 12:00:00,0.06896551724137931,0.068376,0.053,0.085
"[20,30)",2020-10-14 12:00:00,0.08706467661691543,0.08747999999999999,0.071,0.105
"[30,40)",2020-04-02 00:00:00,0.03253796095444685,0.032196,0.021,0.044
"[30,40)",2020-04-23 00:00:00,0.051597051597051594,0.05175800000000001,0.038,0.065
"[30,40)",2020-05-21 12:00:00,0.07075471698113207,0.07086699999999999,0.055,0.087
"[30,40)",2020-06-10 12:00:00,0.05822784810126582,0.05789500000000001,0.044,0.072
"[30,40)",2020-07-01 12:00:00,0.06060606060606061,0.06034900000000001,0.046,0.075
"[30,40)",2020-09-09 12:00:00,0.03787878787878788,0.038127,0.027,0.05
"[30,40)",2020-10-14 12:00:00,0.06297229219143577,0.06303900000000001,0.048,0.079
"[40,50)",2020-04-02 00:00:00,0.038461538461538464,0.038761000000000004,0.028,0.051
"[40,50)",2020-04-23 00:00:00,0.07142857142857142,0.071349,0.056,0.088
"[40,50)",2020-05-21 12:00:00,0.07785888077858881,0.078139,0.061975,0.095
"[40,50)",2020-06-10 12:00:00,0.06345177664974619,0.06338900000000001,0.049,0.079
"[40,50)",2020-07-01 12:00:00,0.03225806451612903,0.03225800000000001,0.022,0.043
"[40,50)",2020-09-09 12:00:00,0.07518796992481203,0.075649,0.060975,0.091
"[40,50)",2020-10-14 12:00:00,0.055415617128463476,0.05538400000000002,0.042,0.07
"[50,60)",2020-04-02 00:00:00,0.0321285140562249,0.031865000000000004,0.022,0.04202499999999998
"[50,60)",2020-04-23 00:00:00,0.07441860465116279,0.07456399999999999,0.059,0.091
"[50,60)",2020-05-21 12:00:00,0.07398568019093078,0.07367299999999999,0.057975000000000006,0.091
"[50,60)",2020-06-10 12:00:00,0.06870229007633588,0.069043,0.053,0.085
"[50,60)",2020-07-01 12:00:00,0.05,0.05017500000000001,0.037,0.065
"[50,60)",2020-09-09 12:00:00,0.04228855721393035,0.042302000000000006,0.031,0.05502499999999998
"[50,60)",2020-10-14 12:00:00,0.0475,0.04753200000000001,0.035,0.06
"[60,70)",2020-04-02 00:00:00,0.04142011834319527,0.041609,0.029,0.055
"[60,70)",2020-04-23 00:00:00,0.046948356807511735,0.046852000000000005,0.035,0.06
"[60,70)",2020-05-21 12:00:00,0.047961630695443645,0.04800300000000001,0.034975000000000006,0.061
"[60,70)",2020-06-10 12:00:00,0.06265664160401002,0.062725,0.049,0.078
"[60,70)",2020-07-01 12:00:00,0.02977667493796526,0.02968700000000001,0.02,0.04
"[60,70)",2020-09-09 12:00:00,0.034739454094292806,0.034692999999999995,0.023,0.047
