NIS,Arrondissement,short_NIS
11000,Antwerpen,11
12000,Mechelen,12
13000,Turnhout,13
21000,Brussel-Hoofdstad,21
23000,Halle-Vilvoorde,23
24000,Leuven,24
25000,Nijvel,25
31000,Brugge,31
32000,Diksmuide,32
33000,Ieper,33
34000,Kortrijk,34
35000,Oostende,35
36000,Roeselare,36
37000,Tielt,37
38000,Veurne,38
41000,Aalst,41
42000,Dendermonde,42
43000,Eeklo,43
44000,Gent,44
45000,Oudenaarde,45
46000,Sint-Niklaas,46
51000,Aat,51
52000,Charleroi,52
53000,Bergen,53
55000,Zinnik,55
56000,Thuin,56
57000,Doornik-Moeskroen,57
58000,La Louvière,58
61000,Hoei,61
62000,Luik,62
63000,Verviers,63
64000,Borgworm,64
71000,Hasselt,71
72000,Maaseik,72
73000,Tongeren,73
81000,Aarlen,81
82000,Bastenaken,82
83000,Marche-en-Famenne,83
84000,Neufchâteau,84
85000,Virton,85
91000,Dinant,91
92000,Namen,92
93000,Philippeville,93
