,Arrondissement,Province,NIS_arr,NIS_prov
0,Antwerpen,Antwerpen,11000,10000
1,Mechelen,Antwerpen,12000,10000
2,Turnhout,Antwerpen,13000,10000
3,Brussel-Hoofdstad,Vlaams-Brabant,21000,20001
4,Halle-Vilvoorde,Vlaams-Brabant,23000,20001
5,Leuven,Vlaams-Brabant,24000,20001
6,Nijvel,Waals-Brabant,25000,20002
7,Brugge,West-Vlaanderen,31000,30000
8,Diksmuide,West-Vlaanderen,32000,30000
9,Ieper,West-Vlaanderen,33000,30000
10,Kortrijk,West-Vlaanderen,34000,30000
11,Oostende,West-Vlaanderen,35000,30000
12,Roeselare,West-Vlaanderen,36000,30000
13,Tielt,West-Vlaanderen,37000,30000
14,Veurne,West-Vlaanderen,38000,30000
15,Aalst,Oost-Vlaanderen,41000,40000
16,Dendermonde,Oost-Vlaanderen,42000,40000
17,Eeklo,Oost-Vlaanderen,43000,40000
18,Gent,Oost-Vlaanderen,44000,40000
19,Oudenaarde,Oost-Vlaanderen,45000,40000
20,Sint-Niklaas,Oost-Vlaanderen,46000,40000
21,Aat,Henegouwen,51000,50000
22,Charleroi,Henegouwen,52000,50000
23,Bergen,Henegouwen,53000,50000
24,Zinnik,Henegouwen,55000,50000
25,Thuin,Henegouwen,56000,50000
26,Doornik-Moeskroen,Henegouwen,57000,50000
27,La Louvière,Henegouwen,58000,50000
28,Hoei,Luik,61000,60000
29,Luik,Luik,62000,60000
30,Verviers,Luik,63000,60000
31,Borgworm,Luik,64000,60000
32,Hasselt,Limburg,71000,70000
33,Maaseik,Limburg,72000,70000
34,Tongeren,Limburg,73000,70000
35,Aarlen,Luxemburg,81000,80000
36,Bastenaken,Luxemburg,82000,80000
37,Marche-en-Famenne,Luxemburg,83000,80000
38,Neufchâteau,Luxemburg,84000,80000
39,Virton,Luxemburg,85000,80000
40,Dinant,Namen,91000,90000
41,Namen,Namen,92000,90000
42,Philippeville,Namen,93000,90000
