Age	M	F	sum
0-4	327390	308558	635948
5-9	344926	324345	669271
10-14	340771	322428	663199
15-19	326407	309364	635771
20-24	340912	323835	664747
25-29	371730	358908	730638
30-34	372493	371464	743957
35-39	377285	377293	754578
40-44	382329	369188	751517
45-49	395349	377286	772635
50-54	408318	393958	802276
55-59	403771	395844	799615
60-64	357371	364628	721999
65-69	301701	323996	625697
70-74	250119	284860	534979
75-79	166017	207729	1032499
80-84	131910	189656	
85-89	77144	136774	
90-94	28633	66198	
95-99	6627	20038	
100+	276	1497	

