Age	M	F	sum
0-4	2045919	1941523	3987442
5-9	1928580	1810893	3739473
10-14	1971230	1826839	3798069
15-19	2163070	1987285	4150355
20-24	2376291	2175056	4551347
25-29	2538483	2331831	4870314
30-34	2812868	2630783	5443651
35-39	2711490	2615298	5326788
40-44	2512560	2475429	4987989
45-49	2724685	2687529	5412214
50-54	3448195	3415871	6864066
55-59	3347849	3362968	6710817
60-64	2776121	2889856	5665977
65-69	2228280	2453269	4681549
70-74	1796065	2037511	3833576
75-79	1681060	2074960	9493418
80-84	1335326	1871223	
85-89	573159	978729	
90-94	228579	521298	
95-99	46133	165259	
100+	3172	14520	


