Age	M	F	sum
0-4	2022994	1928052	3951046
5-9	2105263	2008974	4114237
10-14	1985332	1899294	3884626
15-19	1879833	1804701	3684534
20-24	2096581	2023688	4120269
25-29	2285353	2224992	4510345
30-34	2343986	2339650	4683636
35-39	2245818	2274115	4519933
40-44	2129100	2141685	4270785
45-49	2154010	2199884	4353894
50-54	2300871	2374047	4674918
55-59	2196916	2266531	4463447
60-64	1868565	1930920	3799485
65-69	1658433	1748557	3406990
70-74	1595596	1733900	3329496
75-79	1088727	1255234	5762520
80-84	748505	950525	
85-89	431640	631795	
90-94	170828	323197	
95-99	40247	106470	
100+	2837	12515	

