Age	M	F	sum
0-4	1227140	1155405	2382545
5-9	1400399	1320632	2721031
10-14	1476556	1392257	2868813
15-19	1484452	1387067	2871519
20-24	1533272	1422049	2955321
25-29	1630731	1549174	3179905
30-34	1711693	1678215	3389908
35-39	1861234	1849601	3710835
40-44	2157716	2166599	4324315
45-49	2432025	2468825	4900850
50-54	2410929	2484894	4895823
55-59	2221334	2336011	4557345
60-64	1854790	2003108	3857898
65-69	1680438	1852790	3533228
70-74	1553702	1771151	3324853
75-79	1163633	1446562	7075903
80-84	942098	1331834	
85-89	484087	868523	
90-94	186445	448312	
95-99	45405	143036	
100+	2956	13012	

