x;q_x
0;0.003736
1;0.000232
2;0.000186
3;0.00012
4;0.000093
5;0.000062
6;0.000128
7;0.000082
8;0.000067
9;0.000067
10;0.000067
11;0.000092
12;0.000062
13;0.000117
14;0.000089
15;0.00013
16;0.000163
17;0.000175
18;0.000189
19;0.000367
20;0.000374
21;0.000302
22;0.000423
23;0.00033
24;0.000454
25;0.000402
26;0.000414
27;0.000394
28;0.000421
29;0.000377
30;0.000528
31;0.000565
32;0.00058
33;0.000602
34;0.000591
35;0.000648
36;0.000832
37;0.000792
38;0.0008
39;0.001024
40;0.000965
41;0.001031
42;0.001275
43;0.001167
44;0.001491
45;0.001553
46;0.001793
47;0.001887
48;0.002115
49;0.002294
50;0.002464
51;0.002727
52;0.002797
53;0.003267
54;0.003701
55;0.003923
56;0.00441
57;0.005071
58;0.005357
59;0.005984
60;0.006576
61;0.007353
62;0.00837
63;0.008869
64;0.010236
65;0.010721
66;0.011401
67;0.012744
68;0.013369
69;0.014261
70;0.016062
71;0.016764
72;0.018424
73;0.021428
74;0.022729
75;0.024716
76;0.026995
77;0.030442
78;0.034607
79;0.038033
80;0.0427
81;0.048248
82;0.052926
83;0.061147
84;0.070368
85;0.077321
86;0.091277
87;0.100552
88;0.114383
89;0.131708
90;0.145946
91;0.160893
92;0.18314
93;0.202393
94;0.225958
95;0.259367
96;0.267442
97;0.294097
98;0.297494
99;0.355573
100;0.400454
101;0.346359
102;0.4095
103;0.450601
104;0.463475
