MDC ;Nbre de séjours ;Prix journée recalculé à 100% ;Médicaments ;Prestations ;Bio. Clin. (25%) ;Autres Montants (Forfaits inclus) ;Montant total ;
PRE-MDC ;3.131;           81.920.541,75;           21.012.885,18;           52.318.556,59;            4.621.474,48;           18.366.447,02;          178.239.905,02;
01 NERVOUS SYSTEM-nervous system;122.004;          501.994.059,70;           40.662.680,58;          127.063.711,76;            6.991.487,62;           80.897.397,16;          757.609.336,82;
02 EYE CONDITIONS-eye and ear;13.951;           19.136.062,60;              863.268,67;           15.493.549,01;              173.716,19;            7.843.145,82;           43.509.742,29;
03 NOSE, THROAT, EARS;129.566;          149.557.469,26;            6.716.145,94;           66.919.435,63;            1.587.333,22;           44.428.630,21;          269.209.014,26;
04 RESPIRATORY SYSTEM-respiratory system;147.759;          628.225.914,34;           37.093.072,55;          119.172.513,72;           11.811.538,68;           68.987.545,50;          865.290.584,79;
05 CIRCULATORY SYSTEM-circuatory system;201.818;          608.700.197,80;           34.770.458,04;          308.266.446,12;           14.717.605,18;          316.965.344,46;        1.283.420.051,59;
06 DIGESTIVE SYSTEM-digestive system;185.684;          498.015.066,61;           38.114.869,71;          147.370.198,78;            8.598.535,07;          106.812.833,30;          798.911.503,47;
07 LIVER, BILE AND PANCREAS-degiste system;56.159;          179.474.767,41;           15.953.468,31;           57.900.369,84;            4.136.966,50;           36.302.742,65;          293.768.314,71;
08 MUSCULAR SYSTEM AND CONNECTIVE TISSUE-mususkeleal;253.478;          883.407.066,53;           37.957.007,83;          307.118.307,08;            7.698.500,05;          315.022.654,34;        1.551.203.535,82;
09 SKIN, SUBCUTANEOUS FABRIC, BREAST- skin;60.077;          175.071.497,40;            8.572.257,03;           54.994.535,11;            1.943.847,51;           24.966.353,72;          265.548.490,77;
10 ENDOCRINE, NUTRITIVE AND METABOLIC DISEASES-endocrine;52.316;          144.203.706,93;            8.713.998,52;           47.908.113,69;            2.593.174,34;           36.805.981,73;          240.224.975,21;
11 KIDNEYS AND URINARY TRACT genitourinary;86.456;          251.562.783,62;           18.116.597,46;           66.679.939,42;            4.414.290,01;           39.428.311,54;          380.201.922,05;
12 MALE GENITAL ORGANS-genitourinary;23.753;           54.011.578,21;            4.648.768,87;           25.101.705,32;              588.804,62;           15.113.805,59;           99.464.662,61;
13 FEMALE GENITAL ORGANS-genitourinary;31.032;           50.177.480,46;            3.597.147,01;           28.934.615,31;              492.335,53;           16.768.098,87;           99.969.677,18;
14 PREGNANCY AND DELIVERY-pregnacy;135.368;          252.532.323,69;            7.961.784,43;          102.534.920,85;            2.832.075,17;           40.408.615,20;          406.269.719,34;
15 NEWBORNS - CONDITIONS OF PERINATAL ORIGIN-preginacy;6.125;           66.328.245,47;            2.996.978,51;           24.181.007,48;            1.026.241,58;            5.449.386,12;           99.981.859,16;
16 BLOOD AND HEMATOPOIETIC ORGANS blood;16.93;           62.571.500,68;            9.737.631,15;           11.147.204,10;            1.475.376,76;           12.653.769,49;           97.585.482,18;
17 MYELOPROLIFERATIVE DISEASES, LITTLE DIFFERENTIATED NEOPLASMS-neopasl;33.729;          108.405.557,63;           48.198.946,11;           23.202.657,95;            2.885.596,34;           25.588.456,33;          208.281.214,36;
18 INFECTIOUS AND PARASITIC DISEASES -infectous;39.434;          185.682.784,11;           16.885.645,41;           35.765.982,16;            4.773.043,97;           22.110.728,38;          265.218.184,03;
19 MENTAL DISORDERS -menta;23.264;          108.201.471,00;            1.464.660,63;           13.028.857,30;              826.143,12;           10.086.794,89;          133.607.926,94;
20 ALCOHOLISM AND DRUG USE-others;11.892;           36.108.892,18;              524.078,22;            4.510.981,91;              461.578,68;            4.130.033,02;           45.735.564,01;
21 TRAUMA, POISONING, TOXIC EFFECTS OF MEDICINES others;25.448;           69.630.729,41;            3.374.959,67;           13.373.493,81;            1.276.571,88;           11.162.707,09;           98.818.461,86;
22 BURNS- others;931;           11.677.250,31;              326.176,49;              991.350,00;              146.138,16;              718.823,14;           13.859.738,10;
23 FACTORS INFLUENCING HEALTH -otheres;60.788;          162.774.032,52;            5.907.653,09;           32.384.501,66;            1.592.983,27;           31.483.933,74;          234.143.104,28;
24 HIV INFECTIONS -others;741;            4.956.836,15;            1.121.075,20;              806.673,84;              137.847,49;              558.120,31;            7.580.552,99;
25 MULTIPLE TRAUMA -others;2.727;           30.093.633,60;            1.767.390,36;            8.873.503,30;              640.268,99;            4.728.666,03;           46.103.462,28;
others;23.786;          183.203.132,04;           14.664.281,77;           45.705.688,41;            3.872.664,40;           27.118.729,65;          274.564.496,27;
ALL MDC;      1.748.347;        5.507.624.581,38;          391.723.886,74;        1.741.748.820,14;           92.316.138,81;        1.324.908.055,29;        9.058.321.482,37;
