"Date","hosp_scenario1","hosp_scenario1_ll","hosp_scenario1_ul","hosp_scenario2","hosp_scenario2_ll","hosp_scenario2_ul","hosp_scenario3","hosp_scenario3_ll","hosp_scenario3_ul"
2020-10-01,102,52,146,99,59,141,104,75,152
2020-10-02,104,51,141,107,65,147,110,71,165
2020-10-03,111,66,155,112,76,177,115,76,161
2020-10-04,119,76,177,117,79,170,121,80,157
2020-10-05,126,73,201,123,82,175,126,74,176
2020-10-06,131,78,193,126,84,178,134,89,191
2020-10-07,139,85,232,129,87,183,138,93,182
2020-10-08,147,97,201,131,86,197,141,98,206
2020-10-09,150,86,234,133,72,183,145,99,217
2020-10-10,164,83,244,134,89,195,154,113,215
2020-10-11,169,86,259,136,92,196,157,105,233
2020-10-12,180,101,273,136,85,208,161,96,215
2020-10-13,186,102,289,136,96,209,164,101,235
2020-10-14,199,120,306,138,76,194,168,104,251
2020-10-15,208,114,331,136,74,201,172,101,257
2020-10-16,218,139,318,136,82,192,179,113,248
2020-10-17,230,133,356,139,96,206,183,106,263
2020-10-18,240,158,386,140,78,191,190,127,272
2020-10-19,256,135,388,141,87,209,194,127,264
2020-10-20,267,145,447,137,81,192,200,133,279
2020-10-21,278,179,432,138,75,209,203,129,285
2020-10-22,293,165,486,139,85,206,208,114,286
2020-10-23,307,151,495,137,87,210,215,121,313
2020-10-24,323,191,541,138,93,189,221,133,317
2020-10-25,337,201,556,139,80,197,226,144,323
2020-10-26,353,194,581,138,83,218,231,139,345
2020-10-27,368,230,589,138,87,201,232,136,355
2020-10-28,386,221,599,139,85,197,240,154,385
2020-10-29,404,226,676,138,91,187,249,160,395
2020-10-30,421,215,660,139,85,190,252,156,358
2020-10-31,439,236,707,139,82,194,257,164,375
2020-11-01,462,263,748,140,84,194,263,168,420
2020-11-02,476,286,761,139,80,212,269,166,405
2020-11-03,498,267,788,138,64,195,275,170,417
2020-11-04,517,302,856,138,78,203,282,179,444
2020-11-05,538,302,868,136,79,201,286,183,421
2020-11-06,561,303,887,137,85,187,291,181,446
2020-11-07,578,299,906,135,65,201,297,182,467
2020-11-08,598,360,992,137,83,211,302,192,472
2020-11-09,629,375,1060,135,70,210,310,195,469
2020-11-10,648,401,1045,135,74,207,317,186,483
2020-11-11,671,358,1099,135,78,207,321,182,500
2020-11-12,694,385,1142,136,74,201,328,201,508
2020-11-13,717,377,1130,136,82,196,334,191,513
2020-11-14,734,429,1249,135,71,212,341,195,506
2020-11-15,757,424,1173,137,75,195,343,202,510
2020-11-16,780,441,1285,133,80,197,352,215,524
2020-11-17,799,483,1220,131,66,219,357,224,571
2020-11-18,826,471,1207,134,79,214,365,244,553
2020-11-19,843,499,1373,132,64,208,370,212,602
2020-11-20,869,506,1377,133,74,198,373,236,561
2020-11-21,890,493,1388,131,69,211,377,248,571
2020-11-22,910,519,1394,132,61,189,386,240,614
2020-11-23,927,559,1366,129,72,195,391,249,611
2020-11-24,949,607,1445,130,66,200,392,233,624
2020-11-25,963,590,1419,132,62,203,400,218,631
2020-11-26,984,599,1455,128,74,206,403,240,626
2020-11-27,996,622,1408,130,70,211,404,251,614
2020-11-28,1012,647,1459,129,69,214,413,253,633
2020-11-29,1021,647,1487,126,75,194,418,254,634
2020-11-30,1039,631,1436,128,68,199,423,284,667
2020-12-01,1049,676,1458,128,65,211,422,268,631
2020-12-02,1056,681,1403,126,67,214,429,267,637
2020-12-03,1068,742,1395,125,64,192,430,254,657
2020-12-04,1075,729,1455,122,62,193,436,277,680
2020-12-05,1082,746,1408,124,55,198,438,288,712
2020-12-06,1087,750,1392,122,61,197,437,273,640
2020-12-07,1084,745,1472,123,61,233,446,279,684
2020-12-08,1092,744,1367,121,67,203,450,268,666
2020-12-09,1086,759,1331,119,58,199,450,279,705
2020-12-10,1092,793,1403,119,62,201,445,278,659
2020-12-11,1082,754,1330,119,58,190,450,278,669
2020-12-12,1082,811,1325,119,58,198,454,297,673
2020-12-13,1073,777,1326,116,51,209,457,302,650
2020-12-14,1074,770,1334,118,62,197,457,293,683
2020-12-15,1061,789,1270,118,63,214,459,305,680
2020-12-16,1041,817,1199,116,63,184,461,282,659
2020-12-17,1039,812,1270,115,58,183,460,289,671
