Date,mean incidence new hospitalisations (including estimated transfers) – current behaviour,P5 incidence new hospitalisations (including estimated transfers) – current behaviour,P95 incidence new hospitalisations (including estimated transfers) – current behaviour,mean hospital load – current behaviour,P5 hospital load (including estimated transfers) – current behaviour,P95 hospital load – current behaviour,mean incidence new hospitalisations (including estimated transfers) – -10 % leisure scenario,P5 incidence new hospitalisations (including estimated transfers) –  -10 % leisure scenario,P95 incidence new hospitalisations (including estimated transfers) –  -10 % leisure scenario,mean hospital load –  -10 % leisure scenario,P5 hospital load (including estimated transfers) –  -10 % leisure scenario,P95 hospital load –  -10 % leisure scenario
29/02/20,0,0,0,0,0,0,0,0,0,0,0,0
01/03/20,0.16,0.08,0.2,0.16,0.08,0.2,0.16,0.08,0.2,0.16,0.08,0.2
02/03/20,0.88,0.44,1.11,0.99,0.5,1.26,0.88,0.44,1.11,0.99,0.5,1.26
03/03/20,1.93,0.96,2.41,2.78,1.39,3.5,1.93,0.96,2.41,2.78,1.39,3.5
04/03/20,3.22,1.63,3.99,5.68,2.85,7.06,3.22,1.63,3.99,5.67,2.84,7.07
05/03/20,4.82,2.51,5.89,9.89,5.04,12.22,4.82,2.5,5.9,9.9,5.03,12.21
06/03/20,6.86,3.73,8.29,15.75,8.23,19.28,6.86,3.72,8.29,15.77,8.2,19.31
07/03/20,9.58,5.44,11.41,23.8,12.8,28.84,9.58,5.43,11.4,23.8,12.77,28.83
08/03/20,13.27,7.9,15.56,34.72,19.42,41.71,13.27,7.91,15.56,34.73,19.37,41.64
09/03/20,18.32,11.48,21.18,49.72,28.94,58.86,18.33,11.47,21.18,49.73,28.88,58.89
10/03/20,25.33,16.74,28.84,70.24,42.73,82.27,25.33,16.71,28.82,70.34,42.72,82.05
11/03/20,35.04,24.39,39.32,98.64,62.8,113.84,35.01,24.4,39.28,98.7,62.85,113.71
12/03/20,48.46,35.47,53.7,137.83,91.99,156.71,48.41,35.37,53.7,137.74,91.95,156.76
13/03/20,66.77,51.2,73.29,191.55,134.09,215.32,66.76,51.16,73.21,191.67,134.02,215.21
14/03/20,92.47,74.88,99.84,266.11,195.64,295.12,92.48,74.96,99.86,265.94,195.75,294.38
15/03/20,127.98,109.24,136.65,368.9,285.23,403.86,127.95,109.32,136.58,368.66,285.24,403.72
16/03/20,171.97,152.89,182.16,506.08,410.23,547.74,171.97,152.81,182,506.02,410.32,547.44
17/03/20,221.77,203.06,233.04,680.93,573.68,730.3,221.72,203.01,233.01,680.67,573.65,730.19
18/03/20,276.85,259.58,289.18,895.01,778.29,951.68,276.88,259.31,289.1,894.66,778.31,951.88
19/03/20,338.11,322.85,351.26,1151.06,1029.99,1216.93,338.13,322.96,351.16,1150.81,1028.33,1216.44
20/03/20,406.67,393.42,419.97,1452.53,1331.57,1526.52,406.66,393.26,419.81,1452.65,1329.57,1524.88
