,Prediction,,95% confidence band,
Date,ML,PE,Lower Bound,Upper Bound
19/09/20,"461,210448002761","461,210448002761","405,15934074066","517,261555264862"
20/09/20,"463,561631140802","453,857550782063","431,16467324296","497,145842966886"
21/09/20,"477,034918460496","457,294283370459","434,429569201936","522,504191218198"
22/09/20,"517,800325249928","486,034574809756","461,732846069268","579,209597445126"
23/09/20,"586,560444111073","539,147278953861","512,189915006167","670,014262187576"
24/09/20,"664,176527236559","597,86567670891","567,972392873464","774,657711994432"
25/09/20,"720,029791485858","634,802186418355","603,062077097438","857,393628481119"
26/09/20,"739,406479249233","638,535338467055","606,608571543702","898,792327469486"
27/09/20,"741,004463472409","626,882526893865","595,538400549172","919,344028092049"
28/09/20,"760,174531386673","630,086167478541","598,581859104614","962,439293257729"
29/09/20,"822,41204519403","667,982216571136","634,583105742579","1062,32785076161"
30/09/20,"928,346686743001","739,014309068197","702,063593614787","1223,14804029268"
01/10/20,"1047,24656628124","817,237453261674","776,37558059859","1406,99842224359"
02/10/20,"1130,78235975993","865,23682673635","821,974985399533","1548,68458264503"
03/10/20,"1156,27378989437","867,726645480929","824,340313206882","1613,75129493054"
04/10/20,"1153,50813692574","849,233780023305","806,77209102214","1639,77899867892"
05/10/20,"1177,61810907978","850,786451075669","808,247128521885","1704,31776120465"
06/10/20,"1267,44238910274","898,872869161624","853,929225703543","1866,6992201761"
07/10/20,"1422,79064462651","990,901923508368","941,35682733295","2131,59794559492"
08/10/20,"1595,62224613411","1091,69679355633","1037,11195387851","2430,45911795119"
09/10/20,"1712,27937276315","1151,32263107493","1093,75649952118","2650,07795105972"
10/10/20,"1739,5376152401","1149,97178007126","1092,4731910677","2733,59129477888"
11/10/20,"1723,56654347288","1120,74988085723","1064,71238681437","2747,86369395239"
12/10/20,"1746,99789575477","1117,92544008158","1062,0291680775","2823,21842009409"
13/10/20,"1866,13489011886","1175,79997568976","1117,00997690527","3053,99270067863"
14/10/20,"2078,40493618367","1290,14669752284","1225,6393626467","3441,04386373237"
15/10/20,"2311,62551192711","1414,52998866252","1343,80348922939","3867,69793273934"
16/10/20,"2459,05894164288","1484,34621886893","1410,12890792548","4153,5455477681"
17/10/20,"2475,34262828654","1474,95031207011","1401,2027964666","4217,00233930935"
18/10/20,"2429,0323095864","1429,79389257017","1358,30419794166","4168,89816746813"
19/10/20,"2437,23410237418","1418,32443501838","1347,40821326746","4208,40985345563"
20/10/20,"2575,99157683825","1483,26522680473","1409,10196546449","4468,4814737442"
21/10/20,"2837,43980387014","1617,97846153371","1537,07953845703","4937,1264484309"
22/10/20,"3119,75222566662","1763,27709590118","1675,11324110612","5436,51634019982"
23/10/20,"3279,57442199533","1838,84637196242","1746,9040533643","5714,42017423747"
24/10/20,"3261,01666864602","1815,58566077738","1724,80637773851","5672,78571464213"
25/10/20,"3159,61200106082","1748,51359268831","1661,0879130539","5479,3792984012"
26/10/20,"3128,91652470966","1722,875267854","1636,7315044613","5401,7520517251"
27/10/20,"3262,55770896029","1789,40647775308","1699,93615386542","5599,46208916994"
28/10/20,"3543,97984991822","1938,24751077467","1841,33513523594","6038,63994239349"
29/10/20,"3841,27790573041","2097,17448320371","1992,31575904352","6489,27419552086"
30/10/20,"3979,21329873074","2171,03682850116","2062,48498707611","6655,72721555335"
31/10/20,"3897,88989352249","2127,54003315064","2021,16303149311","6446,08261447517"
01/11/20,"3719,74447243719","2033,31160073248","1931,64602069586","6073,14578964508"
02/11/20,"3627,48712094291","1987,93504874255","1888,53829630542","5838,53510781374"
