Day since March 1st,S2a_incidences_mean,S2a_incidences_LL,S2a_incidences_UL,S2a_load_mean,S2a_load_LL,S2a_load_UL
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,1,1,0,0,0
9,3,3,4,0,0,0
10,12,11,12,0,0,0
11,30,31,32,0,0,0
12,57,55,57,0,0,0
13,96,93,92,0,0,0
14,113,115,112,0,0,0
15,93,90,90,350,350,350
16,90,94,90,443,440,440
17,147,152,150,533,534,530
18,177,177,175,680,686,680
19,207,200,210,857,863,854
20,286,277,280,1062,1061,1061
21,327,337,336,1338,1328,1331
22,295,296,288,1639,1639,1641
23,306,309,314,1885,1890,1882
24,513,517,504,2121,2131,2128
25,554,557,565,2549,2562,2548
26,565,561,570,3005,3025,3019
27,618,620,615,3473,3480,3490
28,637,630,639,3978,3986,3989
29,487,476,480,4479,4480,4491
30,466,457,461,4804,4799,4804
31,647,642,652,5059,5056,5061
32,624,621,619,5462,5445,5461
33,598,600,583,5778,5757,5783
34,549,558,559,6042,6015,6018
35,524,534,520,6191,6172,6186
36,370,368,373,6282,6275,6263
37,331,329,342,6210,6206,6192
38,454,475,466,6072,6065,6069
39,451,447,460,6047,6058,6044
40,437,428,439,5986,6010,6001
41,429,427,408,5907,5930,5931
42,399,392,399,5838,5862,5844
43,265,266,259,5753,5771,5767
44,240,232,235,5550,5570,5569
45,227,227,227,5354,5353,5351
46,335,331,341,5160,5145,5157
47,323,324,328,5089,5078,5091
48,277,275,268,5021,5014,5016
49,260,259,273,4923,4893,4903
50,178,182,186,4809,4787,4799
51,165,163,161,4617,4605,4614
52,231,229,228,4422,4410,4433
53,214,211,213,4312,4296,4312
54,202,201,205,4178,4162,4184
55,196,193,189,4032,4028,4052
56,179,179,183,3892,3880,3905
57,129,135,127,3750,3741,3757
58,117,111,114,3566,3554,3563
59,152,160,161,3366,3364,3378
60,151,146,150,3222,3226,3233
61,138,141,141,3084,3079,3081
62,108,109,107,2941,2940,2936
63,88,90,87,2781,2782,2773
64,87,86,90,2618,2623,2613
65,80,80,81,2466,2473,2467
66,127,129,126,2314,2327,2327
67,110,106,112,2225,2237,2235
68,111,110,102,2128,2125,2138
69,88,94,88,2039,2045,2043
70,82,82,87,1941,1945,1934
71,59,54,60,1844,1854,1840
72,53,56,54,1739,1742,1736
73,74,73,72,1632,1643,1631
74,68,73,72,1551,1558,1554
75,73,65,67,1480,1489,1481
76,64,64,65,1413,1415,1405
77,60,60,58,1345,1352,1344
78,41,43,43,1285,1298,1281
79,38,41,41,1208,1219,1213
80,54,54,50,1139,1147,1141
81,56,53,56,1093,1101,1088
82,49,54,52,1051,1063,1045
83,53,52,53,1004,1020,999
84,49,47,48,968,984,966
85,34,34,35,931,944,929
86,31,29,31,881,898,884
87,45,44,45,833,853,835
88,39,44,42,805,823,811
89,40,39,40,777,795,782
90,39,40,39,754,765,754
91,38,36,39,727,742,734
92,28,28,27,703,716,709
93,26,25,25,675,685,679
94,34,34,35,641,650,644
95,32,33,31,618,629,619
96,31,31,30,597,607,597
97,30,29,32,578,589,576
98,26,29,27,556,570,556
99,19,23,21,537,550,539
100,19,18,19,512,529,517
101,29,28,26,487,504,491
102,26,23,26,475,494,477
103,24,25,25,462,475,464
104,24,24,23,446,459,449
105,22,22,24,437,447,434
106,17,15,16,420,435,424
107,14,15,14,404,415,407
108,20,20,22,385,400,388
109,22,21,19,375,388,380
110,19,21,19,367,375,367
111,18,18,20,359,368,357
112,18,16,16,345,357,349
113,11,12,13,336,348,337
114,11,11,11,321,335,323
115,18,16,15,307,320,311
116,16,16,15,302,312,300
117,15,16,14,292,306,294
118,13,13,16,287,299,285
119,13,14,15,279,290,277
120,9,9,8,267,282,271
121,8,10,10,257,270,259
122,13,14,13,245,259,247
123,13,12,11,238,254,242
124,11,11,11,233,248,234
125,9,13,10,225,241,227
126,11,10,11,216,237,221
127,6,8,7,210,231,217
128,7,7,6,201,222,208
129,10,9,10,193,214,197
130,9,9,10,189,207,190
131,10,11,11,182,203,186
132,13,11,10,177,198,181
133,10,11,11,175,192,178
134,9,9,9,171,189,175
135,8,9,9,167,186,172
136,13,11,12,164,183,168
137,16,14,13,165,183,167
138,15,15,13,169,185,170
139,16,14,16,172,190,173
140,16,18,16,178,193,178
141,13,12,11,183,200,183
142,10,11,13,188,203,183
143,20,20,18,186,204,187
144,19,20,21,197,214,192
145,21,16,19,204,222,201
146,20,21,22,213,225,208
147,24,23,22,219,233,218
148,15,18,16,228,243,227
149,16,15,15,231,250,229
150,27,25,27,232,250,230
151,28,28,22,245,258,242
152,28,26,27,256,269,249
153,29,28,32,269,280,259
154,29,29,30,281,292,277
155,23,24,23,293,304,289
156,22,24,22,298,311,295
157,35,35,35,303,317,298
158,37,34,34,317,334,314
