Day since March 1st,SXmas1_incidences_mean,SXmas1_incidences_LL,SXmas1_incidences_UL,SXmas1_load_mean,SXmas1_load_LL,SXmas1_load_UL
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,1,1,1,0,0,0
9,4,4,4,0,0,0
10,13,14,13,0,0,0
11,30,28,29,0,0,0
12,53,52,55,0,0,0
13,90,89,93,0,0,0
14,111,116,115,0,0,0
15,93,92,91,350,350,350
16,94,98,95,443,442,441
17,152,148,148,537,540,536
18,179,174,175,689,688,684
19,205,211,210,867,861,858
20,272,273,279,1069,1069,1065
21,336,332,327,1330,1330,1333
22,281,287,287,1643,1638,1636
23,325,318,319,1879,1884,1879
24,508,511,516,2138,2137,2129
25,558,557,550,2565,2562,2557
26,571,583,577,3025,3023,3012
27,618,598,617,3492,3499,3486
28,639,634,629,3994,3984,3990
29,484,486,490,4494,4483,4483
30,456,452,447,4816,4799,4805
31,642,662,642,5074,5053,5049
32,628,618,625,5468,5472,5449
33,596,595,598,5803,5788,5776
34,560,558,556,6041,6031,6022
35,524,536,532,6207,6193,6176
36,370,369,374,6298,6291,6279
37,335,330,338,6221,6201,6202
38,455,468,474,6085,6080,6075
39,448,448,434,6050,6070,6068
40,429,433,431,5993,6015,5995
41,434,428,417,5916,5944,5926
42,396,396,405,5857,5863,5844
43,270,265,269,5766,5780,5766
44,229,235,234,5573,5582,5571
45,223,219,228,5352,5366,5366
46,335,334,331,5157,5155,5167
47,327,322,327,5086,5080,5085
48,269,276,268,5019,5011,5013
49,269,258,260,4910,4905,4889
50,183,188,186,4809,4793,4791
51,164,164,167,4630,4615,4617
52,233,227,217,4428,4415,4434
53,207,218,215,4320,4299,4303
54,204,201,212,4168,4170,4162
55,188,192,193,4039,4030,4035
56,183,187,184,3892,3896,3892
57,126,129,126,3755,3765,3757
58,115,109,112,3560,3579,3559
59,152,161,150,3376,3376,3373
60,154,149,154,3220,3235,3220
61,139,138,143,3081,3087,3085
62,106,104,107,2935,2939,2948
63,87,84,88,2770,2776,2794
64,88,89,91,2611,2606,2626
65,79,84,75,2460,2462,2465
66,126,124,127,2312,2315,2312
67,112,116,110,2220,2220,2218
68,102,112,107,2122,2130,2122
69,93,88,89,2033,2049,2038
70,81,85,88,1940,1947,1949
71,58,60,59,1842,1853,1850
72,55,53,55,1731,1746,1742
73,74,73,72,1632,1641,1640
74,69,73,71,1555,1565,1562
75,64,68,64,1481,1494,1487
76,64,64,64,1407,1419,1415
77,63,58,57,1339,1358,1351
78,42,44,46,1281,1292,1290
79,42,43,41,1210,1215,1222
80,58,55,56,1139,1150,1153
81,51,51,53,1097,1101,1101
82,52,52,56,1055,1055,1056
83,52,48,47,1011,1015,1016
84,50,48,48,975,975,978
85,33,35,34,940,938,944
86,29,34,28,896,890,898
87,44,45,45,846,845,850
88,42,40,40,816,820,825
89,40,42,40,786,789,792
90,40,37,39,761,758,761
91,38,36,38,733,733,735
92,24,28,26,710,710,713
93,22,25,23,674,678,675
94,34,32,37,637,646,642
95,33,34,31,614,622,624
96,31,28,30,595,600,602
97,28,31,28,576,575,584
98,29,29,29,557,556,561
99,23,22,22,540,540,543
100,20,19,20,517,518,521
101,26,25,26,495,496,497
102,27,27,26,479,481,483
103,24,26,21,468,465,470
104,23,20,28,457,453,455
105,22,23,24,444,437,442
106,16,17,15,431,423,434
107,15,15,12,415,409,416
108,22,19,21,398,389,398
109,19,20,20,389,375,386
110,18,19,17,372,363,374
111,19,18,19,359,352,361
112,17,19,17,351,345,352
113,13,11,14,339,338,343
114,12,12,10,327,326,334
115,15,17,17,314,315,315
116,15,16,15,304,307,307
117,14,14,15,297,296,301
118,15,13,13,288,287,296
119,14,13,14,281,279,287
120,8,10,11,275,271,279
121,9,9,9,261,261,268
122,13,15,12,249,250,256
123,13,11,12,245,246,249
124,10,12,12,239,238,243
125,10,10,10,230,231,238
126,12,10,9,223,223,231
127,8,8,7,218,217,224
128,7,8,7,211,210,216
129,10,11,10,202,205,209
130,10,10,10,196,200,203
131,9,10,11,190,194,195
132,10,11,9,184,190,192
133,12,10,12,181,183,185
134,8,8,9,178,178,184
135,9,10,8,173,175,179
136,17,13,13,170,174,176
137,16,14,14,175,174,178
138,14,12,15,178,175,182
139,16,15,15,179,174,186
140,15,16,16,185,178,189
141,13,11,12,191,185,196
142,11,11,10,193,186,198
143,20,21,16,193,187,199
144,19,21,21,203,198,203
145,22,21,20,210,207,212
146,19,20,21,220,215,219
147,23,22,22,226,222,227
148,16,16,17,232,232,236
149,17,16,16,234,236,238
150,26,26,22,237,236,240
151,25,26,25,249,248,248
152,30,27,28,257,259,258
153,30,31,29,270,270,273
154,34,32,31,280,283,286
155,24,21,21,299,299,298
156,25,23,21,306,303,301
157,36,33,36,314,308,304
