Date, S1a_incidences_mean, S1a_incidences_median, S1a_incidences_LL, S1a_incidences_UL, S1a_load_mean, S1a_load_median, S1a_load_LL, S1a_load_UL, S1b_incidences_mean, S1b_incidences_median, S1b_incidences_LL, S1b_incidences_UL, S1b_load_mean, S1b_load_median, S1b_load_LL, S1b_load_UL, S1c_incidences_mean, S1c_incidences_median, S1c_incidences_LL, S1c_incidences_UL, S1c_load_mean, S1c_load_median, S1c_load_LL, S1c_load_UL, S1d_incidences_mean, S1d_incidences_median, S1d_incidences_LL, S1d_incidences_UL, S1d_load_mean, S1d_load_median, S1d_load_LL, S1d_load_UL, S1e_incidences_mean, S1e_incidences_median, S1e_incidences_LL, S1e_incidences_UL, S1e_load_mean, S1e_load_median, S1e_load_LL, S1e_load_UL, S2a_incidences_mean, S2a_incidences_median, S2a_incidences_LL, S2a_incidences_UL, S2a_load_mean, S2a_load_median, S2a_load_LL, S2a_load_UL, S2b1_incidences_mean, S2b1_incidences_median, S2b1_incidences_LL, S2b1_incidences_UL, S2b1_load_mean, S2b1_load_median, S2b1_load_LL, S2b1_load_UL, S2b2_incidences_mean, S2b2_incidences_median, S2b2_incidences_LL, S2b2_incidences_UL, S2b2_load_mean, S2b2_load_median, S2b2_load_LL, S2b2_load_UL, S2c1_incidences_mean, S2c1_incidences_median, S2c1_incidences_LL, S2c1_incidences_UL, S2c1_load_mean, S2c1_load_median, S2c1_load_LL, S2c1_load_UL, S2c2_incidences_mean, S2c2_incidences_median, S2c2_incidences_LL, S2c2_incidences_UL, S2c2_load_mean, S2c2_load_median, S2c2_load_LL, S2c2_load_UL, S2d_incidences_mean, S2d_incidences_median, S2d_incidences_LL, S2d_incidences_UL, S2d_load_mean, S2d_load_median, S2d_load_LL, S2d_load_UL, S3_incidences_mean, S3_incidences_median, S3_incidences_LL, S3_incidences_UL, S3_load_mean, S3_load_median, S3_load_LL, S3_load_UL
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
2020-03-03,1,1,1,2,2,2,1,3,1,1,1,2,2,2,1,3,1,1,1,2,2,2,1,3,1,1,1,2,2,2,1,3,1,1,1,2,2,2,1,3,1,1,1,2,2,2,1,3,1,1,1,2,2,2,1,3,1,1,1,2,2,2,1,3,1,1,1,2,2,2,1,3,1,1,1,2,2,2,1,3,1,1,1,2,2,2,1,3,1,1,1,2,2,2,1,3
2020-03-04,2,2,1,3,4,4,3,6,2,2,1,3,4,4,3,6,2,2,1,3,4,4,3,6,2,2,1,3,4,4,3,6,2,2,1,3,4,4,3,6,2,2,1,3,4,4,3,6,2,2,1,3,4,4,3,6,2,2,1,3,4,4,3,6,2,2,1,3,4,4,3,6,2,2,1,3,4,4,3,6,2,2,1,3,4,4,3,6,2,2,1,3,4,4,3,6
2020-03-05,3,3,2,5,8,8,5,11,3,3,2,5,8,8,5,11,3,3,2,5,8,8,5,11,3,3,2,5,8,8,5,11,3,3,2,5,8,8,5,11,3,3,2,5,8,8,5,11,3,3,2,5,8,8,5,11,3,3,2,5,8,8,5,11,3,3,2,5,8,8,5,11,3,3,2,5,8,8,5,11,3,3,2,5,8,8,5,11,3,3,2,5,8,8,5,11
2020-03-06,5,5,3,7,13,13,8,18,5,5,3,7,13,13,8,18,5,5,3,7,13,13,8,18,5,5,3,7,13,13,8,18,5,5,3,7,13,13,8,18,5,5,3,7,13,13,8,18,5,5,3,7,13,13,8,18,5,5,3,7,13,13,8,18,5,5,3,7,13,13,8,18,5,5,3,7,13,13,8,18,5,5,3,7,13,13,8,18,5,5,3,7,13,13,8,18
2020-03-07,7,7,4,10,20,20,12,28,7,7,4,10,20,20,12,27,7,7,4,10,20,20,12,28,7,7,4,10,20,20,12,27,7,7,4,10,20,20,12,28,7,7,4,10,20,20,12,28,7,7,4,10,20,20,12,28,7,7,4,10,20,20,12,28,7,7,4,10,20,20,12,28,7,7,4,10,20,20,12,28,7,7,4,10,20,20,12,28,7,7,4,10,20,20,12,28
2020-03-08,10,10,7,13,29,29,18,40,10,10,6,13,29,29,19,40,10,10,6,13,29,29,19,40,10,10,7,13,29,29,19,40,10,10,6,13,29,29,18,40,10,10,6,13,29,29,19,40,10,10,6,13,29,29,19,40,10,10,7,13,29,29,19,40,10,10,6,13,29,29,18,40,10,10,6,13,29,29,18,40,10,10,6,13,29,29,18,40,10,10,6,13,29,29,19,40
2020-03-09,14,14,9,18,42,42,28,57,14,14,9,18,42,42,28,57,14,14,9,18,42,42,28,57,14,14,10,18,42,42,28,57,14,14,9,18,42,42,28,57,14,14,9,18,42,42,28,57,14,14,9,18,42,42,28,57,14,14,10,18,42,42,28,57,14,14,9,18,42,42,28,57,14,14,9,18,42,42,28,57,14,14,9,18,42,42,28,57,14,14,9,18,42,42,28,57
2020-03-10,19,19,14,24,60,61,41,80,19,19,14,24,60,61,41,80,19,19,14,24,60,61,41,80,19,19,14,24,60,61,41,80,19,19,14,24,60,61,41,80,19,19,14,24,60,61,41,80,19,19,14,24,60,61,41,80,19,19,14,24,60,61,41,80,19,19,14,24,60,61,41,80,19,19,14,24,60,61,41,80,19,19,14,24,60,61,41,80,19,19,14,24,60,61,41,80
