"Date","S1a_incidences_mean","S1a_incidences_median","S1a_incidences_LL","S1a_incidences_UL","S1a_load_mean","S1a_load_median","S1a_load_LL","S1a_load_UL","S1b_incidences_mean","S1b_incidences_median","S1b_incidences_LL","S1b_incidences_UL","S1b_load_mean","S1b_load_median","S1b_load_LL","S1b_load_UL","S1c_incidences_mean","S1c_incidences_median","S1c_incidences_LL","S1c_incidences_UL","S1c_load_mean","S1c_load_median","S1c_load_LL","S1c_load_UL","S2a_incidences_mean","S2a_incidences_median","S2a_incidences_LL","S2a_incidences_UL","S2a_load_mean","S2a_load_median","S2a_load_LL","S2a_load_UL","S2b_incidences_mean","S2b_incidences_median","S2b_incidences_LL","S2b_incidences_UL","S2b_load_mean","S2b_load_median","S2b_load_LL","S2b_load_UL","S2c_incidences_mean","S2c_incidences_median","S2c_incidences_LL","S2c_incidences_UL","S2c_load_mean","S2c_load_median","S2c_load_LL","S2c_load_UL","S3a_incidences_mean","S3a_incidences_median","S3a_incidences_LL","S3a_incidences_UL","S3a_load_mean","S3a_load_median","S3a_load_LL","S3a_load_UL","S3b_incidences_mean","S3b_incidences_median","S3b_incidences_LL","S3b_incidences_UL","S3b_load_mean","S3b_load_median","S3b_load_LL","S3b_load_UL","S3c_incidences_mean","S3c_incidences_median","S3c_incidences_LL","S3c_incidences_UL","S3c_load_mean","S3c_load_median","S3c_load_LL","S3c_load_UL","S4a_incidences_mean","S4a_incidences_median","S4a_incidences_LL","S4a_incidences_UL","S4a_load_mean","S4a_load_median","S4a_load_LL","S4a_load_UL","S4b_incidences_mean","S4b_incidences_median","S4b_incidences_LL","S4b_incidences_UL","S4b_load_mean","S4b_load_median","S4b_load_LL","S4b_load_UL","S4c_incidences_mean","S4c_incidences_median","S4c_incidences_LL","S4c_incidences_UL","S4c_load_mean","S4c_load_median","S4c_load_LL","S4c_load_UL","S5a_incidences_mean","S5a_incidences_median","S5a_incidences_LL","S5a_incidences_UL","S5a_load_mean","S5a_load_median","S5a_load_LL","S5a_load_UL","S5b_incidences_mean","S5b_incidences_median","S5b_incidences_LL","S5b_incidences_UL","S5b_load_mean","S5b_load_median","S5b_load_LL","S5b_load_UL","S5c_incidences_mean","S5c_incidences_median","S5c_incidences_LL","S5c_incidences_UL","S5c_load_mean","S5c_load_median","S5c_load_LL","S5c_load_UL","S6a_incidences_mean","S6a_incidences_median","S6a_incidences_LL","S6a_incidences_UL","S6a_load_mean","S6a_load_median","S6a_load_LL","S6a_load_UL","S6b_incidences_mean","S6b_incidences_median","S6b_incidences_LL","S6b_incidences_UL","S6b_load_mean","S6b_load_median","S6b_load_LL","S6b_load_UL","S6c_incidences_mean","S6c_incidences_median","S6c_incidences_LL","S6c_incidences_UL","S6c_load_mean","S6c_load_median","S6c_load_LL","S6c_load_UL","S7a_incidences_mean","S7a_incidences_median","S7a_incidences_LL","S7a_incidences_UL","S7a_load_mean","S7a_load_median","S7a_load_LL","S7a_load_UL","S7b_incidences_mean","S7b_incidences_median","S7b_incidences_LL","S7b_incidences_UL","S7b_load_mean","S7b_load_median","S7b_load_LL","S7b_load_UL","S7c_incidences_mean","S7c_incidences_median","S7c_incidences_LL","S7c_incidences_UL","S7c_load_mean","S7c_load_median","S7c_load_LL","S7c_load_UL","S8a_incidences_mean","S8a_incidences_median","S8a_incidences_LL","S8a_incidences_UL","S8a_load_mean","S8a_load_median","S8a_load_LL","S8a_load_UL","S8b_incidences_mean","S8b_incidences_median","S8b_incidences_LL","S8b_incidences_UL","S8b_load_mean","S8b_load_median","S8b_load_LL","S8b_load_UL","S8c_incidences_mean","S8c_incidences_median","S8c_incidences_LL","S8c_incidences_UL","S8c_load_mean","S8c_load_median","S8c_load_LL","S8c_load_UL","SNV1a_incidences_mean","SNV1a_incidences_median","SNV1a_incidences_LL","SNV1a_incidences_UL","SNV1a_load_mean","SNV1a_load_median","SNV1a_load_LL","SNV1a_load_UL","SNV1b_incidences_mean","SNV1b_incidences_median","SNV1b_incidences_LL","SNV1b_incidences_UL","SNV1b_load_mean","SNV1b_load_median","SNV1b_load_LL","SNV1b_load_UL","SNV1c_incidences_mean","SNV1c_incidences_median","SNV1c_incidences_LL","SNV1c_incidences_UL","SNV1c_load_mean","SNV1c_load_median","SNV1c_load_LL","SNV1c_load_UL"
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
2020-03-03,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3
2020-03-04,2,2,2,3,5,5,3,6,2,2,2,3,5,5,4,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,4,6,2,2,2,3,5,5,4,6,2,2,2,3,5,5,4,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,4,6,2,2,2,3,5,5,4,6,2,2,2,3,5,5,4,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,4,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,4,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,3,6,2,2,2,3,5,5,4,6,2,2,2,3,5,5,3,6
2020-03-05,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11,4,4,3,5,9,9,6,11
2020-03-06,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,17,5,5,4,7,14,14,10,18,5,5,4,7,14,14,10,17
2020-03-07,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,26,8,8,6,9,22,22,16,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,26,8,8,6,9,22,22,15,26,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,26,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,26,8,8,6,9,22,22,15,27,8,8,6,9,22,22,15,26,8,8,6,9,22,22,15,27
2020-03-08,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39,11,11,8,13,32,32,23,39
2020-03-09,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,55,15,15,11,18,47,47,34,56,15,15,11,18,47,47,34,55
2020-03-10,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,49,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,49,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78,21,21,16,24,67,67,50,78
