social scenario,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
relaxation date,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01
daily vaccinations,40000,40000,40000,40000,40000,40000,40000,40000,60000,60000,60000,60000,60000,60000,60000,60000,40000,40000,40000,40000,40000,40000,40000,40000,60000,60000,60000,60000,60000,60000,60000,60000
vaccination order,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young,old --> young
results,incidences_mean,incidences_median,incidences_LL,incidences_UL,load_mean,load_median,load_LL,load_UL,incidences_mean,incidences_median,incidences_LL,incidences_UL,load_mean,load_median,load_LL,load_UL,incidences_mean,incidences_median,incidences_LL,incidences_UL,load_mean,load_median,load_LL,load_UL,incidences_mean,incidences_median,incidences_LL,incidences_UL,load_mean,load_median,load_LL,load_UL
2020-09-01,11.69,11.0,7.0,18.049999999999983,196.74,196.5,166.47500000000002,222.52499999999998,11.49,12.0,4.475,17.0,194.93,194.0,170.325,218.52499999999998,11.46,11.0,5.0,19.0,195.98,195.0,171.47500000000002,225.52499999999998,11.88,12.0,7.0,19.0,195.67,196.5,173.0,221.04999999999998
2020-09-02,12.51,12.0,6.0,20.0,196.09,195.0,170.325,223.09999999999997,12.29,12.0,6.475,19.52499999999999,192.29,192.5,167.0,217.0,12.35,12.0,6.0,19.52499999999999,194.69,193.5,171.95,224.52499999999998,12.26,12.0,5.95,18.52499999999999,192.84,194.0,165.89999999999998,215.52499999999998
2020-09-03,12.93,13.0,7.0,20.574999999999974,189.04,187.5,165.475,215.04999999999998,12.38,12.0,5.475,19.0,191.48,192.5,164.95,217.52499999999998,12.51,12.0,5.475,20.0,192.37,192.0,167.475,220.52499999999998,12.02,12.0,5.475,18.0,190.28,190.0,164.95,220.24999999999991
2020-09-04,11.92,11.5,6.0,19.0,185.03,185.0,157.0,210.09999999999997,11.65,11.0,6.0,19.52499999999999,189.15,189.0,165.0,221.52499999999998,12.33,12.0,6.475,19.52499999999999,187.45,187.0,167.0,215.52499999999998,12.89,13.0,7.0,19.0,188.83,187.5,163.47500000000002,220.09999999999997
2020-09-05,12.33,12.0,6.475,19.0,183.06,183.0,156.47500000000002,219.67499999999995,11.69,11.0,6.0,17.52499999999999,182.41,183.0,153.95,216.04999999999998,11.49,11.0,6.0,19.0,182.37,182.0,156.0,208.575,11.7,12.0,5.475,19.049999999999983,184.92,185.0,160.95,213.52499999999998
2020-09-06,11.27,11.0,5.0,18.049999999999983,180.54,182.0,155.375,202.04999999999998,11.74,12.0,6.475,18.0,178.08,181.0,145.325,203.52499999999998,11.81,12.0,6.475,18.0,181.08,180.0,159.475,202.0,11.71,12.0,5.475,17.52499999999999,181.49,183.5,153.0,205.52499999999998
2020-09-07,12.0,12.0,6.0,17.0,181.06,180.5,156.47500000000002,209.52499999999998,11.65,12.0,6.0,17.0,178.37,178.5,156.375,198.04999999999998,11.76,12.0,7.0,18.52499999999999,177.6,177.0,152.95,203.575,11.71,12.0,5.475,19.0,181.22,181.0,157.95,207.04999999999998
2020-09-08,12.04,12.0,7.0,18.0,177.29,177.0,152.0,203.52499999999998,12.61,13.0,7.0,19.52499999999999,175.38,175.0,146.0,199.52499999999998,11.65,11.5,6.0,19.0,176.75,176.0,150.475,211.09999999999997,12.02,12.0,6.0,18.52499999999999,178.87,178.5,156.47500000000002,200.0
2020-09-09,12.74,13.0,6.0,22.52499999999999,179.53,179.0,154.475,202.52499999999998,13.11,13.0,5.475,22.049999999999983,175.77,176.0,150.425,198.52499999999998,12.65,13.0,6.0,21.52499999999999,175.16,175.5,141.375,202.52499999999998,12.74,12.0,7.0,20.0,174.7,174.0,152.475,200.575
2020-09-10,13.39,13.0,7.0,21.52499999999999,174.08,174.0,149.95,197.04999999999998,13.34,13.0,6.0,21.0,176.22,175.0,152.0,206.04999999999998,13.7,14.0,6.475,20.52499999999999,177.36,177.0,152.0,202.04999999999998,13.51,13.5,7.475,21.0,173.39,175.0,144.0,203.575
2020-09-11,14.12,14.0,9.0,20.52499999999999,178.86,179.0,154.425,204.09999999999997,14.14,14.0,9.0,21.52499999999999,177.14,178.0,148.47500000000002,201.0,13.84,14.0,6.475,21.0,177.41,178.0,152.8,201.67499999999995,13.43,14.0,7.0,19.0,174.32,176.0,148.47500000000002,194.52499999999998
2020-09-12,14.7,15.0,8.0,23.0,178.57,177.5,152.95,209.575,14.64,14.0,8.475,23.0,179.51,179.0,157.475,206.09999999999997,14.8,15.0,8.0,23.0,177.29,179.0,151.47500000000002,206.52499999999998,14.97,15.0,8.0,23.0,179.83,179.5,154.95,205.0
2020-09-13,15.86,16.0,9.0,22.52499999999999,179.89,179.5,157.475,204.575,15.57,15.0,8.0,23.0,179.69,178.0,157.95,209.575,16.26,16.5,9.475000000000001,24.0,179.95,179.0,158.47500000000002,204.52499999999998,15.38,15.0,8.0,22.52499999999999,179.57,181.0,150.375,208.04999999999998
2020-09-14,17.18,18.0,10.0,24.52499999999999,182.88,183.0,155.475,208.62499999999994,15.96,16.0,8.0,25.049999999999983,181.97,182.5,154.475,203.575,17.49,17.0,9.475000000000001,27.52499999999999,185.14,187.0,156.375,209.04999999999998,15.91,16.0,8.475,25.52499999999999,182.04,182.0,156.375,212.04999999999998
