Date, S1_incidences_mean, S1_incidences_median, S1_incidences_LL, S1_incidences_UL, S1_load_mean, S1_load_median, S1_load_LL, S1_load_UL, S2_incidences_mean, S2_incidences_median, S2_incidences_LL, S2_incidences_UL, S2_load_mean, S2_load_median, S2_load_LL, S2_load_UL, S3_incidences_mean, S3_incidences_median, S3_incidences_LL, S3_incidences_UL, S3_load_mean, S3_load_median, S3_load_LL, S3_load_UL, S4_incidences_mean, S4_incidences_median, S4_incidences_LL, S4_incidences_UL, S4_load_mean, S4_load_median, S4_load_LL, S4_load_UL
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-03,2,2,1,2,2,2,2,3,2,2,1,2,2,2,2,3,2,2,1,2,2,2,2,3,2,2,1,2,2,2,2,3
2020-03-04,3,3,2,3,5,5,4,6,3,3,2,3,5,5,4,6,3,3,2,3,5,5,4,6,3,3,2,3,5,5,4,6
2020-03-05,4,4,3,5,9,9,7,11,4,4,3,5,9,9,7,11,4,4,3,5,9,9,7,11,4,4,3,5,9,9,7,11
2020-03-06,6,6,4,7,14,14,11,18,6,6,5,7,14,14,11,18,6,6,4,7,14,14,11,18,6,6,4,7,14,14,11,18
2020-03-07,8,8,6,10,22,22,18,27,8,8,6,10,22,22,18,27,8,8,6,10,22,22,18,27,8,8,6,10,22,22,18,27
2020-03-08,11,11,9,13,32,32,26,39,11,11,9,13,32,32,26,39,11,11,9,13,33,32,26,40,11,11,9,13,32,32,26,39
2020-03-09,16,15,13,18,47,47,38,56,16,16,13,18,47,47,38,56,16,16,13,18,47,47,38,56,16,16,13,18,47,47,38,56
2020-03-10,22,22,18,25,67,67,55,79,22,22,18,25,67,67,55,79,22,22,18,25,67,67,55,79,22,22,18,25,67,67,55,79
2020-03-11,30,30,26,35,94,94,79,110,30,30,26,35,94,94,79,111,30,30,26,35,94,94,79,111,30,30,26,35,94,94,79,110
2020-03-12,41,41,36,47,132,132,113,152,41,41,36,47,132,132,113,152,41,41,36,47,132,132,113,152,41,41,36,47,132,132,113,152
2020-03-13,57,57,51,64,184,184,160,209,57,57,51,64,184,184,161,209,57,57,51,65,184,184,160,210,57,57,51,65,184,184,160,209
2020-03-14,79,79,71,89,256,256,225,288,79,79,71,89,256,256,226,288,79,79,71,89,256,256,226,288,79,79,71,89,256,256,225,288
2020-03-15,110,109,99,122,356,355,316,396,110,109,99,122,356,356,317,396,110,109,99,122,356,356,317,396,110,109,99,122,356,356,317,396
2020-03-16,148,147,135,163,489,489,440,540,148,147,135,163,489,489,441,539,148,147,135,163,489,488,441,539,148,147,135,163,489,488,440,540
2020-03-17,191,191,176,210,659,659,600,724,191,191,176,210,659,659,601,724,191,191,176,210,659,659,601,723,191,191,176,210,659,659,600,723
2020-03-18,240,239,222,262,869,868,798,950,240,239,223,262,870,868,798,949,240,239,222,262,870,868,798,949,240,239,222,262,870,868,798,948
2020-03-19,294,294,274,319,1122,1120,1038,1221,294,294,274,319,1123,1121,1038,1220,294,294,274,319,1123,1121,1038,1221,294,294,274,319,1122,1121,1038,1221
2020-03-20,355,354,330,383,1421,1419,1321,1540,355,354,330,383,1422,1419,1321,1539,355,354,330,383,1422,1420,1322,1538,355,354,330,383,1421,1419,1322,1540
2020-03-21,415,414,388,447,1763,1760,1645,1900,415,414,388,447,1763,1760,1644,1898,415,414,388,447,1763,1761,1645,1898,415,414,388,447,1763,1760,1644,1900
2020-03-22,468,468,440,502,2136,2132,1997,2293,469,468,440,502,2136,2132,1999,2291,469,468,440,502,2136,2132,1999,2291,469,468,440,502,2136,2132,1995,2293
