"","industry","supply.shock","demand.shock.household","fdemand.other","fdemand.other.shocked"
"1","A01",0,-0.1,5440.64381141436,4371.08616410014
"2","A02",-0.849998741093282,-0.1,195.490945444314,150.529207023319
"3","A03",0,-0.1,1160.98394950679,784.180998959522
"4","B",-0.352618533218035,-0.1,25961.1019729874,17387.0277492275
"5","C10-C12",-0.00569014173825855,-0.1,23716.3777525736,16049.9840964884
"6","C13-C15",-0.370550494582566,-0.1,9286.21003175225,6742.32501495146
"7","C16",-0.61098587474707,-0.1,1321.57424934731,1106.40904158131
"8","C17",-0.0753887141930477,-0.1,2844.81650600529,2003.03189307457
"9","C18",-0.0596415536824614,-0.1,2523.92683764697,2082.14111631242
"10","C19",-0.182803367878399,-0.1,13065.1455876839,8815.67471020252
"11","C20",-0.0263940456282348,-0.1,29886.8355342885,20446.2692875626
"12","C21",-0.0112411597285295,-0.1,21527.9150478925,14786.3448535376
"13","C22",-0.283207500004723,-0.1,10718.3882213391,7719.48746025862
"14","C23",-0.503447151294733,-0.1,3463.18284079336,2518.48826586779
"15","C24",-0.576910318940008,-0.1,30373.1739964036,20392.6184592568
"16","C25",-0.547743490691161,-0.1,13466.0789547345,11016.0646544549
"17","C26",-0.384571905261559,-0.1,25355.4274142082,18152.4305075473
"18","C27",-0.333317115667988,-0.1,14105.281295132,9940.92117285571
"19","C28",-0.497207801009937,-0.1,38243.6581091752,26802.7697667422
"20","C29",-0.226153126751649,-0.1,48604.0801262408,34674.4182667397
"21","C30",-0.48791506421361,-0.1,45223.2559233786,31039.3033225196
"22","C31_C32",-0.366139490032262,-0.1,14734.4777283309,10978.2908712027
"23","C33",-0.0328533875704602,-0.1,860.089426970779,714.575570724929
"24","D35",0,0,2250.42534523988,1799.80868436658
"25","E36",0,0,201.829711243424,179.549649812604
"26","E37-E39",0,0,19876.2807305946,16624.9499047549
"27","F",-0.356361907567987,-0.1,212181.644094728,199507.663996099
"28","G45",-0.315691434499677,-0.1,10991.4588256564,8494.85180515208
"29","G46",-0.235505422631326,-0.1,78933.7314276023,55369.8143555133
"30","G47",-0.305028409429536,-0.1,11745.5803037684,8429.93898417207
"31","H49",-0.111311597853791,-0.67,3985.03561687711,2883.75294610176
"32","H50",-0.124407509504995,-0.67,12502.895400463,8519.45375172355
"33","H51",-0.00135553325598022,-0.67,7927.35602511402,5375.86897515366
"34","H52",-0.00533932540111722,-0.67,6752.67836104712,5007.91994440152
"35","H53",0,0,2547.3717429966,1774.12961934621
"36","I",-0.607779774987878,-0.8,13472.7606001088,9162.94940617645
"37","J58",-0.144173040095427,0,11219.2427542815,8478.09074415577
"38","J59_J60",-0.328058882052383,0,21433.9454092415,18126.9599766981
"39","J61",-0.00859769812077396,0,14773.8716188676,11459.9850555553
"40","J62_J63",-0.00183255331569222,0,48116.5057251316,41879.3176861904
"41","K64",0,0,53285.0496254892,36294.1645810948
"42","K65",0,0,27153.0815965796,18709.0206226021
"43","K66",0,0,36657.8076519555,24727.8281793993
"44","L68",-0.04774712598591,0,17852.8113302103,16482.3862741777
"45","M69_M70",-0.019959890646716,0,24357.338139086,18385.6131036475
"46","M71",0,0,24817.9587696167,20169.6402301172
"47","M72",0,0,19904.167179754,17783.4883564693
"48","M73",-0.225087227561344,0,5406.39386737705,3800.77678769148
"49","M74_M75",-0.0304314195306096,0,18684.848985467,13153.4503732742
"50","N",-0.348779871694549,0,49317.0870271998,35009.2635725781
"51","O84",-0.0106775571815501,0,219096.703554848,217693.7462017
"52","P85",0,0,159037.407418882,156462.848165256
"53","Q",-0.000511689462526263,0.15,275224.641744768,277183.615385905
"54","R_S",-0.344583889992007,-0.05,45512.2566230429,40918.5061128909
"55","T",0,0,31.691563769644,21.4698155636126
