,ERMG survey 06-04-2020,,,,ERMG survey 13-04-2020,,,,average,,,
,temporarily_unemployed,telework,workplace,sick_leave,temporarily_unemployed,telework,workplace,sick_leave,temporarily_unemployed,telework,workplace,sick_leave
1,4,14,78,4,9,3,87,1.33079847908745,6.5,8.5,82.5,2.66539923954373
2,4,14,78,4,9,3,87,1.33079847908745,6.5,8.5,82.5,2.66539923954373
3,4,14,78,4,9,3,87,1.33079847908745,6.5,8.5,82.5,2.66539923954373
05-09,4,14,78,4,9,3,87,1.33079847908745,6.5,8.5,82.5,2.66539923954373
10-12,7,17,63,12,10,21,59,10.3918463228887,8.5,19,61,11.1959231614444
13-15,68,16,9,6,54,21,21,4.90753911806543,61,18.5,15,5.45376955903271
16,26,15,51,7,34,16,43,7.70908448214916,30,15.5,47,7.35454224107458
17,26,15,51,7,34,16,43,7.70908448214916,30,15.5,47,7.35454224107458
18,27.4299884467405,21.9243306806116,40.5230842024,10.1225966702479,28.7576932613864,20.8511316042234,40.6268171745703,9.76435795981995,28.0938408540635,21.3877311424175,40.5749506884852,9.94347731503392
19,14,29,47,11,14,27,48,10.4991120916967,14,28,47.5,10.7495560458484
20,14,29,47,11,14,27,48,10.4991120916967,14,28,47.5,10.7495560458484
21,14,29,47,11,14,27,48,10.4991120916967,14,28,47.5,10.7495560458484
22,15,19,52,14,23,16,51,10.3382616487455,19,17.5,51.5,12.1691308243728
23,15,19,52,14,23,16,51,10.3382616487455,19,17.5,51.5,12.1691308243728
24,12,14,59,16,18,17,56,8.49613844393593,15,15.5,57.5,12.248069221968
25,12,14,59,16,18,17,56,8.49613844393593,15,15.5,57.5,12.248069221968
26,13,71,14,2,14,59,9,18.2917515274949,13.5,65,11.5,10.1458757637475
27,26,26,37,11,25,23,42,9.93530751708428,25.5,24.5,39.5,10.4676537585421
28,26,26,37,11,25,23,42,9.93530751708428,25.5,24.5,39.5,10.4676537585421
29,58,9,21,12,56,5,26,13.0880420499343,57,7,23.5,12.5440210249672
30,58,9,21,12,56,5,26,13.0880420499343,57,7,23.5,12.5440210249672
31-32,64,13,22,1,71,6,19,3.94605809128631,67.5,9.5,20.5,2.47302904564315
33,27.4299884467405,21.9243306806116,40.5230842024,10.1225966702479,28.7576932613864,20.8511316042234,40.6268171745703,9.76435795981995,28.0938408540635,21.3877311424175,40.5749506884852,9.94347731503392
35,0,0,100,0,0,0,100,0,0,0,100,0
36,0,0,100,0,0,0,100,0,0,0,100,0
37-39,0,0,100,0,0,0,100,0,0,0,100,0
41-43,46,21,27,6,41,18,32,8.40183481387479,43.5,19.5,29.5,7.2009174069374
45,46.33,14,35.3,4.33,39,18.33,40,2.66,42.665,16.165,37.65,3.495
46,46.33,14,35.3,4.33,39,18.33,40,2.66,42.665,16.165,37.65,3.495
47,46.33,14,35.3,4.33,39,18.33,40,2.66,42.665,16.165,37.65,3.495
49,39,14,37,11,84,5,11,0.657718120805369,61.5,9.5,24,5.82885906040268
50,39,14,37,11,84,5,11,0.657718120805369,61.5,9.5,24,5.82885906040268
51,55,22,17,5,35,41,23,0.726726726726727,45,31.5,20,2.86336336336336
52,13,38,40,10,15,27,47,10.947852992227,14,32.5,43.5,10.4739264961135
53,39,14,37,11,84,5,11,0.657718120805369,61.5,9.5,24,5.82885906040268
55-56,91,2,5,2,94,2,3,1.04112597324815,92.5,2,4,1.52056298662408
58,19,62,8,11,13,62,18,6.17077073517646,16,62,13,8.58538536758823
59-60,19,62,8,11,13,62,18,6.17077073517646,16,62,13,8.58538536758823
61,19,62,8,11,13,62,18,6.17077073517646,16,62,13,8.58538536758823
62-63,19,62,8,11,13,62,18,6.17077073517646,16,62,13,8.58538536758823
64,2,77,15,6,3,81,11,4.75348027842228,2.5,79,13,5.37674013921114
65,2,77,15,6,3,81,11,4.75348027842228,2.5,79,13,5.37674013921114
66,2,77,15,6,3,81,11,4.75348027842228,2.5,79,13,5.37674013921114
68,38,43,16,2,41,44,12,2.72671568627451,39.5,43.5,14,2.36335784313725
69-70,16,70.5,6.5,7,18,63.5,12,7,17,67,9.25,7
71,16,70.5,6.5,7,18,63.5,12,7,17,67,9.25,7
72,16,70.5,6.5,7,18,63.5,12,7,17,67,9.25,7
73,16,70.5,6.5,7,18,63.5,12,7,17,67,9.25,7
74-75,16,70.5,6.5,7,18,63.5,12,7,17,67,9.25,7
77,17.2028071408705,67.4688200368276,9.16072515003649,6.16764767226532,54.2564139673044,13.4027601540988,29.1178238169061,3.22300206169067,35.7296105540874,40.4357900954632,19.1392744834713,4.695324866978
78,15,64,17,4,16,66,12,5.56791569086651,15.5,65,14.5,4.78395784543326
79,69,26,4,1,68,27,4,0.162481536189069,68.5,26.5,4,0.581240768094535
80-82,24,44,24,8,24,44.5,22.5,8.5,24,44.25,23.25,8.25
84,16,70.5,6.5,7,18,63.5,12,7,17,67,9.25,7
85,0,0,100,0,0,0,100,0,0,0,100,0
86,0,0,100,0,0,0,100,0,0,0,100,0
87-88,0,0,100,0,0,0,100,0,0,0,100,0
90-92,76,17,5,2,72,24,2,1.96078431372549,74,20.5,3.5,1.98039215686275
93,76,17,5,2,72,24,2,1.96078431372549,74,20.5,3.5,1.98039215686275
94,0,0,100,0,0,0,100,0,0,0,100,0
95,16,70.5,6.5,7,18,63.5,12,7,17,67,9.25,7
96,16,70.5,6.5,7,100,0,0,0.15625,58,35.25,3.25,3.578125
97-98,94,0,0,6,100,0,0,0.15625,97,0,0,3.078125
