Leeftijdsklasse;Geslacht;SumOfSumOfAantal
00-4 jaar;Men;314124
00-4 jaar;Women;299950
05-9 year;Men;339657
05-9 year;Women;324571
10-14 year;Men;335209
10-14 year;Women;319591
15-19 year;Men;321799
15-19 year;Women;306978
20-24 year;Men;338535
20-24 year;Women;328480
25-29 year;Men;372076
25-29 year;Women;370967
30-34 year;Men;366079
30-34 year;Women;367695
35-39 year;Men;375832
35-39 year;Women;373952
40-44 year;Men;367726
40-44 year;Women;362357
45-49 year;Men;393030
45-49 year;Women;383781
50-54 year;Men;406065
50-54 year;Women;396423
55-59 year;Men;395680
55-59 year;Women;395329
60-64 year;Men;349903
60-64 year;Women;360317
65-69 year;Men;298531
65-69 year;Women;316977
70-74 year;Men;249917
70-74 year;Women;281584
75-79 year;Men;165270
75-79 year;Women;206033
80-84 year;Men;131151
80-84 year;Women;188231
85-89 year;Men;76744
85-89 year;Women;138525
90-94 year;Men;26049
90-94 year;Women;63748
95-99 year;Men;4641
95-99 year;Women;16412
99100+;Men;108
99100+;Women;432
;;
Retired;;1548845
Childs and students;;2561879
