Age	M	F	sum
0-4	1875383	1793838	3669221
5-9	2011880	1925529	3937409
10-14	2040340	1947414	3987754
15-19	1974988	1894312	3869300
20-24	1867826	1830692	3698518
25-29	1843171	1873759	3716930
30-34	1949911	2023620	3973531
35-39	1981008	2053344	4034352
40-44	1969854	2020238	3990092
45-49	2187504	2230886	4418390
50-54	2142209	2215992	4358201
55-59	2062831	2179885	4242716
60-64	1891456	2060753	3952209
65-69	1793134	2013370	3806504
70-74	1553223	1806321	3359544
75-79	928599	1168168	6115058
80-84	737011	1079459	
85-89	467972	845248	
90-94	192992	462602	
95-99	50390	164018	
100+	2811	15788	

