Age	M	F	sum
0-4	1038501	977680	2016181
5-9	1198575	1125661	2324236
10-14	1276540	1195708	2472248
15-19	1135092	1074999	2210091
20-24	1158980	1106079	2265059
25-29	1214262	1172812	2387074
30-34	1360661	1355721	2716382
35-39	1718964	1722935	3441899
40-44	2057321	1993237	4050558
45-49	1983751	1901196	3884947
50-54	1801956	1790229	3592185
55-59	1649984	1702474	3352458
60-64	1377492	1462902	2840394
65-69	1126819	1233249	2360068
70-74	1008116	1167409	2175525
75-79	775359	970866	4647477
80-84	523802	758672	
85-89	378061	657830	
90-94	142700	308267	
95-99	31325	88285	
100+	2387	9923	

